ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Ayan,1,1739352388986,-0.79173,-4.23709,9.1687,-4.71483,6.08045,12.31348
Ayan,2,1739352388999,-0.44716,2.18525,10.64028,-21.0794,5.18784,4.7072
Ayan,3,1739352389010,-1.50957,-2.00219,8.74278,17.42121,1.83863,12.03883
Ayan,4,1739352389044,-0.76301,-0.42532,9.3362,1.31222,1.78523,5.42052
Ayan,5,1739352389059,-0.18395,-1.60259,9.29313,-21.75076,0.30898,-4.25326
Ayan,6,1739352389070,-1.32054,-1.23171,13.31067,-17.11604,0.25939,-3.34539
Ayan,7,1739352389080,-1.32054,-1.23171,13.31067,-4.55461,3.97861,4.50884
Ayan,8,1739352389093,2.04138,0.40977,7.42672,0.4959,3.13559,4.77205
Ayan,9,1739352389107,-1.17697,-3.46182,6.8022,27.71296,-7.86567,0.59126
Ayan,10,1739352389124,-2.54806,-0.734,14.00459,-12.21049,-3.98243,-8.11744
Ayan,11,1739352389142,-2.54806,-0.734,14.00459,-13.71343,-8.78499,-13.83931
Ayan,12,1739352389172,-0.83958,-1.07856,11.13799,-3.3225,-8.10218,-9.12449
Ayan,13,1739352389195,-0.69601,0.16331,9.25245,-0.80488,-4.37914,2.00647
Ayan,14,1739352389208,-0.64816,-3.73699,9.13998,0.98798,-2.54814,6.70604
Ayan,15,1739352389229,0.01226,-3.88295,9.66641,-2.93723,3.76118,14.85781
Ayan,16,1739352389245,0.01226,-3.88295,9.66641,-5.59218,2.27349,12.7369
Ayan,17,1739352389269,-1.38036,0.64187,9.8363,-15.6932,5.37856,11.26828
Ayan,18,1739352389286,-1.38036,0.64187,9.8363,-15.99837,8.81932,12.61483
Ayan,19,1739352389300,-1.06211,-2.14098,9.75973,-15.24308,10.91734,13.96519
Ayan,20,1739352389320,-0.6338,-2.91147,11.34138,-21.76221,10.68084,9.6242
Ayan,21,1739352389336,-2.1341,-3.32543,11.15953,-34.27023,7.09131,-1.06427
Ayan,22,1739352389351,-1.08126,0.5007,10.15454,-32.84357,6.74419,-2.78465
Ayan,23,1739352389368,-0.47827,-1.53799,9.8339,-17.00542,8.12888,1.12912
Ayan,24,1739352389379,-0.47827,-1.53799,9.8339,-3.89851,8.80788,5.64177
Ayan,25,1739352389395,-1.07408,-1.66002,8.8337,0.92694,7.26297,5.43197
Ayan,26,1739352389407,0.00508,-1.15992,9.52044,0.9689,4.40585,2.03699
Ayan,27,1739352389423,0.00508,-1.15992,9.52044,-3.40642,-5.05814,-9.03294
Ayan,28,1739352389449,-0.84915,-0.3009,8.24268,-4.37533,-7.40029,-10.39093
Ayan,29,1739352389458,-0.84915,-0.3009,8.24268,-4.37533,-7.40029,-10.39093
Ayan,30,1739352389474,-0.52612,-0.24347,7.77608,-6.172,-5.11536,-6.5916
Ayan,31,1739352389491,-0.53569,-3.1675,11.03989,-7.95341,-3.73066,-1.79285
Ayan,32,1739352389513,0.32333,-2.28694,9.67358,-7.90763,-3.71541,3.40261
Ayan,33,1739352389542,-1.433,-1.83709,9.22613,-8.77355,-5.6494,5.39001
Ayan,34,1739352389559,-0.94726,0.48395,10.24547,-8.65148,-5.67992,9.26563
Ayan,35,1739352389572,-1.94746,-4.26341,6.78545,9.84544,-1.3084,22.3611
Ayan,36,1739352389582,-1.94746,-4.26341,6.78545,6.73274,-1.29314,21.74695
Ayan,37,1739352389599,0.56501,-1.81795,7.82393,-6.41995,-6.43139,10.4367
Ayan,38,1739352389609,-1.31575,0.1657,11.72184,-36.81837,-17.0016,-11.90532
Ayan,39,1739352389641,-0.44955,-0.62154,9.87219,16.57437,-10.28412,9.15119
Ayan,40,1739352389655,-0.87069,-1.58106,8.53221,20.44617,-5.20691,12.81319
Ayan,41,1739352389667,-0.05474,-3.38525,7.34297,18.23753,-3.99768,11.58489
Ayan,42,1739352389675,-0.05474,-3.38525,7.34297,12.43936,-3.31106,8.95665
Ayan,43,1739352389690,-0.31316,0.05563,9.94158,-23.28423,-1.45336,-4.22656
Ayan,44,1739352389716,-1.09322,-2.90668,10.37468,23.60084,-2.96012,4.67668
Ayan,45,1739352389725,-1.09322,-2.90668,10.37468,20.00368,1.49532,6.62975
Ayan,46,1739352389749,-1.98814,0.15135,10.17368,-13.72488,7.86949,-1.2817
Ayan,47,1739352389759,-1.98814,0.15135,10.17368,-12.80556,9.42202,0.66755
Ayan,48,1739352389779,-0.32752,-3.32782,10.04686,-10.94023,11.89006,4.17316
Ayan,49,1739352389792,-1.5,-3.3685,10.2335,-6.99595,11.97017,6.00416
Ayan,50,1739352389809,-1.67707,-2.57169,11.1356,-2.88764,13.61425,9.53646
Ayan,51,1739352389825,-1.67707,-2.57169,11.1356,0.17547,10.08195,7.39648
Ayan,52,1739352389845,-1.18893,-2.38026,9.68076,-0.59126,9.62801,7.80083
Ayan,53,1739352389861,-0.11216,0.08913,10.32204,-1.36562,8.1594,5.6227
Ayan,54,1739352389876,0.61286,-2.10269,10.33879,2.12854,6.60305,5.34805
Ayan,55,1739352389892,-0.7654,-2.53819,8.79063,-0.78962,4.4211,3.47509
Ayan,56,1739352389914,-0.95204,-0.85843,12.51386,-0.46538,-0.76292,-0.78199
Ayan,57,1739352389927,-0.55962,-2.66501,9.02034,2.31927,-5.51589,-4.80256
Ayan,58,1739352389945,-0.55962,-2.66501,9.02034,4.52028,-7.92289,-7.12564
Ayan,59,1739352389958,-0.26291,0.29013,10.42254,3.77262,-5.64177,-5.22217
