ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Lalit,1,1771336085066,-1.79386,7.7644,6.88094,-8.48388,-6.61468,2.70843
Lalit,2,1771336085076,-1.68612,7.43519,6.83784,-7.75146,-11.80266,1.97601
Lalit,3,1771336085081,-1.68612,7.43519,6.83784,-8.91113,-14.36614,0.99945
Lalit,4,1771336085087,-1.68612,7.43519,6.83784,-10.19286,-16.3803,-0.09918
Lalit,5,1771336085093,-1.19171,7.07726,6.34703,-13.18358,-19.12688,-2.23541
Lalit,6,1771336085102,-1.19171,7.07726,6.34703,-14.58739,-20.71379,-3.15094
Lalit,7,1771336085111,-0.65062,6.89889,6.09683,-16.1743,-23.39934,-5.83648
Lalit,8,1771336085119,-0.65062,6.89889,6.09683,-17.57811,-25.5966,-7.72857
Lalit,9,1771336085127,-0.65062,6.89889,6.09683,-18.31053,-25.77971,-7.54547
Lalit,10,1771336085136,-0.52852,7.25084,5.89093,-20.5078,-24.98625,-6.5689
Lalit,11,1771336085144,-0.52852,7.25084,5.89093,-23.13231,-23.03312,-5.40924
Lalit,12,1771336085152,-0.93673,7.20774,5.65271,-24.96336,-21.62932,-5.22613
Lalit,13,1771336085162,-0.93673,7.20774,5.65271,-29.05271,-19.61516,-6.08062
Lalit,14,1771336085170,-0.87807,6.91445,6.05494,-32.04343,-18.76067,-8.88824
Lalit,15,1771336085179,-0.87807,6.91445,6.05494,-33.99656,-19.61516,-12.18413
Lalit,16,1771336085186,-0.87807,6.91445,6.05494,-34.30173,-20.0424,-13.58794
Lalit,17,1771336085194,-0.94511,6.77918,6.85939,-35.27829,-21.56828,-16.21245
Lalit,18,1771336085202,-0.94511,6.77918,6.85939,-36.37693,-22.66692,-17.37212
Lalit,19,1771336085211,-1.50057,6.61398,7.18261,-38.39109,-24.00969,-17.73833
Lalit,20,1771336085220,-1.50057,6.61398,7.18261,-38.87937,-25.10832,-17.00591
Lalit,21,1771336085228,-1.50057,6.61398,7.18261,-39.00143,-29.99113,-15.66313
Lalit,22,1771336085237,-2.00095,6.20098,7.60877,-36.80417,-36.39981,-14.19829
Lalit,23,1771336085245,-2.00095,6.20098,7.60877,-35.52243,-39.45157,-14.01519
Lalit,24,1771336085254,-1.1582,6.16268,7.60039,-32.95896,-44.27335,-15.29692
