ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
45,1,1771521082026,-0.53151,10.03051,3.0562,-30.64725,-20.11107,-0.66376
45,2,1771521082041,-0.91459,11.99854,3.98275,-45.60086,-39.15402,-4.20379
45,3,1771521082057,-0.98881,10.52252,3.4273,-47.98122,-16.38793,1.65558
45,4,1771521082075,-0.32561,9.77313,4.69264,-39.61942,-10.34545,-0.41962
45,5,1771521082090,-0.21668,11.54484,6.08606,-29.48759,-22.2473,-6.09588
45,6,1771521082107,-0.21668,11.54484,6.08606,-25.94755,3.87573,-9.0866
45,7,1771521082123,-0.21308,10.12029,3.69306,-33.82108,-0.57983,-13.72527
45,8,1771521082140,-0.72305,8.05888,4.86023,-39.74149,-19.31761,-11.95525
45,9,1771521082158,-1.3204,6.55892,4.95959,-37.30008,-24.01732,-4.57
45,10,1771521082173,-1.50236,6.43202,5.01825,-17.76885,-21.27073,4.03595
45,11,1771521082189,-1.50236,6.43202,5.01825,-10.50567,-12.48168,5.68389
45,12,1771521082208,-1.18752,6.67743,4.22696,-8.43047,1.80054,13.74053
45,13,1771521082222,-1.20428,6.56251,4.0893,-10.68877,1.12915,28.14482
45,14,1771521082239,-1.66636,6.92044,4.4173,-9.10186,6.2561,44.74636
45,15,1771521082255,-1.3204,7.18261,3.95043,-3.24249,15.22826,47.43191
45,16,1771521082276,0.0826,7.17782,3.7146,-4.89044,15.96068,29.73173
45,17,1771521082292,0.0826,7.17782,3.7146,-15.63262,13.58031,11.4212
45,18,1771521082305,0.72065,7.847,3.39498,-30.15897,14.73998,7.57598
45,19,1771521082323,-0.0826,7.99663,3.69306,-37.78836,4.54712,11.90948
45,20,1771521082339,-0.97205,7.70095,5.74728,-17.76885,-2.65503,22.46855
45,21,1771521082358,-0.85114,8.41323,7.07008,4.57,-2.22778,28.02275
45,22,1771521082376,0.0012,9.41759,6.3195,23.36882,13.33617,24.72685
45,23,1771521082393,0.00359,8.74961,5.82988,20.31706,8.33129,20.21025
45,24,1771521082408,0.00359,8.74961,5.82988,16.59392,7.65991,22.34648
45,25,1771521082426,-0.36033,8.31267,5.56173,19.21843,-3.57055,20.21025
45,26,1771521082443,0.41899,9.01896,5.01466,11.1618,3.32641,16.18193
45,27,1771521082458,0.249,7.91523,3.93726,-3.05939,5.15747,18.5623
45,28,1771521082475,0.55665,7.15028,4.94881,0.96893,-1.80054,15.02227
45,29,1771521082491,1.34075,8.76996,5.54497,18.42497,2.41089,5.01251
45,30,1771521082507,1.34075,8.76996,5.54497,14.03045,9.18578,-5.6076
45,31,1771521082524,1.28449,7.75003,3.95881,-0.61798,5.95092,-9.33074
45,32,1771521082539,0.14365,7.68658,4.61243,2.3117,1.25122,-6.58416
45,33,1771521082557,-0.47405,9.36851,4.96917,4.81414,-9.79614,-3.22723
45,34,1771521082572,-0.44053,8.02536,4.10127,-7.94219,-14.4348,0.06866
45,35,1771521082592,-0.27054,7.60758,5.02902,-10.93291,-13.15307,5.07354
45,36,1771521082606,-0.27054,7.60758,5.02902,-0.74005,-9.36889,6.11114
45,37,1771521082624,0.19513,9.42478,5.48871,-0.43488,-12.72582,3.18146
45,38,1771521082641,0.8272,7.58483,4.13957,-16.18193,6.19506,-1.76239
45,39,1771521082657,0.09816,8.01938,5.15472,-6.23321,13.39721,3.48663
45,40,1771521082671,-0.4525,8.68257,5.60602,5.6076,8.88061,6.78253
45,41,1771521082690,-0.4525,8.68257,5.60602,4.20379,2.16675,3.97491
45,42,1771521082707,0.42856,6.65708,5.11162,10.1242,16.38793,1.65558
45,43,1771521082723,-0.05866,6.41287,5.43484,32.21891,13.33617,5.56182
45,44,1771521082739,-0.8691,8.18697,5.71496,53.7643,-5.88989,8.00323
45,45,1771521082755,-0.81044,8.14388,3.86424,42.65591,-19.50072,15.57158
45,46,1771521082773,-0.31603,9.08001,3.21062,31.54752,-32.19602,16.304
45,47,1771521082791,-0.31603,9.08001,3.21062,10.1242,-32.50119,11.90948
45,48,1771521082807,0.7841,8.58561,1.1157,-30.34208,0.7019,7.57598
45,49,1771521082821,0.80206,6.59483,2.4792,-26.06962,6.98852,6.78253
45,50,1771521082838,0.10415,8.69095,6.2764,4.14276,-0.5188,6.72149
45,51,1771521082856,-0.19872,9.40323,4.40294,6.27899,0.21362,10.20049
45,52,1771521082871,0.17957,8.66342,2.94008,-8.97979,7.53784,12.6419
45,53,1771521082896,0.17957,8.66342,2.94008,-17.82988,5.0354,9.40704
45,54,1771521082906,0.7039,10.31063,3.73495,-46.8826,18.21898,7.82012
45,55,1771521082921,0.80685,9.4128,2.66116,-57.86892,34.57639,5.13458
45,56,1771521082938,0.56264,9.68095,5.00388,-60.18825,30.05979,8.61358
45,57,1771521082953,0.59616,10.14543,6.12916,-66.23073,26.33665,8.43047
45,58,1771521082971,0.96127,9.5804,6.56251,-70.25904,30.85325,3.73077
45,59,1771521082987,0.96127,9.5804,6.56251,-59.02858,23.71214,-6.6452
45,60,1771521083004,0.80445,9.10036,9.02375,-36.26249,12.78686,-7.13348
45,61,1771521083021,0.80445,8.73524,8.90284,-13.43535,9.61303,-16.71599
45,62,1771521083037,0.77213,7.84819,7.14789,-7.51495,9.42992,-25.01677
45,63,1771521083053,-0.01915,7.16465,7.03536,-7.20977,-4.24194,-27.03092
45,64,1771521083069,-0.01915,7.16465,7.03536,2.73895,-19.19554,-19.58464
45,65,1771521083087,-0.93733,7.1036,7.1443,27.45817,-22.36937,-1.091
45,66,1771521083102,-1.43892,7.36217,5.75566,42.71695,-16.93724,8.3084
45,67,1771521083121,-0.89543,7.53695,4.26886,33.0734,-16.20482,13.49639
45,68,1771521083137,-0.30047,7.71412,2.83952,7.19451,-4.91333,16.18193
45,69,1771521083153,-0.10654,7.28675,3.65475,-17.64678,1.37329,18.5623
45,70,1771521083166,-0.10654,7.28675,3.65475,-32.2952,-2.41089,19.17265
45,71,1771521083185,-0.07901,5.9472,4.69024,-22.83476,0.94604,21.91924
45,72,1771521083202,-0.3699,5.55335,5.7377,12.74871,23.28489,24.48271
