ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
vivvan,1,1771574116397,-3.252,8.32695,6.018,4.61661,-4.19906,-18.85246
vivvan,2,1771574116408,-3.24495,8.301,5.25495,6.57039,-16.33145,-21.42074
vivvan,3,1771574116413,-3.34995,8.63595,4.27995,-0.01576,-33.27739,-23.0594
vivvan,4,1771574116423,-3.492,8.89305,3.32505,-5.44382,-39.50114,-22.76003
vivvan,5,1771574116431,-3.54405,9.04605,2.832,-17.94647,-39.92656,-22.45278
vivvan,6,1771574116438,-2.802,8.10705,3.243,-28.49534,-43.21964,-19.40393
vivvan,7,1771574116449,-2.79,7.233,3.72495,-38.42971,-46.33152,-20.86927
vivvan,8,1771574116455,-2.79,7.233,3.72495,-41.36039,-48.27742,-18.12767
vivvan,9,1771574116465,-3.108,7.27395,4.25895,-46.05578,-49.19129,-17.395
vivvan,10,1771574116470,-3.23505,7.81695,5.271,-47.03267,-50.83783,-15.86663
vivvan,11,1771574116481,-3.36,7.72905,6.516,-41.96701,-55.28899,-12.32934
vivvan,12,1771574116490,-3.10605,7.20705,6.804,-28.92076,-46.33152,-9.16231
vivvan,13,1771574116496,-3.10605,7.20705,6.804,-21.60194,-40.47804,-7.63395
vivvan,14,1771574116508,-3.015,6.798,6.61695,-8.86294,-29.13347,-3.30883
vivvan,15,1771574116513,-3.26595,7.21905,6.43995,-3.97848,-27.97538,-0.99265
vivvan,16,1771574116522,-3.53895,7.75305,6.14805,3.33247,-32.60774,5.47533
vivvan,17,1771574116530,-3.468,7.80795,5.47005,8.27208,-38.46123,10.17072
vivvan,18,1771574116539,-3.38895,7.78605,4.857,10.53311,-46.57574,12.36085
vivvan,19,1771574116547,-3.38895,7.78605,4.857,9.49319,-51.99592,13.46379
vivvan,20,1771574116556,-3.23805,7.87005,4.359,4.24633,-61.82,15.0473
vivvan,21,1771574116564,-2.934,7.82505,3.89205,-3.79728,-66.50751,15.77997
vivvan,22,1771574116573,-2.54595,7.56795,3.981,-11.23427,-69.68241,14.43281
vivvan,23,1771574116581,-2.256,7.31205,4.44105,-13.79467,-70.35206,12.91232
vivvan,24,1771574116588,-2.127,7.281,4.78095,-16.72535,-67.90983,8.7684
vivvan,25,1771574116598,-2.127,7.281,4.78095,-17.2138,-66.14511,6.68857
vivvan,26,1771574116605,-2.12895,7.35495,5.08695,-17.82042,-61.69394,2.72585
vivvan,27,1771574116614,-2.09805,7.41495,5.19,-18.37189,-55.59624,-0.62238
vivvan,28,1771574116622,-2.04105,7.35795,5.29305,-19.28576,-49.07312,-3.30883
vivvan,29,1771574116630,-2.03295,7.29795,5.47695,-19.52998,-46.26849,-4.2227
vivvan,30,1771574116639,-2.055,7.305,5.745,-19.16759,-41.14768,-5.56199
vivvan,31,1771574116646,-2.055,7.305,5.745,-18.30887,-38.52425,-6.11346
vivvan,32,1771574116656,-2.09595,7.38195,5.994,-15.01579,-33.71069,-7.20853
vivvan,33,1771574116665,-2.184,7.47705,6.18105,-11.60454,-30.35459,-7.76
vivvan,34,1771574116671,-2.268,7.55205,6.23895,-9.95801,-29.62192,-7.94119
vivvan,35,1771574116681,-2.42805,7.56405,6.23205,-7.02733,-30.47276,-7.76
vivvan,36,1771574116689,-2.598,7.54905,6.114,-3.97848,-34.19126,-6.11346
vivvan,37,1771574116695,-2.598,7.54905,6.114,-3.06461,-36.51532,-4.82932
vivvan,38,1771574116707,-2.72805,7.74795,5.65005,-3.49003,-41.99852,-0.25998
vivvan,39,1771574116711,-2.72805,7.74795,5.65005,-3.49003,-41.99852,-0.25998
vivvan,40,1771574116720,-2.577,7.87005,5.58,-6.23951,-45.22857,2.11923
vivvan,41,1771574116731,-2.28705,7.86795,5.781,-9.34351,-48.27742,3.82879
vivvan,42,1771574116735,-2.28705,7.86795,5.781,-10.99005,-49.49854,4.37238
vivvan,43,1771574116746,-1.98105,7.83705,5.86305,-17.33197,-54.37513,5.4123
vivvan,44,1771574116753,-1.81605,7.72605,5.45805,-24.22537,-47.42658,6.99581
vivvan,45,1771574116764,-1.605,7.58505,5.18505,-27.33725,-28.82622,8.52418
vivvan,46,1771574116772,-1.54005,7.506,5.66895,-28.12507,-19.98692,9.01263
vivvan,47,1771574116779,-1.899,7.58295,6.10905,-31.29997,-12.85717,14.25161
vivvan,48,1771574116787,-1.899,7.58295,6.10905,-32.03264,-4.62449,13.70802
vivvan,49,1771574116796,-1.413,6.84495,5.72205,-31.29997,0.74055,11.99845
vivvan,50,1771574116806,-1.128,7.16595,5.93205,-28.73956,7.57092,9.80044
