ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Ayan,1,1739352388283,-1.29601,-1.0334,5.02702,-4.53173,-18.73724,0.86973
Ayan,2,1739352388295,-0.64696,-1.45514,11.08296,-1.72419,17.44791,0.56456
Ayan,3,1739352388304,-0.64696,-1.45514,11.08296,-4.40966,-7.20194,0.86973
Ayan,4,1739352388319,-0.2994,-2.03719,9.4349,-1.84626,1.76997,0.93076
Ayan,5,1739352388348,-0.47438,-2.9019,9.42533,5.11154,-2.50237,0.50353
Ayan,6,1739352388359,-0.39781,-1.5006,9.53301,6.21014,-1.0986,-0.41198
Ayan,7,1739352388368,-0.39781,-1.5006,9.53301,2.30401,6.28644,0.62559
Ayan,8,1739352388385,-0.66132,0.26949,10.1677,-0.32043,-0.06103,0.74766
Ayan,9,1739352388404,-0.0984,-0.48006,9.81805,-3.67726,2.9296,0.32043
Ayan,10,1739352388442,-0.18694,-1.66122,9.92363,0.59508,4.45543,1.96833
Ayan,11,1739352388472,-0.58923,-1.53649,10.19671,4.07398,0.67137,1.54109
Ayan,12,1739352388488,-0.70917,-1.51017,9.33889,3.58571,-2.5634,2.21246
Ayan,13,1739352388502,-0.45523,-1.49342,10.12702,7.85042,6.71367,1.90729
Ayan,14,1739352388514,-0.45523,-1.49342,10.12702,4.01294,-1.2817,1.90729
Ayan,15,1739352388529,-0.33799,-0.76511,9.06581,5.11154,3.78407,2.27349
Ayan,16,1739352388548,-0.42413,-0.8324,9.54258,3.21951,0.5493,2.45659
Ayan,17,1739352388562,-0.55334,-0.93051,9.40379,2.30401,2.44133,2.39556
Ayan,18,1739352388575,-0.55334,-0.93051,9.40379,-1.05283,6.4085,2.70073
Ayan,19,1739352388587,-0.45045,-0.9018,11.35364,-0.44249,-0.06103,2.33453
Ayan,20,1739352388603,-0.3667,-1.4001,10.00978,0.65611,7.1409,3.49416
Ayan,21,1739352388625,-0.45284,-1.599,9.37478,-0.44249,3.96717,2.63969
Ayan,22,1739352388634,-0.2994,-1.32114,10.41685,-3.67726,-3.8451,2.45659
Ayan,23,1739352388652,-0.2994,-1.32114,10.41685,4.86741,5.1268,2.94486
Ayan,24,1739352388668,-0.43848,-1.91994,10.34028,1.75471,-0.12207,2.09039
Ayan,25,1739352388693,-0.44566,-1.14138,11.0016,0.77818,3.53993,3.12796
