ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Lalit,1,1771341829456,-3.78344,4.28562,9.64384,-10.16998,-14.48058,6.70623
Lalit,2,1771341829467,-3.31657,4.41611,8.99382,-5.71441,-8.74328,8.65936
Lalit,3,1771341829474,-3.31657,4.41611,8.99382,-5.3482,-3.61633,9.02557
Lalit,4,1771341829483,-2.49536,4.55497,8.06367,-5.10406,-0.74768,9.14764
Lalit,5,1771341829495,-2.49536,4.55497,8.06367,-2.41852,5.35583,9.88006
Lalit,6,1771341829499,-2.66415,4.40413,7.98706,-3.88336,4.56237,10.67352
Lalit,7,1771341829508,-2.66415,4.40413,7.98706,-6.08062,3.70788,12.07732
Lalit,8,1771341829516,-2.66415,4.40413,7.98706,-9.31548,2.48718,14.94597
Lalit,9,1771341829524,-2.7647,4.48554,7.67581,-14.68657,-1.11389,16.96013
Lalit,10,1771341829532,-2.7647,4.48554,7.67581,-17.98247,-2.5177,17.32634
Lalit,11,1771341829540,-2.24995,4.28203,7.42921,-26.71049,-4.776,15.61736
Lalit,12,1771341829549,-2.24995,4.28203,7.42921,-37.5137,-6.72912,11.89422
Lalit,13,1771341829557,-2.24995,4.28203,7.42921,-42.21341,-7.33947,9.88006
Lalit,14,1771341829566,-2.24995,3.81396,7.80151,-47.7676,-10.6964,6.52313
Lalit,15,1771341829574,-2.24995,3.81396,7.80151,-49.29348,-16.61681,4.14276
Lalit,16,1771341829582,-2.76949,3.3878,9.29429,-47.88968,-18.99718,3.59344
Lalit,17,1771341829591,-2.76949,3.3878,9.29429,-43.31204,-24.30723,3.3493
Lalit,18,1771341829599,-2.61507,3.4261,9.95509,-34.95023,-24.79552,2.92206
Lalit,19,1771341829608,-2.61507,3.4261,9.95509,-29.82328,-23.26964,2.37274
Lalit,20,1771341829616,-2.61507,3.4261,9.95509,-24.8184,-21.31651,1.39618
Lalit,21,1771341829624,-2.25235,3.51828,9.74201,-13.28277,-14.66368,-0.37384
Lalit,22,1771341829632,-2.25235,3.51828,9.74201,-10.59722,-12.22228,-0.49591
Lalit,23,1771341829640,-2.63183,3.58053,9.21049,-4.92096,-6.85119,0.96893
Lalit,24,1771341829650,-2.63183,3.58053,9.21049,-0.28229,-2.21252,3.77655
Lalit,25,1771341829658,-2.63183,3.58053,9.21049,1.97601,0.59509,5.97381
Lalit,26,1771341829667,-2.74316,3.81157,8.8777,4.72259,6.27136,10.61248
Lalit,27,1771341829676,-2.74316,3.81157,8.8777,7.28607,13.22936,13.17595
Lalit,28,1771341829684,-2.19848,3.98515,8.76996,8.07952,16.34215,13.72527
Lalit,29,1771341829692,-2.19848,3.98515,8.76996,6.3095,18.84459,12.19939
Lalit,30,1771341829700,-2.01771,3.53743,8.43717,0.3891,19.76012,8.47625
Lalit,31,1771341829709,-2.01771,3.53743,8.43717,-3.82232,17.86803,6.6452
Lalit,32,1771341829718,-2.01771,3.53743,8.43717,-10.9024,10.72692,3.28827
Lalit,33,1771341829726,-2.60549,3.1795,9.03452,-14.13726,0.41199,0.48065
Lalit,34,1771341829733,-2.60549,3.1795,9.03452,-14.5645,-5.75256,-0.55695
Lalit,35,1771341829741,-2.71443,3.29203,10.00058,-11.87896,-16.37267,-1.53351
Lalit,36,1771341829750,-2.71443,3.29203,10.00058,-9.8648,-20.58409,-2.02179
Lalit,37,1771341829759,-2.71443,3.29203,10.00058,-5.95855,-24.55137,-3.48663
Lalit,38,1771341829767,-2.09313,3.47159,9.5397,-4.37164,-24.06309,-6.05011
Lalit,39,1771341829775,-2.09313,3.47159,9.5397,-4.3106,-23.69688,-7.45391
Lalit,40,1771341829783,-2.14341,3.37582,8.90284,-3.45611,-21.80479,-9.40704
Lalit,41,1771341829793,-2.14341,3.37582,8.90284,-2.96783,-21.37755,-9.95635
Lalit,42,1771341829801,-2.59831,3.35907,8.50181,-5.22613,-20.64513,-9.22393
Lalit,43,1771341829809,-2.59831,3.35907,8.50181,-6.62994,-20.46202,-8.00323
Lalit,44,1771341829818,-2.59831,3.35907,8.50181,-5.83648,-18.63097,-4.34112
Lalit,45,1771341829825,-3.0568,3.52786,8.59638,-5.95855,-17.71544,-2.20489
Lalit,46,1771341829834,-3.0568,3.52786,8.59638,-7.30133,-11.06261,1.27411
Lalit,47,1771341829843,-2.89639,3.41413,8.74602,-7.05718,-6.79016,2.61688
Lalit,48,1771341829850,-2.89639,3.41413,8.74602,-6.32476,-5.50842,2.79999
Lalit,49,1771341829858,-2.89639,3.41413,8.74602,-5.1651,-5.9967,2.43377
Lalit,50,1771341829866,-2.86885,2.89938,9.15902,-5.22613,-9.10949,1.39618
Lalit,51,1771341829875,-2.86885,2.89938,9.15902,-4.18853,-10.6964,0.84686
Lalit,52,1771341829883,-2.68689,2.93769,9.76475,0.99945,-13.50402,-0.06866
Lalit,53,1771341829893,-2.68689,2.93769,9.76475,4.96673,-14.35851,-1.10626
Lalit,54,1771341829901,-2.68689,2.93769,9.76475,6.1264,-14.90783,-1.28937
Lalit,55,1771341829908,-2.40917,3.43329,9.22366,8.75091,-12.58849,-0.92316
Lalit,56,1771341829917,-2.40917,3.43329,9.22366,11.61956,-7.0343,0.72479
Lalit,57,1771341829926,-2.86287,3.49673,9.18775,12.77923,-5.87463,1.64032
Lalit,58,1771341829935,-2.86287,3.49673,9.18775,13.38958,-3.61633,3.65448
Lalit,59,1771341829943,-3.06159,3.45244,8.6299,11.13128,-3.86047,7.25555
Lalit,60,1771341829951,-3.06159,3.45244,8.6299,9.72747,-3.43322,9.20867
Lalit,61,1771341829960,-3.06159,3.45244,8.6299,8.26263,-2.27356,13.23699
Lalit,62,1771341829967,-2.77787,3.64996,8.40963,6.37054,-2.5177,15.73943
Lalit,63,1771341829975,-2.77787,3.64996,8.40963,8.01849,-2.02942,16.10564
Lalit,64,1771341829983,-2.21404,3.41054,9.27873,13.75579,-0.13733,15.37322
Lalit,65,1771341829991,-2.21404,3.41054,9.27873,9.6054,1.87683,13.23699
Lalit,66,1771341830000,-2.21404,3.41054,9.27873,6.43157,3.40271,11.71111
Lalit,67,1771341830009,-1.92793,3.03226,7.75721,-0.89264,7.67517,8.049
Lalit,68,1771341830019,-1.92793,3.03226,7.75721,-8.39996,9.81139,3.1662
Lalit,69,1771341830025,-1.97222,3.35069,7.95474,-13.03863,10.36071,1.091
Lalit,70,1771341830035,-1.97222,3.35069,7.95474,-19.50835,8.7738,-2.08282
Lalit,71,1771341830043,-2.89998,3.18788,9.55406,-19.93559,4.2572,-3.36456
Lalit,72,1771341830051,-2.89998,3.18788,9.55406,-19.56938,1.44958,-3.54767
Lalit,73,1771341830059,-2.89998,3.18788,9.55406,-21.1563,-7.94982,-3.05939
Lalit,74,1771341830068,-3.33093,3.0981,10.03649,-19.93559,-17.34923,-2.388
Lalit,75,1771341830076,-3.33093,3.0981,10.03649,-17.61626,-19.85167,-1.65558
Lalit,76,1771341830084,-3.45543,3.10648,10.16937,-14.99175,-24.12413,0.41962
Lalit,77,1771341830092,-3.45543,3.10648,10.16937,-14.01519,-25.58897,1.39618
Lalit,78,1771341830100,-3.45543,3.10648,10.16937,-8.8272,-26.01622,3.47137
Lalit,79,1771341830108,-3.18848,3.12922,9.97544,0.99945,-22.41514,5.79071
Lalit,80,1771341830117,-3.18848,3.12922,9.97544,5.45501,-21.01134,6.46209
Lalit,81,1771341830125,-2.71682,2.94367,9.51216,15.09856,-13.93126,7.13348
Lalit,82,1771341830134,-2.71682,2.94367,9.51216,20.53069,-5.38635,8.35418
Lalit,83,1771341830142,-2.71682,2.94367,9.51216,21.62932,-1.11389,9.02557
Lalit,84,1771341830150,-2.50733,3.20105,8.60715,24.43693,4.37927,9.51385
Lalit,85,1771341830159,-2.50733,3.20105,8.60715,24.31486,9.50622,9.57488
Lalit,86,1771341830168,-2.50613,3.21661,8.24563,21.08,10.11657,9.51385
Lalit,87,1771341830177,-2.50613,3.21661,8.24563,11.68059,6.27136,8.84246
Lalit,88,1771341830185,-2.74795,3.23935,8.27077,6.73675,0.59509,8.47625
Lalit,89,1771341830192,-2.74795,3.23935,8.27077,5.76019,-3.18908,8.78143
Lalit,90,1771341830202,-2.74795,3.23935,8.27077,0.32806,-13.93126,9.20867
Lalit,91,1771341830210,-2.51092,3.16753,8.36893,-2.96783,-20.70616,8.84246
Lalit,92,1771341830219,-2.51092,3.16753,8.36893,1.06049,-23.0255,7.43865
Lalit,93,1771341830226,-1.82259,3.21661,8.96509,2.8305,-21.49962,6.8283
Lalit,94,1771341830235,-1.82259,3.21661,8.96509,3.13568,-18.08165,5.6076
Lalit,95,1771341830243,-1.82259,3.21661,8.96509,2.70843,-13.50402,4.93621
Lalit,96,1771341830251,-1.69689,3.10408,7.77517,2.52533,-3.18908,5.18036
Lalit,97,1771341830260,-1.69689,3.10408,7.77517,6.43157,1.87683,6.6452
Lalit,98,1771341830269,-1.95786,3.19147,8.48984,8.81194,5.11169,7.31658
Lalit,99,1771341830279,-1.95786,3.19147,8.48984,11.31438,6.39343,9.33074
Lalit,100,1771341830284,-1.95786,3.19147,8.48984,11.8637,7.43102,8.96453
Lalit,101,1771341830292,-1.6909,3.20584,8.54371,12.04681,7.55309,8.41522
Lalit,102,1771341830301,-1.6909,3.20584,8.54371,10.03265,8.34655,5.05828
Lalit,103,1771341830309,-1.1965,3.03585,8.38809,3.99017,8.89587,-0.61798
Lalit,104,1771341830318,-1.1965,3.03585,8.38809,0.20599,8.22448,-3.91388
Lalit,105,1771341830326,-1.49817,2.85628,8.62272,-4.49371,5.23376,-10.13946
Lalit,106,1771341830334,-1.49817,2.85628,8.62272,-10.29205,-1.96838,-14.83916
Lalit,107,1771341830342,-1.49817,2.85628,8.62272,-9.98687,-6.11877,-16.36504
Lalit,108,1771341830350,-2.2727,2.82875,9.73004,-5.47027,-13.25988,-17.70781
Lalit,109,1771341830359,-2.2727,2.82875,9.73004,-3.45611,-17.77648,-17.21953
Lalit,110,1771341830368,-2.58753,3.05141,9.97664,1.24359,-19.7296,-15.20537
Lalit,111,1771341830376,-2.58753,3.05141,9.97664,2.15912,-18.99718,-13.25225
Lalit,112,1771341830385,-2.58753,3.05141,9.97664,2.70843,-18.14269,-12.15362
