ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Yogesh ,1,1771426529223,-2.92571,5.01346,10.30943,7.105,8.4,-12.425
Yogesh ,2,1771426529229,-2.92571,5.01346,10.30943,16.73,-1.54,-6.755
Yogesh ,3,1771426529237,-2.85149,4.7477,8.23605,28.49,-22.925,4.2
Yogesh ,4,1771426529255,-2.59531,4.48673,6.25605,33.005,-41.405,12.88
Yogesh ,5,1771426529273,-2.59531,4.48673,6.25605,19.46,-52.815,13.16
Yogesh ,6,1771426529288,-2.21224,5.10204,5.19302,-6.335,-53.83,3.185
Yogesh ,7,1771426529304,-1.92733,5.69102,5.85382,-39.795,-43.435,-11.55
Yogesh ,8,1771426529322,-1.97282,5.39653,7.92002,-61.25,-30.17,-17.92
Yogesh ,9,1771426529339,-1.76692,4.32632,10.39084,-61.25,-23.59,-18.865
Yogesh ,10,1771426529355,-2.02549,3.65116,11.38922,-47.145,-16.03,-15.855
Yogesh ,11,1771426529372,-2.02549,3.65116,11.38922,-31.185,-3.5,-8.505
Yogesh ,12,1771426529388,-2.28886,3.86903,11.08037,-24.045,4.41,-3.325
Yogesh ,13,1771426529405,-2.27449,3.90973,10.30943,-31.535,-12.635,-12.11
Yogesh ,14,1771426529423,-2.65038,3.94804,10.35971,-37.765,-22.89,-15.33
Yogesh ,15,1771426529443,-2.41575,3.25133,10.66138,-36.995,-26.11,-13.02
Yogesh ,16,1771426529455,-1.95367,2.16196,10.47463,-27.93,-32.305,-7.175
Yogesh ,17,1771426529473,-1.95367,2.16196,10.47463,-15.26,-42.07,-0.98
Yogesh ,18,1771426529488,-1.80283,1.85551,10.27112,8.75,-43.68,13.44
Yogesh ,19,1771426529506,-1.71904,2.11169,9.5792,38.78,-29.68,33.25
Yogesh ,20,1771426529522,-0.64643,2.16436,7.48427,72.975,-5.985,53.865
Yogesh ,21,1771426529539,0.50757,2.59292,4.707,91.945,11.305,59.535
Yogesh ,22,1771426529555,0.58419,4.24731,2.90896,92.085,16.03,48.825
Yogesh ,23,1771426529572,0.58419,4.24731,2.90896,78.68,5.18,23.135
Yogesh ,24,1771426529589,-0.43574,5.59764,2.48279,59.99,-4.76,-4.515
Yogesh ,25,1771426529604,-1.075,5.97832,3.00712,41.58,-7.105,-26.67
Yogesh ,26,1771426529623,-1.51074,5.98072,3.80918,1.295,14.945,-54.95
Yogesh ,27,1771426529639,-2.90656,6.00466,4.24253,-46.97,21.77,-46.305
Yogesh ,28,1771426529656,-3.10289,4.69503,6.28239,-107.31001,47.04,-12.915
Yogesh ,29,1771426529672,-3.10289,4.69503,6.28239,-139.3,42.455,3.815
Yogesh ,30,1771426529687,-1.95367,3.58651,10.34295,-127.575,23.1,-8.155
Yogesh ,31,1771426529705,-1.41497,3.22738,13.18008,-85.36501,7.525,-32.41
Yogesh ,32,1771426529722,-2.1883,2.74615,13.60385,-45.885,1.645,-38.605
Yogesh ,33,1771426529738,-2.5618,2.73897,12.27986,-19.74,1.505,-23.31
Yogesh ,34,1771426529755,-1.59454,4.38857,11.28387,-22.155,10.22,-6.125
Yogesh ,35,1771426529772,-1.59454,4.38857,11.28387,-31.885,12.005,-19.425
Yogesh ,36,1771426529787,-2.0231,5.3678,10.85292,-47.495,11.69,-31.5
Yogesh ,37,1771426529805,-2.44927,4.23295,11.61188,-47.355,11.515,-17.745
Yogesh ,38,1771426529823,-2.81319,4.01029,11.80102,-30.31,16.17,1.715
Yogesh ,39,1771426529838,-2.38223,3.48356,10.817,-10.29,17.395,3.5
Yogesh ,40,1771426529859,-2.90417,2.81798,9.88326,4.69,11.935,-2.87
Yogesh ,41,1771426529875,-3.72059,2.3966,9.60554,19.32,-12.635,-3.64
Yogesh ,42,1771426529893,-3.72059,2.3966,9.60554,31.325,-34.685,1.365
Yogesh ,43,1771426529908,-3.15316,2.08296,9.9934,49.105,-27.37,10.5
Yogesh ,44,1771426529928,-2.11408,1.74298,8.94713,80.22,-0.315,26.215
Yogesh ,45,1771426529942,-1.71185,2.07577,6.91445,83.615,2.695,28.77
Yogesh ,46,1771426529963,-1.80283,3.31358,5.22654,73.92001,13.055,26.775
Yogesh ,47,1771426529978,-1.92733,4.77883,4.29999,49.595,18.2,15.68
Yogesh ,48,1771426529992,-1.92733,4.77883,4.29999,16.31,13.545,-5.39
Yogesh ,49,1771426530010,-2.09971,5.34625,4.16352,-30.59,10.43,-24.08
Yogesh ,50,1771426530027,-2.6839,5.10683,5.9879,-62.09,8.75,-30.345
Yogesh ,51,1771426530044,-3.19865,4.13,9.14346,-66.43,8.155,-25.725
Yogesh ,52,1771426530061,-3.50032,3.18668,11.21923,-45.5,-4.095,-16.24
Yogesh ,53,1771426530077,-3.95283,3.66313,12.03326,-17.78,-9.24,-5.145
Yogesh ,54,1771426530096,-3.31597,3.49314,11.20486,33.915,-3.185,10.57
Yogesh ,55,1771426530112,-3.31597,3.49314,11.20486,47.845,-4.935,11.62
Yogesh ,56,1771426530127,-3.20584,3.66313,9.15782,45.535,-7.945,12.635
Yogesh ,57,1771426530142,-3.03106,3.94325,8.21451,41.58,-9.03,13.09
Yogesh ,58,1771426530162,-2.69827,3.87382,8.07564,34.65,-8.435,12.67
Yogesh ,59,1771426530178,-2.58095,3.82354,8.03973,33.775,-3.745,12.635
Yogesh ,60,1771426530194,-2.58095,3.82354,8.03973,33.25,2.905,14.56
Yogesh ,61,1771426530209,-2.478,3.80678,7.54892,27.335,11.235,14.945
Yogesh ,62,1771426530227,-2.44448,4.22337,7.01262,14.91,17.675,12.775
Yogesh ,63,1771426530243,-2.38702,4.88417,7.08444,4.55,20.685,11.48
Yogesh ,64,1771426530262,-2.33435,5.11162,7.40048,-2.17,24.185,11.025
Yogesh ,65,1771426530276,-2.26731,5.37738,6.90488,-12.285,37.975,9.59
Yogesh ,66,1771426530293,-2.26731,5.37738,6.90488,-32.41,64.29501,6.755
Yogesh ,67,1771426530310,-2.91374,5.07092,6.91685,-72.625,97.055,0.805
Yogesh ,68,1771426530325,-4.14676,4.13479,7.66863,-125.93,137.06,-13.475
Yogesh ,69,1771426530346,-4.81953,2.42054,10.39323,-160.96501,148.155,-31.64
Yogesh ,70,1771426530355,-4.52265,2.97839,10.58716,-155.855,148.67999,-25.41
Yogesh ,71,1771426530374,-4.52265,2.97839,10.58716,-152.11,139.65001,9.275
Yogesh ,72,1771426530391,-5.72932,1.47004,7.54892,-148.295,97.72,78.96
Yogesh ,73,1771426530410,-4.49152,0.10056,8.59518,-120.085,-2.24,91.805
Yogesh ,74,1771426530427,-5.25527,0.45011,9.18655,-72.59,-106.26,102.095
Yogesh ,75,1771426530443,-4.30717,1.30245,10.34535,-1.855,-174.895,97.72
Yogesh ,76,1771426530459,-2.98318,1.8986,9.98382,55.125,-121.48499,63.21
Yogesh ,77,1771426530478,-3.05021,3.23696,9.76834,27.37,-99.89,13.475
Yogesh ,78,1771426530492,-3.05021,3.23696,9.76834,12.88,-94.675,14.42
Yogesh ,79,1771426530510,-1.32878,2.37744,9.71567,9.31,-86.8,18.585
Yogesh ,80,1771426530528,-0.73502,1.34315,9.86651,31.5,-79.20499,24.99
Yogesh ,81,1771426530544,1.12527,1.64242,9.42118,50.47,-71.505,13.79
Yogesh ,82,1771426530560,2.51152,1.97043,7.1419,64.925,-74.79501,-8.435
Yogesh ,83,1771426530576,2.51152,1.97043,7.1419,63.805,-82.32,-22.4
Yogesh ,84,1771426530593,1.81002,2.37744,4.86023,39.06,-117.39,-58.695
Yogesh ,85,1771426530612,1.55384,2.68869,5.37498,29.61,-109.165,-81.095
Yogesh ,86,1771426530630,0.80206,3.46202,7.1036,38.99,-65.905,-90.895
Yogesh ,87,1771426530642,-0.50278,4.06296,7.31668,34.51,-0.805,-96.39
Yogesh ,88,1771426530659,-3.26569,4.80277,8.26239,22.925,-0.175,-73.01
Yogesh ,89,1771426530678,-5.37259,5.14993,8.90643,45.5,-13.965,3.43
Yogesh ,90,1771426530694,-5.37259,5.14993,8.90643,56.595,-10.535,37.03
Yogesh ,91,1771426530711,-2.99275,2.7677,8.57842,65.695,-24.36,71.015
Yogesh ,92,1771426530728,-1.38864,2.7677,8.1738,65.38,-13.195,73.99
Yogesh ,93,1771426530744,-1.48201,3.96719,8.12831,53.48,-18.865,67.445
Yogesh ,94,1771426530759,-2.34871,5.01585,9.10036,37.03,-32.375,61.005
Yogesh ,95,1771426530778,-2.38702,6.04536,9.87369,11.865,-23.8,57.575
Yogesh ,96,1771426530794,-1.82917,7.3502,9.87848,-38.15,-0.63,48.545
Yogesh ,97,1771426530808,-1.82917,7.3502,9.87848,-115.18501,0.21,30.45
Yogesh ,98,1771426530822,-1.70467,7.21852,13.30219,-180.845,-20.195,21.56
Yogesh ,99,1771426530843,0.5794,3.18429,18.38029,-177.24001,-49.49,12.95
Yogesh ,100,1771426530860,0.91219,0.35434,19.06263,-123.06,-51.975,6.79
Yogesh ,101,1771426530878,0.44772,0.13886,17.03953,-0.105,-22.47,23.66
Yogesh ,102,1771426530894,0.14844,1.53229,11.99016,51.87,-9.905,44.94
Yogesh ,103,1771426530910,0.14844,1.53229,11.99016,75.53,3.78,54.635
Yogesh ,104,1771426530924,0.61052,3.36864,7.45554,77.14,10.885,57.12
Yogesh ,105,1771426530946,0.19872,3.91931,4.7501,51.66,9.065,62.3
Yogesh ,106,1771426530962,-0.02634,4.08451,3.99832,24.605,6.475,57.75
Yogesh ,107,1771426530976,0.22266,3.76368,5.54976,6.825,2.45,61.495
Yogesh ,108,1771426530993,0.22266,3.76368,5.54976,6.265,-3.465,56.735
Yogesh ,109,1771426531007,0.50039,3.00472,7.19697,13.58,-3.01,50.96
Yogesh ,110,1771426531022,0.2083,2.84671,7.25204,13.79,3.955,48.51
Yogesh ,111,1771426531038,0.03352,2.727,6.69898,2.975,18.375,46.9
Yogesh ,112,1771426531054,-0.25139,2.96402,6.98389,-9.38,26.74,45.395
Yogesh ,113,1771426531070,-0.25139,2.96402,6.98389,-20.09,30.065,38.22
Yogesh ,114,1771426531087,-0.32561,3.24414,7.98945,-26.145,18.27,27.23
Yogesh ,115,1771426531104,-0.28491,3.00233,8.78433,-35.735,6.37,19.67
Yogesh ,116,1771426531122,0.06704,2.35829,9.94312,-48.475,8.89,18.27
Yogesh ,117,1771426531137,0.32561,1.4054,11.28866,-54.355,17.99,21.14
Yogesh ,118,1771426531154,0.96007,0.93134,12.26071,-48.895,22.295,24.325
Yogesh ,119,1771426531172,0.96007,0.93134,12.26071,-30.1,14.7,22.61
Yogesh ,120,1771426531194,1.20189,0.52433,11.25993,5.74,6.125,25.62
Yogesh ,121,1771426531210,1.20189,0.52433,11.25993,26.705,4.9,38.01
Yogesh ,122,1771426531227,1.20668,0.80924,9.9096,48.3,-7.14,51.8
Yogesh ,123,1771426531242,2.33435,1.72383,8.60955,67.935,-24.22,54.075
Yogesh ,124,1771426531258,3.41413,3.03345,7.41724,81.445,-36.925,42.35
Yogesh ,125,1771426531280,3.33512,3.49314,6.30393,82.53,-41.895,28.84
Yogesh ,126,1771426531290,3.33512,3.49314,6.30393,68.285,-43.925,15.785
Yogesh ,127,1771426531307,2.83234,3.22499,6.09085,46.585,-38.185,12.04
Yogesh ,128,1771426531324,2.70305,3.15795,7.05092,34.86,-32.55,9.275
Yogesh ,129,1771426531342,3.14119,3.19865,7.1443,12.25,-1.435,-3.955
Yogesh ,130,1771426531358,1.98,3.07176,7.35978,-9.905,7.07,-12.46
Yogesh ,131,1771426531374,1.18513,2.14281,9.7037,-31.395,-0.595,-11.55
Yogesh ,132,1771426531391,1.18513,2.14281,9.7037,-22.155,-10.185,-6.545
Yogesh ,133,1771426531407,1.52989,1.12049,12.38281,7.14,-3.255,-3.675
Yogesh ,134,1771426531425,1.15401,1.37906,11.3557,26.985,11.83,2.38
Yogesh ,135,1771426531441,0.50757,2.32238,8.93995,16.45,14.21,12.39
Yogesh ,136,1771426531457,1.49398,2.92332,8.9591,-0.525,7.525,15.435
Yogesh ,137,1771426531474,2.15478,3.21541,9.77074,-14.525,6.475,6.335
Yogesh ,138,1771426531490,2.15478,3.21541,9.77074,-28.91,16.59,0.7
Yogesh ,139,1771426531508,1.96803,2.81079,9.98143,-57.19,29.715,-2.975
Yogesh ,140,1771426531526,2.09253,2.37744,12.14579,-65.66,10.36,-19.565
Yogesh ,141,1771426531542,1.69031,0.83079,14.38676,-37.66,-1.96,-20.755
Yogesh ,142,1771426531559,0.88585,-0.6177,13.55118,-1.05,5.18,-6.265
Yogesh ,143,1771426531576,0.19393,-0.74699,10.86968,20.895,16.94,18.76
Yogesh ,144,1771426531590,0.19393,-0.74699,10.86968,30.485,26.32,41.86
Yogesh ,145,1771426531606,0.89783,0.22027,8.41801,28.875,29.05,51.66
Yogesh ,146,1771426531625,1.63763,0.93374,7.83383,29.82,19.355,47.74
Yogesh ,147,1771426531642,2.15957,1.12527,8.51378,39.83,-0.805,35.945
Yogesh ,148,1771426531659,2.34392,1.13725,8.53054,47.775,-16.625,26.145
Yogesh ,149,1771426531673,2.42772,1.69509,8.26718,43.61,-20.895,17.92
Yogesh ,150,1771426531687,2.42772,1.69509,8.26718,24.92,-15.96,5.215
Yogesh ,151,1771426531703,2.15718,2.01592,8.73165,8.855,-13.475,-7.91
Yogesh ,152,1771426531721,2.17872,1.50116,9.88805,10.78,-7.91,-17.5
Yogesh ,153,1771426531740,1.7765,1.03908,9.6223,35.525,0.98,-24.22
Yogesh ,154,1771426531753,0.97205,1.18274,8.03734,39.795,1.155,-22.89
Yogesh ,155,1771426531771,0.94571,1.92254,7.45794,40.95,-8.435,-16.8
Yogesh ,156,1771426531790,0.94571,1.92254,7.45794,42.805,-17.255,-16.17
Yogesh ,157,1771426531807,1.45089,2.35829,7.82665,48.37,-25.83,-18.655
Yogesh ,158,1771426531824,1.85311,2.88501,7.81946,49.735,-33.74,-23.695
Yogesh ,159,1771426531842,2.09014,3.62482,6.95755,30.835,-27.055,-26.46
Yogesh ,160,1771426531859,2.36068,3.9648,7.8458,-9.555,-1.015,-27.3
Yogesh ,161,1771426531875,2.32477,3.55539,10.31183,-28.7,9.17,-26.775
Yogesh ,162,1771426531894,2.42533,3.25372,11.45625,-15.575,-2.415,-25.235
Yogesh ,163,1771426531908,2.42533,3.25372,11.45625,-9.38,-4.9,-23.38
Yogesh ,164,1771426531925,2.94008,4.00311,11.315,-8.085,-2.555,-23.24
Yogesh ,165,1771426531942,3.33752,5.02064,10.7787,-23.905,-4.935,-27.545
Yogesh ,166,1771426531959,3.11246,5.25288,11.71004,-39.69,-15.75,-31.36
Yogesh ,167,1771426531976,3.36625,4.43885,13.52245,-41.79,-18.095,-33.565
Yogesh ,168,1771426531994,2.44687,3.45244,14.01326,-24.01,-10.92,-37.38
Yogesh ,169,1771426532010,2.44687,3.45244,14.01326,-0.385,-9.415,-31.815
Yogesh ,170,1771426532028,1.13485,2.79643,12.10269,21,-9.87,-15.365
Yogesh ,171,1771426532043,1.13246,3.00472,9.87369,37.835,-10.185,-2.835
Yogesh ,172,1771426532058,0.73502,3.2633,7.38132,45.885,-13.965,3.92
Yogesh ,173,1771426532076,0.2059,2.96163,5.63116,37.275,-22.19,13.93
Yogesh ,174,1771426532091,0.2059,2.96163,5.63116,20.195,-33.355,26.11
Yogesh ,175,1771426532108,1.00796,2.42293,6.23211,12.215,-32.69,27.335
Yogesh ,176,1771426532125,1.75734,2.08535,7.39808,22.085,-12.53,18.585
Yogesh ,177,1771426532142,1.43892,2.19548,6.76601,23.31,1.785,14.84
Yogesh ,178,1771426532158,0.66798,2.73178,5.79397,14.035,4.62,16.415
Yogesh ,179,1771426532176,1.25217,3.55539,6.02142,-12.04,2.87,15.505
Yogesh ,180,1771426532191,1.25217,3.55539,6.02142,-26.775,-1.47,9.94
Yogesh ,181,1771426532209,2.53307,3.73735,8.7125,-20.51,-3.64,-3.15
Yogesh ,182,1771426532227,3.06937,3.51229,10.04368,-7.49,1.75,-13.685
Yogesh ,183,1771426532242,2.5618,3.35188,10.09874,4.865,6.65,-16.45
Yogesh ,184,1771426532258,2.64559,3.58651,9.86172,20.265,3.605,-11.76
Yogesh ,185,1771426532275,2.61686,3.86664,8.92319,38.115,-6.055,-8.225
Yogesh ,186,1771426532292,2.61686,3.86664,8.92319,53.235,-21.77,-2.065
Yogesh ,187,1771426532308,2.69108,4.11803,7.3095,47.88,-26.81,3.64
Yogesh ,188,1771426532326,3.11007,4.49152,7.1036,32.06,-20.685,4.27
Yogesh ,189,1771426532342,2.93529,4.36942,7.77158,29.61,-22.715,3.15
Yogesh ,190,1771426532358,2.75812,3.82833,8.59997,34.02,-28.77,4.9
Yogesh ,191,1771426532374,3.47159,3.77087,8.87291,44.87,-26.425,4.025
Yogesh ,192,1771426532394,3.70862,4.73334,7.62793,57.54,-14.315,-4.235
Yogesh ,193,1771426532410,3.70862,4.73334,7.62793,57.505,-5.705,-12.985
Yogesh ,194,1771426532426,3.29682,6.33745,5.6575,41.055,-5.775,-20.475
Yogesh ,195,1771426532443,3.29442,7.00304,5.13556,12.425,-4.655,-23.17
Yogesh ,196,1771426532459,3.3447,6.53378,6.85939,-20.37,2.66,-24.71
Yogesh ,197,1771426532476,2.82755,5.62159,9.66539,-41.195,10.045,-22.855
Yogesh ,198,1771426532492,2.82755,5.62159,9.66539,-40.565,11.655,-18.165
Yogesh ,199,1771426532508,2.6432,4.46997,12.06199,-5.46,19.915,-11.2
Yogesh ,200,1771426532526,2.27689,4.18267,12.18409,15.435,21.735,-8.05
Yogesh ,201,1771426532543,1.84832,4.52504,10.30225,24.955,22.47,-0.875
Yogesh ,202,1771426532559,2.12366,5.33189,8.58321,27.405,18.725,0.735
Yogesh ,203,1771426532578,2.41096,5.88255,7.07965,21.735,13.545,-1.33
Yogesh ,204,1771426532594,2.48279,5.91847,7.08684,6.02,9.31,0.42
Yogesh ,205,1771426532610,2.48279,5.91847,7.08684,-8.295,9.17,2.17
Yogesh ,206,1771426532626,2.73178,5.4923,8.31746,-15.575,11.62,3.815
Yogesh ,207,1771426532642,2.54743,4.88657,9.55765,-12.6,13.23,4.97
Yogesh ,208,1771426532658,2.81798,4.74531,10.07001,-2.345,10.78,4.83
Yogesh ,209,1771426532676,2.31759,4.61363,8.74602,16.695,-2.135,-2.555
Yogesh ,210,1771426532694,1.84114,4.0055,7.61117,17.36,-4.62,2.1
Yogesh ,211,1771426532708,1.84114,4.0055,7.61117,19.145,-1.61,8.68
Yogesh ,212,1771426532723,1.9417,3.64158,7.07487,21.42,0.21,12.145
Yogesh ,213,1771426532744,2.07577,4.42927,6.21535,22.085,-6.23,12.46
Yogesh ,214,1771426532760,2.30562,5.02064,5.80833,14.945,-13.3,10.01
Yogesh ,215,1771426532777,2.27928,5.04458,6.09803,3.815,-6.965,7.245
Yogesh ,216,1771426532793,1.93691,4.82192,6.79714,-5.705,2.835,6.58
Yogesh ,217,1771426532810,1.93691,4.82192,6.79714,-12.845,9.695,8.715
Yogesh ,218,1771426532826,1.75016,4.62799,7.47709,-16.66,14.805,11.27
Yogesh ,219,1771426532845,1.87227,5.00628,8.1738,-11.69,6.755,4.935
Yogesh ,220,1771426532859,1.7765,4.87459,8.26478,-5.39,-2.555,1.715
Yogesh ,221,1771426532875,1.59454,4.70939,8.24324,-2.87,-5.775,0.98
Yogesh ,222,1771426532894,1.58017,4.65193,8.33182,-5.285,-1.925,4.62
Yogesh ,223,1771426532910,1.58017,4.65193,8.33182,-3.36,-2.555,8.225
Yogesh ,224,1771426532927,1.76213,4.56814,8.97586,4.235,-6.475,10.57
Yogesh ,225,1771426532946,2.09493,4.4604,9.23444,15.26,-7.35,10.92
Yogesh ,226,1771426532960,2.29604,4.51307,8.53054,21.63,-4.375,11.515
Yogesh ,227,1771426532976,2.52109,4.86023,7.66384,20.23,1.085,11.27
Yogesh ,228,1771426532993,3.11725,5.52582,7.54652,14.945,5.215,5.635
Yogesh ,229,1771426533009,3.11725,5.52582,7.54652,9.59,7.105,-4.06
Yogesh ,230,1771426533025,3.1364,5.72932,7.70933,7,4.83,-13.755
Yogesh ,231,1771426533042,2.79882,5.31752,7.83622,3.185,4.34,-18.27
Yogesh ,232,1771426533060,2.56898,4.78362,8.44914,5.075,3.57,-17.78
Yogesh ,233,1771426533076,2.57856,4.82671,8.51378,18.305,3.22,-17.92
Yogesh ,234,1771426533092,2.40378,5.15711,7.8458,23.765,0.35,-18.9
Yogesh ,235,1771426533110,2.40378,5.15711,7.8458,24.395,-5.95,-20.86
Yogesh ,236,1771426533125,2.43251,5.2026,7.41245,24.08,-7.735,-23.45
Yogesh ,237,1771426533143,2.40378,5.3678,7.28795,22.015,-1.855,-24.185
Yogesh ,238,1771426533159,2.35589,5.782,6.66546,8.225,8.96,-25.13
Yogesh ,239,1771426533175,2.43251,5.9041,7.60638,-1.82,8.82,-27.72
Yogesh ,240,1771426533193,2.37744,5.73411,8.37731,1.225,-0.595,-32.2
Yogesh ,241,1771426533210,2.37744,5.73411,8.37731,4.725,-2.38,-34.02
Yogesh ,242,1771426533225,1.99916,5.79157,8.22648,0.665,3.36,-31.255
Yogesh ,243,1771426533243,1.9824,6.11479,8.42759,-6.895,5.285,-29.54
Yogesh ,244,1771426533259,1.91776,5.91368,9.3326,-5.6,-5.425,-30.835
Yogesh ,245,1771426533276,1.9393,5.19781,9.60793,7.49,-5.425,-28.175
Yogesh ,246,1771426533294,1.47962,5.18824,8.82024,13.16,7.63,-20.405
Yogesh ,247,1771426533311,1.47962,5.18824,8.82024,12.565,9.1,-13.79
Yogesh ,248,1771426533327,1.53708,5.20978,8.5042,19.635,-0.805,-10.955
Yogesh ,249,1771426533344,2.06859,4.8315,8.44914,30.695,-3.325,-11.2
Yogesh ,250,1771426533358,2.04225,4.68545,7.49146,35.665,2.87,-9.485
Yogesh ,251,1771426533375,1.85311,4.707,6.72292,34.125,10.675,-3.43
Yogesh ,252,1771426533394,2.11887,4.76925,6.92882,35.56,8.12,1.505
Yogesh ,253,1771426533414,2.38702,4.93684,6.75644,50.96,-2.38,3.255
Yogesh ,254,1771426533422,2.38702,4.93684,6.75644,55.335,-4.06,2.765
Yogesh ,255,1771426533440,2.24337,5.66708,6.00466,57.505,-7.175,2.135
Yogesh ,256,1771426533455,2.33914,6.64152,5.4085,51.555,-14.245,-0.35
Yogesh ,257,1771426533475,2.52349,7.25922,5.27921,39.235,-22.61,-7.7
Yogesh ,258,1771426533494,2.32477,7.37414,5.85382,22.05,-23.065,-16.73
Yogesh ,259,1771426533510,2.32477,7.37414,5.85382,15.26,-13.405,-18.9
Yogesh ,260,1771426533526,2.04465,7.28316,6.38294,10.605,-4.34,-18.2
Yogesh ,261,1771426533543,1.69031,7.42442,6.91685,10.64,1.89,-15.12
Yogesh ,262,1771426533559,1.50116,7.72609,6.25365,5.635,3.15,-10.22
Yogesh ,263,1771426533576,1.51074,7.93438,6.4404,-2.345,-1.715,-6.055
Yogesh ,264,1771426533593,1.93451,7.60877,7.26401,-9.065,-5.845,-3.08
Yogesh ,265,1771426533609,1.93451,7.60877,7.26401,-9.415,-6.93,-0.245
Yogesh ,266,1771426533627,2.1045,7.3909,8.01818,-5.145,-8.435,3.675
Yogesh ,267,1771426533646,2.5594,7.33583,8.11395,-1.75,-4.655,4.865
Yogesh ,268,1771426533660,2.94008,7.61356,7.89608,-1.925,-7.28,-0.525
