ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Yogesh ,1,1771427200075,2.21703,3.93846,9.72285,-29.225,29.505,-77.38499
Yogesh ,2,1771427200087,0.9074,3.95762,9.7037,-42.665,26.845,-82.53
Yogesh ,3,1771427200104,-0.01915,3.3854,10.73081,-51.625,13.65,-76.09
Yogesh ,4,1771427200120,-0.01915,3.3854,10.73081,-46.69,1.19,-66.885
Yogesh ,5,1771427200137,0.19872,3.00472,12.02368,-26.74,-7.315,-58.8
Yogesh ,6,1771427200153,0.63207,3.02388,11.96383,-0.56,-16.87,-50.96
Yogesh ,7,1771427200170,0.85473,3.12443,10.55604,17.92,-28.665,-44.975
Yogesh ,8,1771427200187,1.17076,3.28006,8.80587,28.84,-41.09,-41.685
Yogesh ,9,1771427200208,1.2809,3.50511,7.50343,27.3,-49.875,-42.7
Yogesh ,10,1771427200223,1.30245,3.8403,7.07726,19.775,-47.74,-44.135
Yogesh ,11,1771427200237,1.30245,3.8403,7.07726,11.06,-37.73,-49.455
Yogesh ,12,1771427200255,1.86748,4.13957,7.1419,1.61,-28.385,-57.155
Yogesh ,13,1771427200274,2.2697,4.52025,7.59201,-8.33,-13.79,-66.29
Yogesh ,14,1771427200287,2.52588,4.69742,8.30309,-15.365,4.34,-73.22
Yogesh ,15,1771427200304,2.65996,4.5849,8.6718,-21.49,22.75,-79.66
Yogesh ,16,1771427200321,2.65996,4.5849,8.6718,-26.635,32.27,-81.655
Yogesh ,17,1771427200337,2.30562,4.37421,8.99502,-30.94,33.74,-80.64
Yogesh ,18,1771427200354,2.229,4.31675,9.93594,-30.065,30.765,-78.785
Yogesh ,19,1771427200370,2.49236,3.9648,10.76194,-23.415,21.385,-80.78
Yogesh ,20,1771427200388,2.59292,3.9217,12.09551,-8.575,11.725,-80.675
Yogesh ,21,1771427200404,3.39019,4.38139,10.80982,15.82,5.6,-81.62
Yogesh ,22,1771427200422,4.39336,1.86987,7.31668,16.17,-27.195,-98.7
Yogesh ,23,1771427200439,4.39336,1.86987,7.31668,-18.55,-98.98,-111.055
Yogesh ,24,1771427200454,1.5682,5.34865,7.89608,-18.725,-101.885,-97.72
Yogesh ,25,1771427200471,1.97761,6.09085,12.07156,17.605,-74.58501,-81.025
Yogesh ,26,1771427200488,5.51863,3.33033,9.92875,47.075,-13.16,-96.81001
Yogesh ,27,1771427200503,3.3854,2.81079,8.38689,49.595,13.055,-132.86
Yogesh ,28,1771427200522,0.16281,3.52426,7.53934,31.745,-15.855,-137.935
Yogesh ,29,1771427200538,0.16281,3.52426,7.53934,22.155,-37.485,-115.115
Yogesh ,30,1771427200554,-0.60573,3.304,8.74841,26.04,-44.24,-86.135
Yogesh ,31,1771427200570,2.12126,3.45004,8.7556,27.58,-49.91,-73.64
