ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Yogesh ,1,1771424749107,-3.15316,1.68791,10.27591,-0.175,-13.93,-10.185
Yogesh ,2,1771424749119,-3.0574,1.08218,9.10994,2.8,-35.455,3.605
Yogesh ,3,1771424749135,-1.52511,0.81163,8.4252,2.205,-44.975,10.15
Yogesh ,4,1771424749152,-1.52511,0.81163,8.4252,2.45,-41.65,7.98
Yogesh ,5,1771424749168,0.0838,1.10133,8.47787,1.715,-25.935,-1.295
Yogesh ,6,1771424749185,0.40941,1.70946,8.339,-3.36,-7.315,-14.98
Yogesh ,7,1771424749207,-0.59137,2.44209,8.40844,-13.02,0.49,-26.04
Yogesh ,8,1771424749225,-1.58017,2.84671,8.94713,-15.015,-5.635,-28.105
Yogesh ,9,1771424749241,-2.08535,3.14359,9.32063,-11.655,-14.63,-26.285
Yogesh ,10,1771424749258,-1.9393,3.33033,9.34696,-8.47,-17.815,-25.655
Yogesh ,11,1771424749275,-1.84354,3.25372,9.45231,-8.085,-14.875,-28.735
Yogesh ,12,1771424749292,-1.84354,3.25372,9.45231,-11.165,-9.555,-33.495
Yogesh ,13,1771424749310,-1.9824,2.67672,9.40442,-15.19,0.035,-33.67
Yogesh ,14,1771424749326,-2.22421,2.23379,9.44034,-15.505,1.47,-32.935
Yogesh ,15,1771424749343,-2.50194,1.87466,9.71806,-13.545,-2.695,-32.165
Yogesh ,16,1771424749362,-2.36068,1.36469,9.51695,-6.58,-0.665,-28.105
Yogesh ,17,1771424749376,-1.55623,0.91698,9.67976,-0.595,10.955,-27.335
Yogesh ,18,1771424749392,-1.55623,0.91698,9.67976,0.735,11.865,-24.045
Yogesh ,19,1771424749409,-1.60651,1.20668,9.52892,-3.605,17.465,-25.13
Yogesh ,20,1771424749426,-1.68552,1.59454,10.40759,-2.66,17.325,-28.805
Yogesh ,21,1771424749442,-1.58496,1.63524,10.72124,3.43,15.645,-31.29
Yogesh ,22,1771424749459,-1.71904,-0.82121,9.95988,-8.645,-52.71,-39.935
Yogesh ,23,1771424749478,-4.37421,2.62644,7.46751,-49.49,-34.86,-9.94
Yogesh ,24,1771424749491,-4.37421,2.62644,7.46751,-55.615,-52.15,6.86
Yogesh ,25,1771424749509,-1.43173,1.92494,9.81383,-66.01,-82.005,18.445
Yogesh ,26,1771424749525,0.84755,1.34554,9.84975,-74.79501,-71.785,8.89
Yogesh ,27,1771424749542,0.35434,1.41976,10.24239,-70.105,-12.81,-3.045
Yogesh ,28,1771424749558,-0.27294,1.13006,10.34295,-52.01,17.395,-4.41
Yogesh ,29,1771424749576,-0.48842,0.58179,10.3214,-20.615,31.605,-12.39
Yogesh ,30,1771424749592,-0.48842,0.58179,10.3214,24.745,74.27,-15.26
Yogesh ,31,1771424749608,-1.34315,0.09337,11.78187,72.45,99.995,-14.77
Yogesh ,32,1771424749625,-1.80283,-0.0431,11.38204,109.9,62.79,-18.83
Yogesh ,33,1771424749642,-2.15718,0.48363,7.36456,71.43501,-51.065,-46.27
Yogesh ,34,1771424749658,-2.23379,1.39343,7.68539,24.395,-99.68,-64.61
Yogesh ,35,1771424749673,-1.29047,0.63686,8.69335,14.91,-95.515,-60.83
Yogesh ,36,1771424749690,-1.29047,0.63686,8.69335,15.225,-82.25,-59.43
Yogesh ,37,1771424749707,-1.78607,0.42856,8.51139,14.42,-70.77,-51.8
Yogesh ,38,1771424749727,-2.64559,0.71108,8.837,30.415,-86.73,-18.095
Yogesh ,39,1771424749740,-3.57694,1.54665,8.61434,40.145,-91.455,-5.53
Yogesh ,40,1771424749759,-4.0055,2.75573,9.30866,38.815,-81.68999,28.175
Yogesh ,41,1771424749776,-0.71347,2.7677,9.77553,25.13,-83.125,24.535
Yogesh ,42,1771424749792,-0.71347,2.7677,9.77553,23.03,-61.18,9.38
Yogesh ,43,1771424749809,1.49877,2.21942,10.44351,31.745,-26.495,-1.96
Yogesh ,44,1771424749825,0.55306,2.04944,9.85453,32.095,-8.26,-5.495
Yogesh ,45,1771424749842,-0.19632,1.88424,8.62152,26.11,1.715,-1.365
Yogesh ,46,1771424749860,-0.13168,2.17154,8.19056,23.31,2.695,2.975
Yogesh ,47,1771424749876,0.44772,2.94966,7.67102,20.615,-2.73,3.395
Yogesh ,48,1771424749893,0.44772,2.94966,7.67102,15.995,-18.69,-1.295
Yogesh ,49,1771424749909,1.13246,3.00951,7.01262,4.2,-40.565,-6.58
Yogesh ,50,1771424749926,0.74939,3.07416,8.03494,-13.825,-12.32,-12.74
Yogesh ,51,1771424749942,0.94571,2.76291,9.06684,-17.745,-3.43,-13.44
Yogesh ,52,1771424749959,0.91698,2.99515,9.80426,-16.17,7.42,-15.365
Yogesh ,53,1771424749970,0.91698,2.99515,9.80426,-15.575,8.12,-16.765
Yogesh ,54,1771424749987,1.06063,3.35188,9.83059,-13.965,6.65,-19.95
Yogesh ,55,1771424750005,1.08697,3.54581,9.67257,-10.675,-6.895,-26.985
Yogesh ,56,1771424750016,1.00317,3.7996,10.83376,-9.59,-13.055,-29.855
Yogesh ,57,1771424750035,0.88107,3.41413,11.16895,-3.045,-12.565,-26.215
Yogesh ,58,1771424750054,1.15161,2.87783,10.51773,0.525,-10.115,-17.01
Yogesh ,59,1771424750076,1.67594,2.77488,10.27831,-0.98,-12.705,-12.11
Yogesh ,60,1771424750092,1.67594,2.77488,10.27831,-4.2,-16.94,-8.82
Yogesh ,61,1771424750106,2.37505,1.87466,10.02931,-9.94,-18.515,-8.085
Yogesh ,62,1771424750123,2.75094,0.82839,10.08438,-16.835,-16.415,-6.51
Yogesh ,63,1771424750141,2.89459,-0.07422,10.34774,-23.065,-8.505,-5.39
Yogesh ,64,1771424750156,2.32716,-0.50278,10.52252,-23.66,-1.645,-6.335
Yogesh ,65,1771424750173,2.32716,-0.50278,10.52252,-19.215,-2.17,-2.275
Yogesh ,66,1771424750190,1.23062,-0.75657,11.32457,-5.145,-7.175,13.615
Yogesh ,67,1771424750208,0.80445,-0.72544,11.1474,2.765,-9.765,24.01
Yogesh ,68,1771424750223,0.65362,-0.25618,10.80264,13.125,-8.96,35.035
