ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
vivvan,1,1771573882893,-4.629,9.213,1.395,-32.45806,16.22903,-2.82038
vivvan,2,1771573882899,-4.47795,8.60295,2.03895,-32.27686,9.34351,-3.30883
vivvan,3,1771573882908,-4.47795,8.60295,2.03895,-31.90659,-0.04727,-5.31776
vivvan,4,1771573882914,-4.81995,8.964,2.14695,-31.66236,-20.47536,-3.79728
vivvan,5,1771573882923,-5.12205,9.55305,1.824,-32.15081,-29.74009,-0.44118
vivvan,6,1771573882929,-4.938,9.39495,1.61805,-36.4838,-48.94707,3.94696
vivvan,7,1771573882935,-4.938,9.39495,1.61805,-40.69075,-60.53586,4.67963
vivvan,8,1771573882947,-4.61895,9.41895,1.69395,-51.60201,-84.194,8.03573
vivvan,9,1771573882955,-4.32705,9.61995,1.45995,-62.88355,-95.83794,11.6912
vivvan,10,1771573882961,-3.94905,9.762,1.014,-67.88618,-93.15936,13.64499
vivvan,11,1771573882970,-3.441,9.996,1.38105,-77.15092,-83.94978,16.87504
vivvan,12,1771573882982,-2.814,10.056,2.38905,-87.57374,-87.17982,17.00109
vivvan,13,1771573882988,-2.21295,9.663,3.23595,-95.381,-99.74551,13.95224
vivvan,14,1771573882996,-2.21295,9.663,3.23595,-96.96452,-106.33166,13.03049
vivvan,15,1771573883006,-1.88505,9.30705,3.79395,-94.53016,-115.28914,11.93543
vivvan,16,1771573883013,-1.509,8.84895,4.15995,-91.35526,-117.55016,10.71431
vivvan,17,1771573883021,-1.10895,8.52105,4.49595,-83.31165,-118.27496,5.90075
vivvan,18,1771573883026,-1.10895,8.52105,4.49595,-78.97865,-117.66834,2.42648
vivvan,19,1771573883039,-0.71895,8.172,5.25,-68.674,-117.24291,-6.47586
vivvan,20,1771573883044,-0.537,7.69305,6.126,-52.39771,-114.31224,-15.99268
vivvan,21,1771573883054,-0.453,7.61895,6.591,-30.63033,-102.66831,-25.99008
vivvan,22,1771573883060,-0.501,7.698,6.54,-19.10456,-94.0102,-31.53631
vivvan,23,1771573883070,-0.966,8.052,6.54495,3.88394,-75.40984,-39.83202
vivvan,24,1771573883078,-1.332,8.13405,5.87505,15.10245,-73.82632,-38.61091
vivvan,25,1771573883084,-1.332,8.13405,5.87505,25.34407,-68.39826,-43.66869
vivvan,26,1771573883096,-1.71495,7.614,4.45305,26.50216,-72.06161,-44.15714
vivvan,27,1771573883102,-2.38995,7.60905,4.41195,27.42391,-86.69138,-39.52478
vivvan,28,1771573883113,-2.60595,8.43,3.59295,21.26318,-121.02444,-28.18809
vivvan,29,1771573883122,-2.622,9.19905,2.33805,5.7747,-143.82387,-18.67126
vivvan,30,1771573883131,-2.43105,9.237,1.52205,-12.02997,-145.35223,-12.88081
vivvan,31,1771573883138,-2.43105,9.237,1.52205,-20.1366,-139.43573,-11.35244
vivvan,32,1771573883145,-1.935,8.979,1.524,-33.9234,-120.3548,-10.56463
vivvan,33,1771573883153,-1.485,8.694,1.88805,-44.77164,-88.28277,-13.6765
