ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
yogesh ,1,1771423206087,-0.17595,3.651,10.23195,6.41283,2.46587,-8.11452
yogesh ,2,1771423206099,-0.08895,3.69705,10.29705,9.40654,6.18436,-8.48479
yogesh ,3,1771423206115,-1.23105,3.855,9.98805,14.15707,6.60978,-4.70327
yogesh ,4,1771423206126,-1.23105,3.855,9.98805,17.26895,7.71273,-0.74055
yogesh ,5,1771423206136,-1.38705,4.116,9.789,20.01055,8.80779,1.94591
yogesh ,6,1771423206147,-1.38705,4.116,9.789,22.57096,10.21011,2.3083
yogesh ,7,1771423206157,-0.86505,4.221,9.03705,24.46172,9.05202,0.90599
yogesh ,8,1771423206169,-0.57795,4.67895,8.937,26.65973,-3.08036,-6.3498
yogesh ,9,1771423206177,-0.57795,4.67895,8.937,27.14817,-2.59192,-7.20065
yogesh ,10,1771423206191,-1.18395,4.21605,8.52195,26.72275,-1.13446,-5.92438
yogesh ,11,1771423206204,-1.18395,4.21605,8.52195,27.69964,-2.34769,-3.72637
yogesh ,12,1771423206213,-0.81,4.12605,9.171,30.80364,-0.70116,-3.54518
yogesh ,13,1771423206224,-0.81,4.12605,9.171,34.04157,-1.31565,-5.30989
yogesh ,14,1771423206236,-0.34095,4.269,8.56605,35.49903,-3.93909,-8.17754
yogesh ,15,1771423206245,-0.34095,4.269,8.56605,34.34094,-7.35033,-10.91914
yogesh ,16,1771423206257,-0.10095,4.56405,7.90005,30.07097,-10.21799,-12.87293
yogesh ,17,1771423206269,-0.10095,4.56405,7.90005,23.30363,-10.88763,-14.33827
yogesh ,18,1771423206280,-0.24705,4.686,7.467,10.07618,-9.05989,-16.166
yogesh ,19,1771423206291,-0.56595,4.54395,7.605,0.44118,-5.09718,-17.01685
yogesh ,20,1771423206301,-0.56595,4.54395,7.605,-8.27996,0.02363,-17.74952
yogesh ,21,1771423206315,-0.54405,4.173,8.973,-15.11033,8.4454,-18.90761
yogesh ,22,1771423206324,-0.54405,4.173,8.973,-15.35455,9.84771,-19.34091
yogesh ,23,1771423206334,-0.81495,4.01505,9.21195,-12.4869,5.39655,-20.79837
yogesh ,24,1771423206347,-0.81495,4.01505,9.21195,-9.312,-0.58298,-21.34984
yogesh ,25,1771423206357,-1.11705,4.434,8.90295,-7.97271,-6.68069,-20.499
yogesh ,26,1771423206369,-1.11705,4.434,8.90295,-9.86347,-11.68333,-17.69437
