ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Ayan,1,1739356099154,-0.02805,0.39495,10.12095,-0.16544,1.38656,-6.07407
Ayan,2,1739356099163,-0.02805,0.39495,10.12095,1.30778,0.69328,-6.00317
Ayan,3,1739356099169,0.22005,0.888,8.80905,-1.49685,-0.77994,-6.63342
Ayan,4,1739356099179,0.22005,0.888,8.80905,-1.21324,2.85978,-6.63342
Ayan,5,1739356099192,0.24405,-0.47805,9.57705,-3.38761,0.7563,-6.84613
Ayan,6,1739356099202,0.32295,0.07905,9.39495,0.53572,-0.07878,-7.19277
Ayan,7,1739356099213,0.32295,0.07905,9.39495,-2.33194,2.85978,-7.12187
Ayan,8,1739356099224,0.081,0.15,9.96705,1.02416,1.95379,-7.12187
Ayan,9,1739356099234,0.081,0.15,9.96705,-0.23635,1.52837,-7.47638
Ayan,10,1739356099246,0.46905,-0.53595,10.55595,0.11817,4.67963,-7.05096
Ayan,11,1739356099257,0.46905,-0.53595,10.55595,0.04727,2.30043,-7.19277
Ayan,12,1739356099268,-0.55005,-1.13205,9.675,0.04727,4.53783,-6.84613
Ayan,13,1739356099280,-0.17595,-1.21995,10.26405,-2.0562,4.53783,-6.98006
Ayan,14,1739356099291,-0.17595,-1.21995,10.26405,1.79622,2.30043,-6.49161
Ayan,15,1739356099301,-1.00695,-1.23195,10.14705,-2.40284,1.95379,-6.77523
Ayan,16,1739356099312,-1.00695,-1.23195,10.14705,-0.23635,1.45746,-6.42071
Ayan,17,1739356099324,-0.91395,-0.84495,9.67995,-0.30725,1.67017,-6.14497
Ayan,18,1739356099334,-0.91395,-0.84495,9.67995,-1.00053,0.82721,-6.00317
Ayan,19,1739356099345,-0.03,-1.15305,9.99105,-1.07143,2.71797,-5.79045
Ayan,20,1739356099358,-0.906,-0.81105,9.81195,-0.37027,1.67017,-5.51472
Ayan,21,1739356099368,-0.906,-0.81105,9.81195,-1.77259,0.69328,-5.51472
Ayan,22,1739356099379,-0.08505,-0.28005,9.78495,0.25998,2.37133,-5.09718
Ayan,23,1739356099390,-0.08505,-0.28005,9.78495,-0.16544,2.57616,-4.95537
Ayan,24,1739356099400,-0.387,-0.22005,9.36195,0.323,1.95379,-4.81356
Ayan,25,1739356099412,-0.387,-0.22005,9.36195,0.18908,3.63184,-5.02627
Ayan,26,1739356099423,-0.88005,0.069,9.963,1.02416,1.38656,-4.52995
Ayan,27,1739356099434,-0.48495,-1.09605,9.27105,0.18908,1.45746,-4.95537
Ayan,28,1739356099445,-0.48495,-1.09605,9.27105,0.67752,4.46692,-4.88447
Ayan,29,1739356099456,-0.51105,-1.15095,9.87195,0.53572,1.95379,-5.02627
Ayan,30,1739356099467,-0.51105,-1.15095,9.87195,0.18908,-0.3624,-5.58562
Ayan,31,1739356099478,-0.34395,-0.01095,9.42405,0.88235,1.67017,-5.79045
Ayan,32,1739356099489,-0.04005,-0.48795,10.73805,-0.09454,2.71797,-5.93226
Ayan,33,1739356099500,-0.04005,-0.48795,10.73805,-0.09454,1.18173,-5.79045
Ayan,34,1739356099511,-0.018,-0.88305,10.50405,-1.49685,3.90757,-6.42071
Ayan,35,1739356099523,-0.018,-0.88305,10.50405,0.11817,2.22952,-5.58562
Ayan,36,1739356099533,-0.03195,-1.371,9.594,-0.37027,0.06303,-6.56252
Ayan,37,1739356099545,-0.03195,-1.371,9.594,0.60662,2.15862,-6.49161
Ayan,38,1739356099555,0.429,-1.551,9.68295,1.23687,-2.18225,-6.77523
Ayan,39,1739356099567,-0.708,-0.093,10.38195,0.18908,2.78887,-7.05096
Ayan,40,1739356099578,-0.708,-0.093,10.38195,0.60662,-1.82774,-6.70432
Ayan,41,1739356099589,0.77595,0.13605,10.698,-0.58298,-1.13446,-7.26367
Ayan,42,1739356099601,0.77595,0.13605,10.698,1.37868,5.51472,-6.56252
Ayan,43,1739356099611,0.02205,-0.81105,9.084,-0.9375,-0.70904,-7.82302
Ayan,44,1739356099622,0.02205,-0.81105,9.084,0.53572,2.08771,-7.68122
Ayan,45,1739356099633,-0.27705,-2.17605,10.59195,1.30778,0.33876,-7.82302
Ayan,46,1739356099645,-0.77505,0.174,9.417,0.25998,-1.6229,-8.66599
Ayan,47,1739356099655,-0.77505,0.174,9.417,-0.37027,-0.70904,-7.82302
