ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Lalit,1,1771341281543,-1.52211,5.98431,7.7213,0.82397,0.32043,0.51117
Lalit,2,1771341281553,-1.18214,6.06691,6.93481,-0.64087,4.89807,0.32806
Lalit,3,1771341281561,-1.18214,6.06691,6.93481,-1.61743,5.93566,0.75531
Lalit,4,1771341281569,-1.18214,6.06691,6.93481,-3.32641,3.55529,1.54877
Lalit,5,1771341281577,-1.26474,6.12916,6.6499,-3.57055,0.86975,2.03705
Lalit,6,1771341281586,-1.26474,6.12916,6.6499,-2.53296,-5.35583,2.09808
Lalit,7,1771341281594,-1.19531,6.30393,7.10958,-0.57983,-9.20104,1.48773
Lalit,8,1771341281603,-1.19531,6.30393,7.10958,0.88501,-10.23864,0.93841
Lalit,9,1771341281612,-1.19531,6.30393,7.10958,1.92261,-11.27624,-0.22125
Lalit,10,1771341281620,-1.06961,6.21774,7.25922,-1.00708,-8.52966,-0.6485
Lalit,11,1771341281628,-1.06961,6.21774,7.25922,-2.47192,-5.4779,0.51117
Lalit,12,1771341281636,-1.15221,6.2333,7.2664,-5.34057,3.12805,2.03705
Lalit,13,1771341281646,-1.15221,6.2333,7.2664,-6.80541,9.23156,2.03705
Lalit,14,1771341281655,-1.24199,6.13873,7.86735,-6.2561,12.40539,2.89154
Lalit,15,1771341281663,-1.24199,6.13873,7.86735,-5.46264,13.01574,3.56292
Lalit,16,1771341281671,-1.24199,6.13873,7.86735,-3.87573,12.10021,4.60052
Lalit,17,1771341281678,-1.32938,5.86101,8.17021,-2.89917,10.75744,5.02777
Lalit,18,1771341281686,-1.32938,5.86101,8.17021,-0.5188,6.85119,5.45501
Lalit,19,1771341281698,-1.25516,5.80953,8.15226,2.83813,1.78528,5.02777
Lalit,20,1771341281702,-1.25516,5.80953,8.15226,4.42505,-0.71716,4.60052
Lalit,21,1771341281711,-1.25516,5.80953,8.15226,6.4392,-4.37927,3.19671
Lalit,22,1771341281719,-1.07919,5.96874,7.69137,6.31713,-6.82067,1.12152
Lalit,23,1771341281728,-1.07919,5.96874,7.69137,5.82885,-7.98034,-0.16022
Lalit,24,1771341281736,-0.9487,6.10641,7.20535,4.05884,-10.05553,-2.41852
Lalit,25,1771341281745,-0.9487,6.10641,7.20535,2.04468,-9.81139,-4.18853
Lalit,26,1771341281753,-0.9487,6.10641,7.20535,1.19018,-8.16345,-5.22613
Lalit,27,1771341281762,-0.7009,6.15908,7.19936,-0.27466,-4.01306,-7.54547
Lalit,28,1771341281771,-0.7009,6.15908,7.19936,-1.61743,0.62561,-8.94927
Lalit,29,1771341281778,-0.85892,6.13394,7.54174,-2.22778,3.06701,-9.43755
Lalit,30,1771341281787,-0.85892,6.13394,7.54174,-2.34985,7.70568,-10.10894
Lalit,31,1771341281796,-1.17735,6.04895,7.77637,-0.7019,9.96398,-10.35308
Lalit,32,1771341281805,-1.17735,6.04895,7.77637,0.7019,9.71984,-10.29205
Lalit,33,1771341281813,-1.17735,6.04895,7.77637,4.36401,7.33947,-9.55962
Lalit,34,1771341281822,-1.43473,5.92924,7.80151,8.33129,3.00598,-8.15582
Lalit,35,1771341281831,-1.43473,5.92924,7.80151,12.1765,-1.87683,-6.5689
Lalit,36,1771341281838,-1.36888,5.72813,7.66264,13.76342,-3.76892,-6.01959
Lalit,37,1771341281846,-1.36888,5.72813,7.66264,15.96068,-5.72204,-6.01959
Lalit,38,1771341281854,-1.36888,5.72813,7.66264,16.32689,-5.4779,-6.26373
Lalit,39,1771341281875,-1.23242,5.83587,7.2245,14.06859,-3.76892,-6.08062
Lalit,40,1771341281880,-1.39522,6.11599,7.27358,13.15307,-4.2572,-5.59234
