ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
45,1,1771515980522,-4.47716,3.6344,7.13472,-16.02172,-19.78301,-1.14441
45,2,1771515980532,-4.46878,3.54701,7.35618,-20.47728,-38.09354,-0.10681
45,3,1771515980546,-4.05937,3.2202,7.78475,-29.3884,-53.77956,-4.4403
45,4,1771515980562,-4.05937,3.2202,7.78475,-40.19162,-44.68533,-7.61413
45,5,1771515980578,-3.78882,3.27168,7.59321,-47.33273,-18.62334,-9.32311
45,6,1771515980595,-3.79002,3.07296,8.07684,-52.58175,5.36346,-10.60485
45,7,1771515980613,-4.32752,2.98437,8.46709,-55.6335,8.29315,-6.5155
45,8,1771515980629,-4.68785,3.08373,8.68856,-59.05147,5.72967,-0.9613
45,9,1771515980645,-4.707,3.06338,8.70891,-59.17354,-1.59454,8.80431
45,10,1771515980660,-4.707,3.06338,8.70891,-58.50216,-9.77325,14.66368
45,11,1771515980695,-4.58968,2.88022,8.175,-66.43671,-20.8206,26.38243
45,12,1771515980699,-4.58968,2.88022,8.175,-73.883,-22.22441,31.57041
45,13,1771515980707,-4.37301,2.94487,8.07564,-78.82684,-25.27617,34.5001
45,14,1771515980727,-4.14317,2.57257,7.83263,-101.89812,-34.73661,43.41122
45,15,1771515980744,-4.14317,2.57257,7.83263,-122.34488,-39.68045,57.4493
45,16,1771515980760,-4.66151,2.83713,7.49625,-155.48695,-60.43239,73.80671
45,17,1771515980776,-4.32513,2.28766,7.41604,-181.42688,-68.12281,73.74567
45,18,1771515980795,-2.91614,1.16238,8.42639,-195.83116,-62.75172,61.78279
45,19,1771515980810,-2.05183,0.31484,9.73004,-191.5587,-38.27664,42.80087
45,20,1771515980826,-1.24858,0.82959,10.65779,-153.96107,11.52801,23.69688
45,21,1771515980845,-1.24858,0.82959,10.65779,-122.28384,21.17155,11.00158
45,22,1771515980860,-1.14443,0.00838,11.51372,-90.30145,-32.72245,6.66809
45,23,1771515980877,-2.41695,-0.92536,11.1893,-71.74677,-63.36207,17.34923
45,24,1771515980892,-3.7972,-0.25139,10.14064,-50.62862,-49.75124,33.34043
45,25,1771515980910,-3.14598,-0.56024,10.6937,-22.36937,-13.06914,46.46298
45,26,1771515980927,-1.98599,-1.60292,10.26993,-11.9934,9.94109,49.02645
45,27,1771515980944,-1.98599,-1.60292,10.26993,0.64087,14.33562,42.6788
45,28,1771515980959,-0.93374,-1.79086,9.52533,-0.5188,23.67399,37.55185
45,29,1771515980972,-0.73622,-2.68749,8.83101,-5.15747,15.00701,29.80039
45,30,1771515980988,-0.87987,-2.642,12.97298,55.6335,-90.03442,24.06309
45,31,1771515981008,-2.1069,-2.64679,14.33887,120.14762,-152.0461,21.37755
45,32,1771515981025,-2.1069,-2.64679,14.33887,137.54262,-171.45526,21.43858
45,33,1771515981041,-2.49117,-3.52426,11.51252,118.98795,-141.97531,8.37707
45,34,1771515981062,-2.37505,-3.26928,10.24239,139.37367,-96.13793,-33.85923
45,35,1771515981074,-1.49398,-2.41336,10.62307,149.81068,-78.0105,-50.09457
45,36,1771515981092,-0.28611,-0.68833,11.8513,170.3795,-86.06714,-58.63948
45,37,1771515981108,-0.5363,-0.3699,12.04403,198.45567,-92.17065,-58.70052
45,38,1771515981125,-0.5363,-0.3699,12.04403,216.39998,-120.06369,-62.17952
45,39,1771515981141,-1.02951,-0.00599,11.61068,225.18904,-136.6042,-79.57452
45,40,1771515981159,-0.02634,0.69671,9.55047,217.31552,-92.781,-92.69707
45,41,1771515981176,0.96606,2.28886,5.58448,187.2252,-27.83964,-99.59404
45,42,1771515981192,0.43574,3.73615,4.62799,150.05481,53.52016,-93.55157
45,43,1771515981208,-0.93254,4.42808,5.72932,137.05434,72.38001,-80.67316
45,44,1771515981223,-0.93254,4.42808,5.72932,130.76773,80.98596,-73.22688
45,45,1771515981239,-1.55623,5.16908,5.92804,135.28433,54.37465,-60.34846
45,46,1771515981256,-2.29245,6.38893,7.0605,136.56606,20.31706,-28.12193
45,47,1771515981277,-2.17753,7.07247,5.60722,122.34488,37.34586,-12.74108
45,48,1771515981288,-0.53989,6.2776,4.52025,114.53238,43.81558,-17.44078
45,49,1771515981307,-1.16478,6.42005,4.76326,100.73846,31.54752,-25.55845
45,50,1771515981324,-1.16478,6.42005,4.76326,91.88836,13.11492,-19.82115
45,51,1771515981340,-2.54145,6.82707,4.8303,77.66718,-8.00323,-9.01794
45,52,1771515981358,-2.90297,6.90129,4.60644,52.33761,-36.75077,3.98254
45,53,1771515981372,-2.3547,6.92283,4.73693,38.4216,-43.5867,7.76672
45,54,1771515981391,-1.72023,7.05452,4.60884,29.99876,-27.41239,4.16565
45,55,1771515981405,-1.72023,7.05452,4.60884,22.4304,-17.64678,1.41907
45,56,1771515981422,-1.51433,7.22211,4.02585,0.27466,-0.1297,-2.36511
45,57,1771515981440,-1.62327,7.15866,4.03662,-12.90893,4.26483,-2.12097
45,58,1771515981457,-1.96085,7.29753,5.15711,-17.36449,2.18963,3.98254
45,59,1771515981470,-1.88065,7.13712,5.91009,-15.89965,0.41962,6.60705
45,60,1771515981488,-1.44131,7.10001,6.46794,-9.42992,-4.8294,7.94982
45,61,1771515981502,-1.44131,7.10001,6.46794,-3.9978,-5.62286,5.32531
45,62,1771515981519,-1.20309,7.12993,6.50145,-1.67847,-3.66974,2.21252
45,63,1771515981535,-1.27731,7.27718,6.05374,-7.2937,-1.1673,1.35803
45,64,1771515981555,-1.47483,7.45076,5.67306,-14.2517,2.79999,2.57873
45,65,1771515981572,-1.55743,7.41005,5.74728,-20.84349,8.049,3.67737
45,66,1771515981589,-1.51673,7.31309,6.10282,-23.10179,7.56072,3.25012
45,67,1771515981605,-1.51673,7.31309,6.10282,-23.16282,7.13348,1.4801
45,68,1771515981619,-1.43652,7.2688,6.43921,-19.92796,5.54657,-0.41199
45,69,1771515981638,-1.58975,7.27358,6.78756,-12.60375,5.24139,0.80872
45,70,1771515981653,-1.78009,7.40167,6.86418,-7.17163,2.3117,1.72424
45,71,1771515981671,-1.84832,7.39689,6.63194,-4.73022,-4.28009,0.99182
45,72,1771515981688,-1.85311,7.32626,6.26084,-7.78198,-7.33184,-0.22888
45,73,1771515981705,-1.85311,7.32626,6.26084,-11.38305,-7.39288,-1.32751
45,74,1771515981720,-1.63763,7.28196,6.49786,-11.56615,0.11444,-2.18201
45,75,1771515981738,-1.57179,7.22091,6.76123,-8.02612,11.95525,-2.24304
45,76,1771515981753,-1.7322,7.27718,6.83784,-7.23266,13.96941,-1.75476
45,77,1771515981771,-1.71185,7.21493,6.53258,-10.28442,11.52801,-2.36511
45,78,1771515981788,-1.62806,7.05452,6.71813,-13.70238,6.76727,-3.76892
45,79,1771515981804,-1.62806,7.05452,6.71813,-11.9934,6.70623,-3.76892
45,80,1771515981820,-1.74298,6.90608,7.0186,-9.61303,6.09588,-1.93786
45,81,1771515981838,-1.89022,6.88572,7.10001,-7.35473,7.80486,0.80872
45,82,1771515981853,-1.88184,6.87615,6.74806,-7.04956,10.79559,0.80872
45,83,1771515981869,-1.87825,6.82587,6.71574,-7.72094,8.96453,-0.59509
45,84,1771515981887,-2.06141,6.62954,6.96952,-3.50952,5.24139,-1.75476
45,85,1771515981903,-2.06141,6.62954,6.96952,1.31225,1.64032,0.86975
45,86,1771515981919,-2.42293,6.608,6.87256,4.54712,0.96893,4.53186
45,87,1771515981935,-2.63242,6.80791,6.24647,3.75366,4.14276,5.32531
45,88,1771515981954,-2.75812,7.13951,5.84903,-3.87573,1.70135,4.71496
45,89,1771515981970,-2.73538,7.31907,6.14113,-7.72094,1.091,4.71496
45,90,1771515981986,-2.3523,7.14789,6.74806,-4.42505,3.41034,4.59289
45,91,1771515982003,-2.3523,7.14789,6.74806,6.19506,8.96453,2.63977
45,92,1771515982019,-2.06859,6.9372,6.75883,12.90893,10.73455,-1.20544
45,93,1771515982036,-2.1895,6.8953,6.37456,16.32689,9.69695,-6.27136
45,94,1771515982052,-2.57616,6.95635,5.95199,14.98412,3.3493,-7.61413
45,95,1771515982067,-2.85389,6.9779,6.11958,14.86205,-4.40216,-7.00378
45,96,1771515982081,-2.85389,6.9779,6.11958,17.54759,-9.28497,-5.96618
45,97,1771515982099,-2.70904,6.73369,6.28239,21.45384,-8.43047,-5.84411
45,98,1771515982119,-2.46603,6.47871,6.16387,25.66526,-3.91388,-7.43102
