ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Yogesh ,1,1771423814026,-0.72784,2.86107,9.74679,26.355,-17.395,-9.73
Yogesh ,2,1771423814033,0.07901,3.83072,6.95994,17.815,-11.655,-7.245
Yogesh ,3,1771423814048,0.07901,3.83072,6.95994,4.76,-7.105,-5.74
Yogesh ,4,1771423814062,0.94092,4.0462,7.14909,-17.15,-3.99,-11.2
Yogesh ,5,1771423814082,1.17795,3.39019,7.93438,-25.865,3.185,-22.085
Yogesh ,6,1771423814101,0.7446,2.99993,8.7125,-27.475,3.955,-25.27
Yogesh ,7,1771423814114,0.32322,3.45723,10.23282,-26.18,-1.89,-23.905
Yogesh ,8,1771423814134,0.43096,3.24654,10.66377,-18.9,-9.73,-22.96
Yogesh ,9,1771423814152,0.65362,3.27287,10.40281,-10.045,-10.99,-22.855
Yogesh ,10,1771423814169,0.65362,3.27287,10.40281,-8.085,-13.335,-22.68
Yogesh ,11,1771423814186,0.75178,3.42131,10.26394,-9.38,-16.695,-22.155
Yogesh ,12,1771423814204,0.81642,2.65038,9.50259,-3.115,-10.85,-25.375
Yogesh ,13,1771423814219,0.83079,2.37026,8.60476,-0.315,-3.29,-27.825
Yogesh ,14,1771423814238,0.42138,2.80361,8.74841,-6.055,-7.7,-26.6
Yogesh ,15,1771423814255,0.39504,2.80361,9.05008,-11.165,-12.495,-26.355
Yogesh ,16,1771423814272,0.39504,2.80361,9.05008,-9.555,-10.115,-26.04
Yogesh ,17,1771423814289,0.10534,2.87544,9.32302,-7.7,-9.415,-23.45
Yogesh ,18,1771423814305,0.03112,3.09331,9.60554,-8.155,-13.93,-21.07
Yogesh ,19,1771423814321,0.16281,2.97599,9.3302,-6.125,-13.615,-19.285
Yogesh ,20,1771423814338,0.23224,3.17471,9.18176,-4.935,-11.235,-16.555
Yogesh ,21,1771423814355,0.48123,3.24654,9.82102,-6.16,-12.04,-12.005
Yogesh ,22,1771423814371,0.48123,3.24654,9.82102,-3.99,-15.155,-11.06
Yogesh ,23,1771423814388,0.62249,2.7246,9.70131,2.065,-14.77,-12.6
Yogesh ,24,1771423814405,0.60334,2.88262,9.25598,-0.385,-19.39,-10.465
Yogesh ,25,1771423814421,0.59855,3.06937,9.46667,-0.315,-21.07,-8.015
Yogesh ,26,1771423814437,0.3304,2.81798,9.50019,5.53,-21.98,-5.005
Yogesh ,27,1771423814455,-0.15083,3.16274,10.49857,14.735,-31.71,2.625
Yogesh ,28,1771423814471,-0.33998,3.54821,11.16177,24.465,-44.8,9.31
Yogesh ,29,1771423814488,-0.33998,3.54821,11.16177,33.67,-63.315,18.795
Yogesh ,30,1771423814505,-0.90022,4.26886,11.60948,39.305,-90.65,35.035
Yogesh ,31,1771423814521,-0.83558,4.63996,11.01812,42.595,-124.25001,56.07
Yogesh ,32,1771423814538,0.6177,4.52265,9.05248,43.995,-133.52501,68.53
Yogesh ,33,1771423814556,2.0638,4.46279,8.56167,40.81,-98.175,74.55
Yogesh ,34,1771423814571,2.0638,4.46279,8.56167,41.72,-81.445,76.16
Yogesh ,35,1771423814589,2.16196,4.24731,8.5473,55.335,-81.83,91.49
Yogesh ,36,1771423814605,2.44687,3.21781,8.61434,61.32,-49.49,111.825
Yogesh ,37,1771423814621,2.33195,3.17232,8.07804,67.935,37.695,125.86001
Yogesh ,38,1771423814638,0.06943,2.06141,7.83143,55.825,144.72501,157.5
Yogesh ,39,1771423814654,2.07098,1.58975,8.62152,41.79,257.215,168.035
Yogesh ,40,1771423814669,2.07098,1.58975,8.62152,36.925,180.18001,160.685
Yogesh ,41,1771423814688,3.78523,0.00479,8.14268,24.92,71.54,138.95001
Yogesh ,42,1771423814702,3.78044,-0.03831,5.62159,-16.31,5.915,103.81001
Yogesh ,43,1771423814722,4.08451,1.20428,5.35822,-55.58,-9.45,72.24
Yogesh ,44,1771423814738,4.4197,2.29604,6.63433,-90.335,-19.25,47.565
Yogesh ,45,1771423814754,8.81066,4.53941,10.72363,-111.09,-3.675,10.85
Yogesh ,46,1771423814770,7.71651,3.62722,11.37964,-76.055,23.03,-27.895
Yogesh ,47,1771423814788,7.71651,3.62722,11.37964,-38.99,45.395,-43.085
Yogesh ,48,1771423814802,1.80762,0.6608,10.48182,-19.88,76.265,-35.945
Yogesh ,49,1771423814816,2.40138,1.30484,10.35013,3.22,106.015,-42.35
Yogesh ,50,1771423814831,1.50356,1.47483,10.23761,14.49,117.215,-47.635
Yogesh ,51,1771423814848,1.23062,1.87945,10.44111,38.605,114.905,-41.23
Yogesh ,52,1771423814865,1.23062,1.87945,10.44111,44.87,89.075,-34.93
Yogesh ,53,1771423814882,-2.79403,1.99437,9.06924,33.32,96.285,-3.78
Yogesh ,54,1771423814899,-2.79643,1.78607,10.99178,26.32,90.335,24.115
Yogesh ,55,1771423814919,14.59027,5.45639,11.30542,26.6,28.84,-95.62
Yogesh ,56,1771423814934,-0.61052,1.62327,9.41161,24.64,-24.57,-133.03499
Yogesh ,57,1771423814950,1.79086,2.42293,9.42358,-0.63,-40.425,-128.345
Yogesh ,58,1771423814968,1.79086,2.42293,9.42358,-10.92,-19.39,-120.81999
Yogesh ,59,1771423814986,0.77812,3.24175,10.09395,-3.64,-5.25,-115.01
Yogesh ,60,1771423815000,0.72065,2.86825,10.16099,10.395,9.135,-120.715
Yogesh ,61,1771423815019,0.51954,2.6408,10.53449,28.455,20.79,-129.535
Yogesh ,62,1771423815037,1.69509,2.478,10.51055,31.78,7.455,-134.155
Yogesh ,63,1771423815053,1.66876,2.20027,10.28788,28.665,-3.36,-143.74501
Yogesh ,64,1771423815068,1.66876,2.20027,10.28788,28,-8.645,-163.66
Yogesh ,65,1771423815084,1.37906,1.88424,10.93192,37.625,-22.47,-186.095
Yogesh ,66,1771423815102,1.09415,2.02071,10.26873,46.97,-3.99,-200.06
Yogesh ,67,1771423815122,0.25379,1.8986,10.9846,79.625,2.275,-203.84
Yogesh ,68,1771423815136,-0.42617,2.94247,10.06762,88.86501,-3.745,-201.46001
Yogesh ,69,1771423815150,-0.76136,3.90734,9.41161,97.125,-16.73,-195.265
Yogesh ,70,1771423815168,-0.76136,3.90734,9.41161,95.235,-21.385,-187.95
Yogesh ,71,1771423815186,-0.81163,3.40216,8.76996,84.35,-10.92,-182.14
Yogesh ,72,1771423815205,-0.56024,3.23935,8.09719,72.975,0.175,-189.20999
Yogesh ,73,1771423815220,-0.65122,2.70784,8.72447,69.16,-8.68,-198.24001
Yogesh ,74,1771423815236,-1.70707,3.57215,9.81144,81.795,-25.305,-193.48
Yogesh ,75,1771423815253,-2.58813,3.45962,8.55448,91.875,-33.6,-183.78499
Yogesh ,76,1771423815269,-3.0574,3.94325,8.14747,90.65,-28.7,-171.815
Yogesh ,77,1771423815286,-3.0574,3.94325,8.14747,87.81499,-28.49,-159.63501
Yogesh ,78,1771423815301,-3.69186,3.51948,7.64708,80.36,-34.195,-151.65501
Yogesh ,79,1771423815318,-3.61764,3.19387,7.07247,72.485,-42.56,-151.16499
Yogesh ,80,1771423815335,-4.27604,3.20105,6.37336,53.55,-46.235,-148.61
Yogesh ,81,1771423815347,-4.88657,3.34949,6.53856,47.915,-42.315,-144.375
Yogesh ,82,1771423815363,-4.88657,3.34949,6.53856,44.1,-32.62,-136.64
Yogesh ,83,1771423815380,-4.8291,3.11725,6.65109,42.105,-17.325,-129.5
Yogesh ,84,1771423815396,-4.93684,3.0574,6.50026,35.805,-2.695,-125.475
Yogesh ,85,1771423815413,-5.26006,2.63602,7.06529,32.585,1.26,-119.45499
Yogesh ,86,1771423815430,-4.96079,1.86508,6.90967,32.76,7.175,-116.27
Yogesh ,87,1771423815447,-5.6575,1.74777,6.83545,27.23,23.8,-114.275
Yogesh ,88,1771423815466,-5.6575,1.74777,6.83545,23.66,35.525,-108.08
Yogesh ,89,1771423815490,-5.70299,1.68312,7.2257,19.075,36.365,-106.505
Yogesh ,90,1771423815500,-5.4923,1.07978,7.62314,19.845,35.805,-108.255
Yogesh ,91,1771423815517,-5.26246,0.42617,8.07564,26.775,33.18,-116.165
Yogesh ,92,1771423815532,-6.12676,0.84036,7.89608,30.555,29.085,-118.40501
Yogesh ,93,1771423815547,-6.78038,1.08218,7.23288,26.95,21.49,-114.66
Yogesh ,94,1771423815562,-6.78038,1.08218,7.23288,17.5,17.325,-108.85
Yogesh ,95,1771423815584,-7.19936,1.36709,7.2664,14.245,21.77,-98.91
Yogesh ,96,1771423815597,-7.17063,1.39821,7.04614,12.635,23.94,-96.075
Yogesh ,97,1771423815614,-7.18261,1.34075,6.7325,6.195,23.73,-91.805
Yogesh ,98,1771423815630,-7.25204,1.3623,6.42364,2.765,23.625,-88.48
Yogesh ,99,1771423815651,-7.61117,1.3216,5.39414,-1.575,32.13,-80.745
Yogesh ,100,1771423815668,-9.43316,2.00155,5.80833,-18.025,29.26,-66.36
Yogesh ,101,1771423815683,-9.43316,2.00155,5.80833,-34.02,15.155,-49.595
Yogesh ,102,1771423815703,-8.81545,1.17795,6.28239,-37.38,8.085,-40.81
Yogesh ,103,1771423815717,-7.38372,0.44053,6.54575,-40.215,11.97,-38.78
Yogesh ,104,1771423815734,-6.69658,0.10295,7.15387,-34.615,17.885,-37.765
Yogesh ,105,1771423815751,-4.86981,-0.6177,5.14514,-17.605,43.645,-44.135
Yogesh ,106,1771423815763,-4.86981,-0.6177,5.14514,-8.225,73.255,-58.345
Yogesh ,107,1771423815779,-6.28717,-0.39983,5.03501,-27.545,59.815,-65.135
Yogesh ,108,1771423815798,-7.73567,0.37828,5.75087,-39.655,46.41,-61.355
Yogesh ,109,1771423815818,-9.26317,0.76614,7.36935,-49.56,21.7,-45.43
Yogesh ,110,1771423815834,-7.51779,-0.54348,9.71567,-33.39,22.225,-48.93
Yogesh ,111,1771423815851,-7.92241,-0.54588,10.7763,-0.245,29.12,-57.96
Yogesh ,112,1771423815870,-9.24401,0.46208,9.27035,16.17,18.655,-57.085
Yogesh ,113,1771423815886,-9.24401,0.46208,9.27035,23.94,14.42,-49.56
Yogesh ,114,1771423815900,-10.2807,1.68552,7.57047,22.505,21.035,-28.875
Yogesh ,115,1771423815919,-9.39245,0.68953,7.05571,23.135,32.76,-16.975
