ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Yogesh ,1,1771424092064,0.28491,2.81558,10.64462,3.99,-5.81,-0.175
Yogesh ,2,1771424092082,1.70707,2.12366,9.47146,10.71,9.135,-3.01
Yogesh ,3,1771424092099,1.60651,2.23379,8.78672,10.22,14.455,-7.63
Yogesh ,4,1771424092114,1.18034,2.48758,9.07881,2.905,20.23,-9.45
Yogesh ,5,1771424092131,0.8691,2.38941,9.31584,0.7,18.375,-12.565
Yogesh ,6,1771424092154,0.55306,2.54025,9.44273,7.735,13.37,-12.495
Yogesh ,7,1771424092170,0.55545,2.727,9.19373,13.825,10.57,-8.785
Yogesh ,8,1771424092187,0.55545,2.727,9.19373,16.485,10.325,-6.475
Yogesh ,9,1771424092201,0.38547,2.86347,9.27514,15.715,6.86,-6.37
Yogesh ,10,1771424092221,0.23942,2.85628,9.3733,12.32,0.035,-9.695
Yogesh ,11,1771424092239,0.39265,2.09493,8.58561,5.985,-8.54,-15.96
Yogesh ,12,1771424092255,0.32561,1.63524,7.91284,-2.625,-13.16,-17.57
Yogesh ,13,1771424092266,0.32561,1.63524,7.91284,-7.63,-14.455,-17.675
Yogesh ,14,1771424092288,0.34955,1.78607,8.14507,-29.68,-21,-13.685
Yogesh ,15,1771424092304,0.25857,2.27689,9.09797,-33.18,-20.37,-6.86
Yogesh ,16,1771424092319,0.51954,2.69587,10.13466,-26.67,-18.06,0.945
Yogesh ,17,1771424092337,1.10612,2.8491,11.07079,-17.99,-18.235,5.705
Yogesh ,18,1771424092354,1.73819,2.8898,11.51611,-13.09,-20.475,3.85
Yogesh ,19,1771424092369,2.13802,2.41096,10.65899,-4.06,-17.045,-3.325
Yogesh ,20,1771424092386,2.13802,2.41096,10.65899,10.36,-5.53,-10.15
Yogesh ,21,1771424092405,2.05422,2.38702,9.62948,20.545,6.195,-12.425
Yogesh ,22,1771424092421,1.33357,3.0981,9.71806,23.31,13.02,-9.94
Yogesh ,23,1771424092437,0.89543,3.20105,9.54329,22.785,16.52,-8.26
Yogesh ,24,1771424092450,0.51475,2.82755,8.93277,23.87,15.925,-7.595
Yogesh ,25,1771424092467,0.51475,2.82755,8.93277,21.035,11.025,-3.5
Yogesh ,26,1771424092485,0.15083,2.97839,8.94474,2.73,-3.185,4.235
Yogesh ,27,1771424092504,0.32322,2.59292,8.85855,-10.15,-15.575,4.445
Yogesh ,28,1771424092517,0.59855,1.89381,8.57364,-20.055,-23.555,2.24
Yogesh ,29,1771424092534,0.99359,1.81959,8.90643,-26.985,-23.8,-1.785
Yogesh ,30,1771424092550,1.25456,1.56341,9.05008,-26.705,-15.54,-10.115
Yogesh ,31,1771424092570,1.16837,1.41258,8.95671,-17.57,-4.095,-16.765
Yogesh ,32,1771424092583,1.16837,1.41258,8.95671,-4.55,10.815,-20.895
Yogesh ,33,1771424092600,0.8667,2.1452,9.50498,3.71,16.45,-21.56
Yogesh ,34,1771424092618,0.54588,2.90656,9.90721,9.695,13.685,-21.315
Yogesh ,35,1771424092635,0.50278,3.1388,9.23204,18.305,6.265,-20.3
