ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Yogesh ,1,1771422258306,0.36152,2.61207,9.66539,-4.235,1.54,2.66
Yogesh ,2,1771422258315,0.12929,2.52588,9.70609,-1.47,-6.44,0.77
Yogesh ,3,1771422258331,0.14126,2.9305,9.10994,-0.945,-1.75,0.35
Yogesh ,4,1771422258348,0.05986,2.99515,9.05487,0.315,-0.175,1.295
Yogesh ,5,1771422258365,0.36152,2.92332,9.44034,2.345,2.835,2.695
Yogesh ,6,1771422258381,0.36152,2.92332,9.44034,5.18,4.9,1.855
Yogesh ,7,1771422258397,0.25379,3.09331,9.51935,6.615,4.375,2.59
Yogesh ,8,1771422258414,0.19632,3.26809,9.19134,4.235,4.095,4.69
Yogesh ,9,1771422258433,0.21308,2.92093,9.16261,-1.4,2.485,6.265
Yogesh ,10,1771422258449,0.43096,2.54504,9.32302,-3.99,-1.96,2.835
Yogesh ,11,1771422258466,0.37828,2.76291,9.25359,-4.515,-2.975,-0.035
Yogesh ,12,1771422258482,0.37828,2.76291,9.25359,-3.22,-1.785,-1.61
Yogesh ,13,1771422258498,0.35913,2.99036,9.03811,-1.225,2.905,-1.96
Yogesh ,14,1771422258516,0.30885,3.10528,9.13388,1.715,3.08,-1.365
Yogesh ,15,1771422258532,0.25139,3.43329,9.0429,4.2,3.08,0.735
Yogesh ,16,1771422258548,0.41899,3.60567,8.79151,4.655,4.34,3.29
Yogesh ,17,1771422258565,0.56264,3.68707,8.95431,3.955,8.715,6.3
Yogesh ,18,1771422258582,0.56264,3.68707,8.95431,3.395,9.835,8.505
Yogesh ,19,1771422258598,0.55306,3.82115,9.05008,1.75,11.235,10.465
Yogesh ,20,1771422258616,0.72544,3.57933,8.84418,-5.81,10.92,14.525
Yogesh ,21,1771422258631,0.7446,3.42371,9.18895,-6.86,9.275,13.825
Yogesh ,22,1771422258649,0.80924,3.0143,9.71088,-5.285,7.455,10.78
Yogesh ,23,1771422258666,0.80206,3.10528,9.79707,-1.33,4.97,7.525
Yogesh ,24,1771422258682,0.80206,3.10528,9.79707,0.42,1.68,6.65
Yogesh ,25,1771422258699,0.67756,3.25851,9.18176,1.435,4.725,6.405
Yogesh ,26,1771422258715,0.67277,3.2202,9.28711,4.375,5.215,5.11
Yogesh ,27,1771422258731,0.84036,3.1364,9.50737,9.1,3.815,2.45
Yogesh ,28,1771422258748,0.80206,3.34949,9.14346,11.935,3.78,-0.14
Yogesh ,29,1771422258764,0.78051,3.54821,8.57603,10.325,8.33,-0.28
Yogesh ,30,1771422258781,0.78051,3.54821,8.57603,5.915,14.21,1.61
Yogesh ,31,1771422258798,0.39983,3.35188,8.9184,5.075,16.345,2.94
Yogesh ,32,1771422258816,0.09098,3.11725,9.36851,9.94,12.95,1.89
Yogesh ,33,1771422258831,0.02155,3.23935,9.36612,13.09,13.125,-0.49
Yogesh ,34,1771422258848,-0.2083,3.35907,8.82742,12.81,9.17,-0.98
Yogesh ,35,1771422258865,-0.19154,3.48356,8.78672,11.34,12.145,-0.805
Yogesh ,36,1771422258883,-0.19154,3.48356,8.78672,11.165,15.26,0.665
Yogesh ,37,1771422258899,-0.39504,3.73735,9.13627,11.41,13.125,4.375
Yogesh ,38,1771422258915,-0.26815,3.85466,9.15303,9.345,11.025,5.67
Yogesh ,39,1771422258931,-0.28491,3.7589,8.59518,3.99,4.095,5.81
Yogesh ,40,1771422258950,-0.25857,3.57454,8.1331,-4.9,-1.505,3.57
Yogesh ,41,1771422258971,-0.03591,3.49793,8.58321,-30.52,-6.895,-2.03
Yogesh ,42,1771422258986,-0.06225,3.91691,10.22564,-34.055,-7.35,-1.645
Yogesh ,43,1771422259002,-0.06225,3.91691,10.22564,-18.165,-4.97,2.87
Yogesh ,44,1771422259019,-0.00718,3.54821,9.9503,-3.36,-6.65,8.155
Yogesh ,45,1771422259037,0.45729,3.00472,9.15782,9.415,3.675,8.05
Yogesh ,46,1771422259054,0.46208,2.96881,9.19613,16.905,9.975,4.865
Yogesh ,47,1771422259070,0.29449,3.71341,9.28711,18.48,6.615,3.01
Yogesh ,48,1771422259087,0.21069,4.13239,8.65025,13.93,5.11,4.095
Yogesh ,49,1771422259105,0.21069,4.13239,8.65025,2.8,1.19,7.455
Yogesh ,50,1771422259119,0.23224,3.8403,8.21929,-9.135,0.49,8.925
Yogesh ,51,1771422259137,0.30167,3.304,8.89207,-8.505,-2.415,4.935
Yogesh ,52,1771422259153,0.2897,3.53863,9.57441,0.35,-2.24,3.85
Yogesh ,53,1771422259171,0.30885,3.97198,9.04769,6.615,-3.535,6.195
Yogesh ,54,1771422259186,0.35674,4.03184,8.3821,6.09,-3.43,8.54
Yogesh ,55,1771422259204,0.35674,4.03184,8.3821,0.595,2.31,11.83
Yogesh ,56,1771422259221,0.5387,3.7182,8.93756,1.365,0.07,10.395
Yogesh ,57,1771422259237,0.54588,3.81875,9.7444,6.825,-0.63,9.45
Yogesh ,58,1771422259252,0.48842,3.87861,9.23683,10.605,-3.08,8.925
Yogesh ,59,1771422259269,0.51715,3.90494,8.41562,8.225,-3.885,8.19
Yogesh ,60,1771422259288,0.55545,3.72777,8.87052,7,1.47,6.615
Yogesh ,61,1771422259303,0.55545,3.72777,8.87052,9.835,1.715,4.235
Yogesh ,62,1771422259320,0.63207,3.72538,9.3326,12.95,1.26,2.065
Yogesh ,63,1771422259337,0.52194,3.57694,9.18895,13.265,-0.245,0.07
Yogesh ,64,1771422259352,0.6201,3.02627,8.91361,8.155,-4.585,-3.815
Yogesh ,65,1771422259373,0.8691,2.09493,7.95354,6.475,33.25,-15.715
Yogesh ,66,1771422259387,-0.2897,2.43011,7.82904,16.415,75.845,-24.64
Yogesh ,67,1771422259403,-0.2897,2.43011,7.82904,27.685,-18.34,-18.305
Yogesh ,68,1771422259420,-1.23301,3.41174,11.73877,40.74,-30.31,-21.28
Yogesh ,69,1771422259437,1.27132,3.21541,10.17536,39.095,15.47,-28.035
Yogesh ,70,1771422259453,4.49631,6.8977,-1.06542,-57.225,225.925,-6.405
Yogesh ,71,1771422259471,1.76213,5.25288,8.39168,-105.175,281.54001,-36.19
Yogesh ,72,1771422259487,-7.11796,4.13,16.40507,-50.925,159.25,-43.05
Yogesh ,73,1771422259503,-7.11796,4.13,16.40507,1.4,32.55,-0.35
Yogesh ,74,1771422259522,-3.58412,2.67432,10.96305,23.73,-86.065,25.235
Yogesh ,75,1771422259535,-0.90022,2.89698,7.99903,19.775,-105.21,14.7
Yogesh ,76,1771422259553,-0.47166,1.5275,9.3302,12.39,-115.71,-39.34
Yogesh ,77,1771422259572,-1.0343,3.06218,11.06839,30.52,-82.495,-40.25
Yogesh ,78,1771422259584,-0.13647,3.43089,5.54497,4.2,-31.08,-37.765
Yogesh ,79,1771422259603,-0.13647,3.43089,5.54497,-34.335,-10.465,-37.66
Yogesh ,80,1771422259622,-0.91219,5.4516,5.64074,-48.37,28.735,-23.1
Yogesh ,81,1771422259637,-1.68312,6.77799,8.74362,-34.055,49.21,-1.645
Yogesh ,82,1771422259653,-1.88903,5.08768,9.08839,-12.39,33.53,17.01
Yogesh ,83,1771422259670,-1.39821,4.34548,9.88087,10.5,29.54,28.14
Yogesh ,84,1771422259690,-0.96007,3.66313,9.92875,48.055,35.035,31.78
Yogesh ,85,1771422259705,-1.9824,1.72622,9.71328,26.32,-16.065,9.975
Yogesh ,86,1771422259719,-1.9824,1.72622,9.71328,16.52,-15.575,3.78
Yogesh ,87,1771422259735,-1.46765,3.43807,7.37175,-6.265,42.07,3.605
Yogesh ,88,1771422259751,-1.11091,4.19943,8.86573,-18.025,43.75,-0.735
Yogesh ,89,1771422259770,-1.24977,4.06296,9.20571,-32.935,32.095,-2.8
Yogesh ,90,1771422259786,-0.73023,3.85945,8.08043,-46.97,30.625,-3.955
Yogesh ,91,1771422259803,-0.73023,3.85945,8.08043,-53.235,40.285,-8.365
Yogesh ,92,1771422259819,-0.93134,3.34709,9.70609,-41.58,58.345,-9.065
Yogesh ,93,1771422259838,-1.46046,3.59849,9.34218,-25.235,59.185,-4.655
Yogesh ,94,1771422259853,-2.01352,4.19943,8.77475,-10.57,42.07,-0.21
Yogesh ,95,1771422259869,-2.00395,4.13718,8.93995,-1.19,34.615,6.23
