ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Yogesh ,1,1771511252385,0.41899,0.59855,8.39168,-18.725,2.17,-16.59
Yogesh ,2,1771511252404,-0.53391,1.29047,9.69652,-9.905,7.7,-14.84
Yogesh ,3,1771511252418,-1.20907,1.57538,10.18254,4.41,10.71,-8.12
Yogesh ,4,1771511252435,-0.82361,1.25456,9.46667,12.075,7.84,-0.98
Yogesh ,5,1771511252450,-0.82361,1.25456,9.46667,11.62,5.25,4.41
Yogesh ,6,1771511252467,-0.02394,0.9912,8.82982,7.49,2.73,4.97
Yogesh ,7,1771511252485,0.44053,0.9098,8.97347,6.44,1.365,2.905
Yogesh ,8,1771511252501,0.16759,1.01514,9.43555,10.045,1.82,1.365
Yogesh ,9,1771511252516,-0.44053,1.42694,9.73004,15.575,5.565,3.395
Yogesh ,10,1771511252534,-0.51954,1.53468,9.81862,19.46,16.135,7.175
Yogesh ,11,1771511252551,-0.7829,1.2785,9.93594,25.585,32.445,7.77
Yogesh ,12,1771511252569,-0.7829,1.2785,9.93594,27.86,31.15,7.105
Yogesh ,13,1771511252584,-0.9912,1.33596,9.79947,27.23,26.005,7.035
Yogesh ,14,1771511252602,-1.28329,1.60651,9.88087,25.095,20.3,7.14
Yogesh ,15,1771511252618,-1.27132,1.70707,9.85693,21.595,15.785,5.32
Yogesh ,16,1771511252634,-1.12049,1.61609,10.0317,18.725,12.04,1.155
Yogesh ,17,1771511252652,-0.71108,1.16837,9.91678,16.1,6.125,-4.165
Yogesh ,18,1771511252667,-0.71108,1.16837,9.91678,10.955,-0.21,-11.83
Yogesh ,19,1771511252684,-0.74939,1.01275,9.84735,7.105,-9.03,-16.205
Yogesh ,20,1771511252701,-0.96726,1.10612,9.72046,6.335,-20.23,-17.115
Yogesh ,21,1771511252718,-0.96965,1.17076,9.38288,4.865,-33.005,-16.975
Yogesh ,22,1771511252737,-0.82121,1.35033,9.17219,1.715,-46.62,-14
Yogesh ,23,1771511252750,-0.82121,1.35033,9.17219,-0.49,-56.14,-9.555
Yogesh ,24,1771511252768,-0.31125,1.33118,9.165,-1.225,-68.705,-5.635
Yogesh ,25,1771511252785,-0.01915,0.92416,9.34696,-2.695,-78.43501,-5.25
Yogesh ,26,1771511252802,0.50757,1.03908,9.05008,-9.1,-83.44,-4.585
Yogesh ,27,1771511252818,0.55785,1.55863,9.05248,-15.19,-78.715,-1.575
Yogesh ,28,1771511252836,0.37828,1.26653,9.03332,-15.61,-66.325,1.855
Yogesh ,29,1771511252850,0.37828,1.26653,9.03332,-7.105,-38.885,12.74
Yogesh ,30,1771511252867,0.07901,0.83797,9.75637,9.38,-13.825,19.915
Yogesh ,31,1771511252884,0.14365,0.84036,10.08438,26.74,8.47,28.56
Yogesh ,32,1771511252901,0.40223,0.69432,10.26155,42.35,23.87,37.66
Yogesh ,33,1771511252916,0.13168,0.77093,9.91199,52.5,40.845,42.98
Yogesh ,34,1771511252934,0.73023,1.20428,9.1674,52.71,67.865,46.935
Yogesh ,35,1771511252961,1.15401,1.43173,8.64067,37.24,77.945,50.05
Yogesh ,36,1771511252972,1.15401,1.43173,8.64067,23.87,41.16,55.475
Yogesh ,37,1771511252990,2.22661,1.09654,9.07642,1.085,-41.3,48.79
Yogesh ,38,1771511253009,2.71981,1.72383,9.02375,-30.87,-61.95,23.485
Yogesh ,39,1771511253023,5.08768,2.30562,11.11149,-34.37,-59.57,9.275
Yogesh ,40,1771511253039,2.94008,1.6113,11.28387,-23.765,-38.64,-13.475
Yogesh ,41,1771511253057,0.99359,1.25935,10.31901,-7.63,-14.035,-11.725
Yogesh ,42,1771511253072,0.99359,1.25935,10.31901,9.73,9.66,-3.08
Yogesh ,43,1771511253089,1.47483,1.75016,9.48104,23.135,54.81,0.945
Yogesh ,44,1771511253106,1.30723,1.47243,8.95431,21.21,67.83,1.4
Yogesh ,45,1771511253124,0.83318,0.88346,9.40921,15.225,62.09,-4.235
Yogesh ,46,1771511253140,0.25379,0.59616,9.80186,8.085,55.79,-13.65
Yogesh ,47,1771511253154,-1.3216,0.37589,9.54089,-3.395,46.235,-22.715
Yogesh ,48,1771511253174,-1.67834,0.60813,9.01896,-21.07,47.355,-20.09
Yogesh ,49,1771511253190,-1.67834,0.60813,9.01896,-32.27,58.24,-19.88
Yogesh ,50,1771511253205,-1.67115,1.00556,9.55047,-38.15,70.21,-22.645
Yogesh ,51,1771511253222,-3.10049,1.22344,9.87129,-37.31,72.06499,-22.33
Yogesh ,52,1771511253238,-3.23457,1.37667,10.12029,-30.905,51.345,-17.115
Yogesh ,53,1771511253256,-1.47004,1.94409,10.43393,-18.2,36.26,-13.965
Yogesh ,54,1771511253273,-0.95289,2.83473,10.31662,3.325,14.105,-14.84
Yogesh ,55,1771511253287,-0.95289,2.83473,10.31662,10.955,8.995,-14.315
Yogesh ,56,1771511253303,-1.36948,3.08852,10.53209,24.08,0.875,-8.925
Yogesh ,57,1771511253322,-2.17394,2.27689,9.13148,30.73,-22.19,7.56
Yogesh ,58,1771511253341,-1.61848,1.95846,8.08043,29.26,-22.96,16.24
Yogesh ,59,1771511253357,0.67995,3.06937,8.40125,25.97,-12.985,3.955
Yogesh ,60,1771511253374,-0.77093,3.41892,8.00861,16.24,-16.765,-0.735
Yogesh ,61,1771511253389,-0.77093,3.41892,8.00861,6.755,-11.655,6.615
Yogesh ,62,1771511253406,-0.45011,4.06535,9.27035,9.59,-12.74,15.505
Yogesh ,63,1771511253422,-0.50757,4.53941,9.55526,9.975,-2.1,26.6
Yogesh ,64,1771511253440,-0.11732,4.23534,9.55047,14.56,-14.42,31.92
Yogesh ,65,1771511253456,0.69192,4.07733,8.6311,21.07,-26.705,27.825
Yogesh ,66,1771511253472,0.69192,4.07733,8.6311,26.775,-28.035,21.42
Yogesh ,67,1771511253493,0.77812,4.62081,8.4228,25.095,-2.695,19.425
Yogesh ,68,1771511253504,0.5387,5.60004,9.46907,22.575,3.745,20.86
Yogesh ,69,1771511253522,0.25139,6.26323,10.55843,12.11,-3.185,27.825
Yogesh ,70,1771511253538,0.92177,5.43963,10.34774,-2.765,-16.73,26.67
Yogesh ,71,1771511253554,1.40061,3.83072,9.38048,-15.54,-19.46,17.045
Yogesh ,72,1771511253573,1.31681,2.69108,8.95192,-16.8,-12.705,5.915
Yogesh ,73,1771511253591,1.31681,2.69108,8.95192,-6.895,2.345,-6.09
Yogesh ,74,1771511253604,0.67516,1.96085,8.45871,8.155,27.79,-15.12
Yogesh ,75,1771511253623,0.4118,1.4868,8.28873,19.11,38.5,-18.27
Yogesh ,76,1771511253640,0.35434,1.83635,8.26478,28.28,39.585,-19.145
Yogesh ,77,1771511253656,0.28491,1.81959,7.81228,29.925,35,-22.995
Yogesh ,78,1771511253670,0.28491,1.81959,7.81228,20.16,31.15,-30.345
Yogesh ,79,1771511253687,-0.15083,2.30083,7.73567,3.885,28.875,-39.655
Yogesh ,80,1771511253706,-1.0319,2.85389,8.82024,-2.17,23.31,-44.625
Yogesh ,81,1771511253724,-1.59214,3.05261,9.4164,3.64,18.515,-45.29
Yogesh ,82,1771511253741,-1.99437,3.54821,9.68215,9.345,14.14,-41.72
Yogesh ,83,1771511253757,-1.85072,3.80918,9.2488,8.365,12.705,-36.295
Yogesh ,84,1771511253773,-1.71185,3.94086,9.79468,1.19,13.405,-34.23
Yogesh ,85,1771511253789,-1.71185,3.94086,9.79468,-7.385,7.35,-32.165
Yogesh ,86,1771511253806,-1.87466,3.7589,9.99819,-9.17,2.94,-28.84
Yogesh ,87,1771511253823,-1.70228,3.90255,10.56801,-8.155,-8.54,-24.115
Yogesh ,88,1771511253841,-1.34075,3.49075,10.25197,-7.77,-23.03,-20.615
Yogesh ,89,1771511253858,-0.89543,3.15556,9.54808,-5.39,-28.455,-20.93
