ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
jatin,1,1771403973409,0.108,0.255,8.07105,5.24686,-9.79257,-1.43383
jatin,2,1771403973415,-2.88795,0.588,8.538,9.94225,-15.65392,4.36451
jatin,3,1771403973428,0.91305,0.42495,9.87195,3.16702,-6.68069,11.01368
jatin,4,1771403973445,2.313,-0.50505,8.157,-10.38343,-13.63711,-3.26156
jatin,5,1771403973461,-1.15005,-0.55095,13.56795,6.83037,-20.59354,-11.25791
jatin,6,1771403973477,1.674,1.65105,13.26,5.42806,-7.71273,-6.01104
jatin,7,1771403973495,2.349,0.55905,13.662,3.41125,-11.6203,-1.61502
jatin,8,1771403973511,-1.87605,0.174,7.353,7.87029,-5.03415,4.36451
jatin,9,1771403973527,-0.95595,-0.62295,8.81805,1.03204,-10.64341,3.38761
jatin,10,1771403973545,-3.22605,-1.56105,9.78105,-1.34717,4.55358,-5.27837
jatin,11,1771403973561,-1.713,1.155,7.983,15.86663,-29.14135,10.03679
jatin,12,1771403973577,-1.23195,1.00005,8.06895,-0.00788,-9.24109,37.08255
jatin,13,1771403973594,1.19505,-0.49305,11.15505,-9.95801,-6.79886,51.97229
jatin,14,1771403973611,4.86795,0.00105,15.618,14.40129,-16.07934,35.67235
jatin,15,1771403973627,2.73705,1.344,14.19795,6.40495,-23.94963,32.74167
jatin,16,1771403973644,-0.09705,-0.33795,7.236,5.85348,-14.30676,27.55784
jatin,17,1771403973660,1.13295,-0.651,7.35795,5.91651,1.31565,10.65129
jatin,18,1771403973677,-0.078,-0.16995,6.44595,3.104,0.15756,-1.07143
jatin,19,1771403973694,-0.717,0.73395,9.807,-4.21482,-11.25791,-10.58826
jatin,20,1771403973725,-3.64695,-0.61995,12.29505,11.47061,-20.28629,-3.69486
jatin,21,1771403973742,-1.746,-0.82605,2.41605,-5.13657,1.74108,-7.23216
jatin,22,1771403973757,3.71595,1.464,14.16195,-8.18542,-8.14603,-2.59192
jatin,23,1771403973774,4.09695,0.35295,12.88395,-8.67386,-19.61664,-8.94172
jatin,24,1771403973790,1.83405,0.43695,13.82895,-13.80255,-26.69912,-13.03049
jatin,25,1771403973807,-2.30205,0.25005,11.394,-18.49794,-31.94598,-13.03049
jatin,26,1771403973818,-0.41505,0.564,9.89805,-18.62399,-0.88235,-13.40077
jatin,27,1771403973841,3.0,0.23295,12.49095,0.60662,15.11033,1.00841
jatin,28,1771403973857,-3.09405,-0.23505,4.40805,-5.43594,7.35821,0.58298
jatin,29,1771403973873,-6.27105,-0.129,10.78605,6.21588,19.13607,0.39391
jatin,30,1771403973891,-3.88395,0.62595,10.437,-6.72008,-5.88499,-1.55988
jatin,31,1771403973908,2.67195,-0.333,9.678,-1.47322,-13.51106,-3.32459
jatin,32,1771403973924,0.65205,-0.546,6.249,-5.38079,0.58298,-7.65758
jatin,33,1771403973941,-3.22395,-1.08195,6.32805,-3.91545,-10.95066,-8.14603
jatin,34,1771403973954,6.357,0.27405,13.94895,-4.76629,-13.14866,-8.45328
jatin,35,1771403973968,-4.96395,-0.22305,7.659,-6.65705,11.32881,1.07143
jatin,36,1771403973987,-2.007,-0.29895,9.79695,-5.25474,9.68227,0.03151
jatin,37,1771403974003,0.228,0.37695,11.574,-8.18542,2.78099,1.74108
jatin,38,1771403974018,-3.67095,-0.14895,8.205,-5.68016,7.84666,4.12028
jatin,39,1771403974033,-3.159,0.68595,6.15105,-8.05937,0.27574,-0.63813
jatin,40,1771403974045,4.044,-0.76605,11.256,-0.7957,-6.43646,-6.07407
jatin,41,1771403974073,-1.665,-0.261,9.37605,-0.55147,10.04467,3.99423
jatin,42,1771403974085,-2.62995,0.86295,6.297,-1.59139,-7.16913,4.05726
jatin,43,1771403974103,-3.39105,0.22095,6.31395,-1.41019,-14.85823,1.49685
jatin,44,1771403974125,3.12495,0.61395,15.41895,2.98583,25.7301,12.2348
jatin,45,1771403974141,7.68105,0.918,13.81995,1.15021,12.42387,9.91862
jatin,46,1771403974157,-5.01195,-0.04095,8.23905,0.66177,14.25949,12.42387
jatin,47,1771403974175,3.90795,1.14795,12.948,0.54359,6.31829,12.0536
jatin,48,1771403974189,-5.388,-1.18995,6.699,-0.98477,9.43805,12.36085
jatin,49,1771403974202,-0.73395,0.81495,11.58105,0.05515,12.6681,11.99057
jatin,50,1771403974219,-1.13805,0.57795,6.28995,2.12711,11.44698,10.58826
jatin,51,1771403974236,-6.501,-0.35895,5.70105,3.47427,7.42124,5.82985
