ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
yogesh ,1,1771423532760,-3.693,4.52295,6.33195,-24.07569,-8.53206,-14.14919
yogesh ,2,1771423532773,-4.53105,4.14495,4.086,-41.02951,-45.78792,-6.8934
yogesh ,3,1771423532783,-4.53105,4.14495,4.086,-49.68761,-71.03746,-0.97689
yogesh ,4,1771423532795,-4.617,4.12095,6.19095,-52.24802,-90.42564,4.93961
yogesh ,5,1771423532811,-2.958,4.13505,10.50195,-45.23645,-96.21608,12.5578
yogesh ,6,1771423532821,-2.958,4.13505,10.50195,-34.81363,-89.69296,14.81884
yogesh ,7,1771423532832,-0.609,4.566,12.66,-17.19016,-63.16717,10.84824
yogesh ,8,1771423532841,-0.609,4.566,12.66,-12.36873,-52.01168,8.23269
yogesh ,9,1771423532852,-0.22305,4.54005,11.38395,-2.9228,-22.9885,0.85084
yogesh ,10,1771423532865,-0.22305,4.54005,11.38395,-0.54359,-14.14131,-1.70956
yogesh ,11,1771423532875,-1.31295,4.542,9.01095,-0.29937,-13.47167,-2.07196
yogesh ,12,1771423532885,-1.31295,4.542,9.01095,-1.33141,-17.67861,-1.77259
yogesh ,13,1771423532897,-1.662,4.80495,8.07705,-2.9228,-23.71329,-2.44223
yogesh ,14,1771423532908,-1.74105,4.422,7.68,-7.98059,-34.08096,-5.12081
yogesh ,15,1771423532921,-1.74105,4.422,7.68,-11.45486,-36.64137,-5.55411
yogesh ,16,1771423532931,-2.022,4.18305,8.688,-12.98322,-32.56047,-3.60032
yogesh ,17,1771423532941,-2.022,4.18305,8.688,-14.01526,-28.40868,-1.52837
yogesh ,18,1771423532954,-1.701,3.831,8.80305,-14.81096,-27.00636,-0.42542
yogesh ,19,1771423532964,-1.701,3.831,8.80305,-14.32251,-26.82517,-0.37027
yogesh ,20,1771423532975,-1.42305,4.07295,9.47505,-12.36873,-25.66708,-0.91387
yogesh ,21,1771423532987,-1.42305,4.07295,9.47505,-8.89445,-22.9885,-1.82774
yogesh ,22,1771423532997,-1.176,4.30005,9.81105,-5.23898,-19.8136,-2.98583
yogesh ,23,1771423533009,-1.011,4.023,8.214,-3.83667,-22.06675,-5.42806
yogesh ,24,1771423533020,-1.011,4.023,8.214,-7.12974,-34.32518,-7.25579
yogesh ,25,1771423533030,-1.55895,4.54695,8.937,-9.3829,-37.19284,-8.35874
yogesh ,26,1771423533044,-1.55895,4.54695,8.937,-9.93437,-40.24169,-7.98846
yogesh ,27,1771423533052,-1.55205,4.27605,9.018,-11.21064,-43.65294,-6.58615
yogesh ,28,1771423533067,-1.55205,4.27605,9.018,-14.81096,-30.66971,-2.68646
yogesh ,29,1771423533074,-1.09005,4.36305,10.25295,-15.23638,-16.03207,-0.48845
yogesh ,30,1771423533086,-1.09005,4.36305,10.25295,-14.07829,0.73267,-2.13498
yogesh ,31,1771423533097,0.606,4.66695,10.842,-12.1245,26.65185,-13.59772
yogesh ,32,1771423533110,1.12095,3.82905,9.65505,-14.14131,40.54894,-23.59512
yogesh ,33,1771423533120,1.12095,3.82905,9.65505,-24.07569,48.78163,-29.63767
yogesh ,34,1771423533129,-2.151,2.976,6.45405,-42.0064,52.13773,-24.20962
yogesh ,35,1771423533144,-2.151,2.976,6.45405,-62.55267,53.78426,5.67228
yogesh ,36,1771423533152,-4.239,3.26805,7.32495,-67.12988,42.38455,30.11824
yogesh ,37,1771423533166,-4.239,3.26805,7.32495,-66.69659,23.11455,49.20705
yogesh ,38,1771423533176,-2.16795,2.268,8.70195,-63.95498,7.80727,55.7932
yogesh ,39,1771423533184,-2.16795,2.268,8.70195,-49.81367,-16.40235,53.77639
yogesh ,40,1771423533199,0.558,3.69705,16.37505,-7.86241,43.29842,35.60933
yogesh ,41,1771423533209,4.07805,4.647,10.02105,7.44487,34.27004,10.84824
yogesh ,42,1771423533219,4.07805,4.647,10.02105,16.22903,25.79313,-4.38814
