ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
yogesh ,1,1771423019217,1.77,5.184,9.81495,8.99687,10.03679,-13.96799
yogesh ,2,1771423019228,1.14705,5.40405,8.748,2.96219,23.93388,-11.83301
yogesh ,3,1771423019237,0.05595,4.96305,8.38395,0.77206,20.58566,-8.29571
yogesh ,4,1771423019244,0.05595,4.96305,8.38395,0.15756,16.55991,-6.40495
yogesh ,5,1771423019255,0.05595,4.96305,8.38395,0.22059,5.76682,-2.93068
yogesh ,6,1771423019266,0.07695,4.75005,8.163,1.9853,-8.07512,0.42542
yogesh ,7,1771423019277,0.594,4.51095,8.17095,2.84402,-8.80779,2.13498
yogesh ,8,1771423019288,0.594,4.51095,8.17095,2.78099,-3.93121,3.96272
yogesh ,9,1771423019298,0.78105,4.44405,8.03205,2.22952,1.1896,5.90863
yogesh ,10,1771423019311,0.78105,4.44405,8.03205,1.31565,3.50579,7.43699
yogesh ,11,1771423019322,1.083,4.61595,7.88595,1.07143,3.45064,7.37397
yogesh ,12,1771423019333,1.083,4.61595,7.88595,1.07143,4.7269,7.43699
yogesh ,13,1771423019344,1.032,4.46295,7.91895,1.37868,6.68069,8.35086
yogesh ,14,1771423019356,0.89805,4.494,8.02695,0.95326,10.51736,11.51788
yogesh ,15,1771423019367,0.89805,4.494,8.02695,-0.69328,14.7243,14.08617
yogesh ,16,1771423019378,0.92205,4.61595,8.50605,-2.52101,18.14342,16.40235
yogesh ,17,1771423019388,0.92205,4.61595,8.50605,-3.80516,20.58566,18.59248
yogesh ,18,1771423019398,0.72105,4.34295,8.994,-4.1124,19.90813,20.79049
yogesh ,19,1771423019411,0.72105,4.34295,8.994,-2.64706,14.48796,21.88556
yogesh ,20,1771423019421,0.79095,4.06095,9.01095,-0.9375,8.20117,20.48324
yogesh ,21,1771423019434,0.79095,4.06095,9.01095,0.46481,2.04832,17.19016
yogesh ,22,1771423019444,0.987,4.21605,8.688,0.58298,-1.1896,13.65287
yogesh ,23,1771423019456,0.975,4.69995,8.50095,-1.79622,0.27574,9.93437
yogesh ,24,1771423019465,0.975,4.69995,8.50095,-3.74213,3.50579,9.14655
yogesh ,25,1771423019477,0.81195,5.08995,8.487,-5.14444,6.01104,9.44593
yogesh ,26,1771423019488,0.81195,5.08995,8.487,-6.12134,7.95695,10.79309
yogesh ,27,1771423019498,0.59895,5.16195,8.67795,-7.16126,10.8246,13.04625
yogesh ,28,1771423019510,0.59895,5.16195,8.67795,-10.08406,14.78732,17.61559
yogesh ,29,1771423019521,0.50595,5.088,8.982,-12.28207,14.96852,20.05782
