ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
yogesh ,1,1771516638929,0.43995,0.942,8.16105,2.25316,-15.00003,4.08089
yogesh ,2,1771516638934,0.43995,0.942,8.16105,-0.55147,-12.19541,2.62343
yogesh ,3,1771516638945,0.92205,0.954,7.68705,-6.4601,-4.51419,-0.85084
yogesh ,4,1771516638956,0.37095,1.19295,7.68405,-17.86769,8.29571,-3.60032
yogesh ,5,1771516638968,0.37095,1.19295,7.68405,-25.30468,13.59772,-4.20694
yogesh ,6,1771516638979,-0.708,1.176,9.76005,-30.30732,17.07199,-2.7416
yogesh ,7,1771516638990,-0.708,1.176,9.76005,-30.85091,19.51423,0.42542
yogesh ,8,1771516639001,-0.80805,0.966,12.70995,-22.374,18.84458,2.44223
yogesh ,9,1771516639013,-0.80805,0.966,12.70995,-12.50266,13.41652,4.32512
yogesh ,10,1771516639023,-0.66,0.53895,13.356,-3.23005,9.9974,4.75841
yogesh ,11,1771516639036,-0.66,0.53895,13.356,4.93961,5.49108,5.67228
yogesh ,12,1771516639049,-0.42,0.477,12.09,13.59772,2.62343,6.70432
yogesh ,13,1771516639061,-0.53805,0.61095,9.38205,15.36243,-4.75841,8.53206
yogesh ,14,1771516639070,-0.53805,0.61095,9.38205,12.43963,-3.5373,9.94225
yogesh ,15,1771516639081,-0.85905,1.566,9.54495,10.24162,-2.13498,14.39342
yogesh ,16,1771516639094,-0.85905,1.566,9.54495,7.86241,-4.08877,18.23008
yogesh ,17,1771516639102,-0.16905,1.815,10.182,9.08353,-4.69539,19.51423
yogesh ,18,1771516639114,-0.16905,1.815,10.182,10.66704,-5.97165,19.08093
yogesh ,19,1771516639125,0.61305,1.95,9.99,12.50266,-6.70432,17.37924
yogesh ,20,1771516639137,0.61305,1.95,9.99,14.33039,-5.72743,14.62976
yogesh ,21,1771516639146,0.9,1.863,9.34605,14.63764,-4.32512,11.28154
yogesh ,22,1771516639157,0.96495,1.59495,8.40795,12.86505,-4.08877,8.72113
yogesh ,23,1771516639170,0.96495,1.59495,8.40795,10.66704,-3.89969,6.16073
yogesh ,24,1771516639181,1.03395,1.26,8.022,8.04361,-2.62343,3.72637
