ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
yogesh ,1,1771512448049,-5.45295,-5.271,6.98505,24.76896,-0.70904,-13.84194
yogesh ,2,1771512448060,-5.45295,-5.271,6.98505,22.81518,-2.30043,-11.95118
yogesh ,3,1771512448071,-5.32095,-4.61205,6.504,16.89867,-7.17701,-12.9911
yogesh ,4,1771512448083,-3.51105,-5.39295,6.13305,8.05937,-8.88658,-19.27
yogesh ,5,1771512448096,-3.51105,-5.39295,6.13305,8.05937,-5.64865,-22.9885
yogesh ,6,1771512448109,-4.416,-5.46,7.13805,11.04519,-2.66282,-23.65814
yogesh ,7,1771512448120,-4.416,-5.46,7.13805,17.56832,3.37186,-19.14395
yogesh ,8,1771512448131,-5.10795,-4.86795,7.66305,17.26895,5.68804,-16.89079
yogesh ,9,1771512448142,-5.10795,-4.86795,7.66305,14.03102,5.86924,-15.61453
yogesh ,10,1771512448151,-4.65795,-5.12505,6.621,10.55675,6.54676,-15.18123
yogesh ,11,1771512448163,-4.65795,-5.12505,6.621,10.49372,12.21116,-14.75581
yogesh ,12,1771512448174,-4.917,-5.742,7.23705,11.17124,16.54416,-13.5347
yogesh ,13,1771512448185,-5.09895,-5.92695,7.251,12.57356,19.46696,-13.72377
yogesh ,14,1771512448195,-5.09895,-5.92695,7.251,12.26631,17.94647,-14.08617
yogesh ,15,1771512448208,-5.39805,-5.97195,6.76305,11.10822,14.10192,-14.14919
yogesh ,16,1771512448219,-5.39805,-5.97195,6.76305,7.01945,8.68174,-15.18123
yogesh ,17,1771512448231,-4.46895,-6.41295,6.97995,6.04256,8.00422,-16.58355
yogesh ,18,1771512448241,-4.46895,-6.41295,6.97995,4.70327,5.08142,-17.01685
yogesh ,19,1771512448251,-4.09305,-6.83205,6.942,2.93856,3.19066,-16.77262
yogesh ,20,1771512448263,-4.09305,-6.83205,6.942,1.34717,2.09559,-17.98586
yogesh ,21,1771512448273,-3.22905,-6.55395,6.26895,-0.23635,2.09559,-20.73534
yogesh ,22,1771512448287,-2.961,-6.86295,6.55005,-3.104,5.86924,-24.94229
yogesh ,23,1771512448298,-2.961,-6.86295,6.55005,-5.53835,15.44909,-22.92547
yogesh ,24,1771512448307,-3.162,-6.70695,6.41805,-4.80568,14.22797,-20.91654
yogesh ,25,1771512448319,-3.162,-6.70695,6.41805,-5.17596,8.79992,-19.93965
yogesh ,26,1771512448328,-3.729,-6.54705,7.11705,-6.27102,8.68174,-19.93965
yogesh ,27,1771512448341,-3.729,-6.54705,7.11705,-7.79939,7.46063,-19.87662
yogesh ,28,1771512448352,-3.84705,-6.903,7.17,-6.57827,11.42335,-19.82148
yogesh ,29,1771512448363,-3.84705,-6.903,7.17,-6.15285,12.76263,-19.51423
yogesh ,30,1771512448374,-3.95895,-7.413,6.87795,-10.47797,19.04154,-16.46537
yogesh ,31,1771512448386,-4.60305,-6.762,6.102,-12.25055,21.97222,-15.97693
yogesh ,32,1771512448397,-4.60305,-6.762,6.102,-15.35455,22.76003,-20.97957
yogesh ,33,1771512448408,-4.96695,-6.99195,5.54895,-15.96905,26.17916,-23.11455
yogesh ,34,1771512448418,-4.96695,-6.99195,5.54895,-19.31727,24.71382,-32.19808
yogesh ,35,1771512448430,-6.26895,-8.62005,5.85,-22.85457,28.31414,-21.64921
yogesh ,36,1771512448441,-6.26895,-8.62005,5.85,-32.61562,30.7485,-9.75317
yogesh ,37,1771512448451,-5.877,-7.38,4.34895,-46.02427,33.55312,-1.33929
yogesh ,38,1771512448463,-5.877,-7.38,4.34895,-59.74804,37.33465,6.88552
yogesh ,39,1771512448475,-5.64195,-7.923,3.95895,-81.63359,37.03528,19.32515
