ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
yogesh ,1,1771508493794,0.37305,1.63305,10.58595,4.41178,-4.38814,-6.16861
yogesh ,2,1771508493805,0.31605,1.82205,10.416,3.97848,-0.11817,-8.91809
yogesh ,3,1771508493817,0.213,1.72695,10.677,7.46063,1.16597,-10.25738
yogesh ,4,1771508493828,0.213,1.72695,10.677,12.82566,-2.85978,-10.43857
yogesh ,5,1771508493845,-0.066,1.75305,10.15305,17.63922,-5.54623,-8.61084
yogesh ,6,1771508493855,-0.066,1.75305,10.15305,18.55309,-7.37397,-8.79204
yogesh ,7,1771508493865,0.54795,2.088,9.645,18.73429,-9.80832,-10.25738
yogesh ,8,1771508493876,0.54795,2.088,9.645,19.77421,-10.1786,-12.39236
yogesh ,9,1771508493887,0.55305,1.77495,10.44,23.37453,-11.15549,-13.4244
yogesh ,10,1771508493899,0.01395,1.56105,9.693,26.36036,-19.14395,-12.69961
yogesh ,11,1771508493909,0.01395,1.56105,9.693,28.12507,-27.43179,-11.05307
yogesh ,12,1771508493920,-0.13305,2.24595,8.95605,28.85774,-31.52056,-8.85506
yogesh ,13,1771508493930,-0.13305,2.24595,8.95605,30.26005,-33.28527,-7.94119
yogesh ,14,1771508493942,0.99795,2.517,10.03995,32.76531,-21.94858,-11.17124
yogesh ,15,1771508493953,0.99795,2.517,10.03995,34.41185,-3.95484,-13.79467
yogesh ,16,1771508493964,0.67995,2.103,10.263,35.44388,8.60296,-14.46432
yogesh ,17,1771508493975,0.67995,2.103,10.263,36.4838,13.11715,-14.28312
yogesh ,18,1771508493986,-0.243,2.067,9.39405,36.05838,15.37031,-11.05307
yogesh ,19,1771508493998,-0.41295,1.95405,8.74305,33.79735,10.18647,-5.19959
yogesh ,20,1771508494010,-0.41295,1.95405,8.74305,34.65607,2.19801,-0.44118
yogesh ,21,1771508494019,-0.01605,2.63595,8.235,34.90029,-2.67858,0.77994
yogesh ,22,1771508494030,-0.01605,2.63595,8.235,28.67654,-0.1812,-3.24581
yogesh ,23,1771508494042,1.22805,2.967,9.183,14.89762,14.81884,-11.35244
yogesh ,24,1771508494054,1.22805,2.967,9.183,13.06988,21.28681,-8.72901
yogesh ,25,1771508494064,-0.27405,2.43105,9.17805,10.3204,16.95382,-3.55305
yogesh ,26,1771508494075,-0.27405,2.43105,9.17805,7.3976,10.12345,2.24528
yogesh ,27,1771508494086,-0.57105,2.481,8.46,3.25368,6.3498,4.07301
yogesh ,28,1771508494098,-0.29595,2.907,7.24095,-9.312,10.61189,1.75683
yogesh ,29,1771508494109,-0.29595,2.907,7.24095,-31.56783,27.62874,2.18225
yogesh ,30,1771508494119,0.46905,3.06,8.08695,-48.0332,23.91025,0.17332
yogesh ,31,1771508494131,0.46905,3.06,8.08695,-46.07941,26.3446,-6.9643
yogesh ,32,1771508494139,-0.28395,2.79405,13.86405,-30.89818,30.61457,-9.16231
yogesh ,33,1771508494154,-0.28395,2.79405,13.86405,-4.55358,15.98481,-2.33194
yogesh ,34,1771508494165,-0.63795,1.827,10.42605,4.46692,2.26103,1.33141
yogesh ,35,1771508494175,-0.63795,1.827,10.42605,6.72796,-2.98583,0.47269
yogesh ,36,1771508494187,0.35205,1.605,8.96295,-3.70274,3.1749,-4.82932
yogesh ,37,1771508494199,0.01395,2.41395,8.676,-12.42387,3.3561,-7.3267
yogesh ,38,1771508494208,0.01395,2.41395,8.676,-14.74006,1.41019,-8.42964
yogesh ,39,1771508494221,0.105,2.90895,11.04105,-13.45591,-0.29937,-9.21746
yogesh ,40,1771508494230,0.105,2.90895,11.04105,-8.64235,-6.6413,-6.9643
yogesh ,41,1771508494243,0.13395,2.328,10.25295,-3.76576,-13.71589,-0.44118
yogesh ,42,1771508494253,0.13395,2.328,10.25295,-0.95326,-7.19277,1.20536
yogesh ,43,1771508494263,0.687,2.196,10.40895,2.21377,9.02838,-0.0709
yogesh ,44,1771508494277,0.687,2.196,10.40895,7.64182,28.05416,-1.90652
yogesh ,45,1771508494285,0.579,2.52405,10.962,16.85141,40.49379,-3.91545
yogesh ,46,1771508494298,-0.24105,3.18495,10.95,28.92076,55.55685,-4.71115
yogesh ,47,1771508494307,-0.24105,3.18495,10.95,36.90923,62.62357,-2.20589
yogesh ,48,1771508494320,-0.95895,2.53395,9.47505,41.11617,68.42191,2.24528
yogesh ,49,1771508494331,-0.95895,2.53395,9.47505,39.65083,77.01699,6.87764
yogesh ,50,1771508494343,-1.06695,3.00495,7.04295,23.79995,91.34738,10.28889
yogesh ,51,1771508494353,-1.06695,3.00495,7.04295,6.53888,92.62364,8.09876
yogesh ,52,1771508494364,-1.40205,3.83595,5.76405,-9.80044,87.01438,4.38026
yogesh ,53,1771508494375,-1.40205,3.83595,5.76405,-22.84669,81.9566,3.70274
yogesh ,54,1771508494387,-2.54205,4.36005,7.218,-35.28632,80.31006,5.83772
yogesh ,55,1771508494398,-2.25705,3.93705,7.72995,-43.58204,71.77013,2.60767
yogesh ,56,1771508494409,-2.25705,3.93705,7.72995,-50.59361,56.71494,-0.19695
yogesh ,57,1771508494419,-3.483,3.099,10.392,-48.08834,44.39349,0.96114
yogesh ,58,1771508494431,-3.483,3.099,10.392,-36.81469,37.13769,4.86083
yogesh ,59,1771508494442,-3.435,3.85995,11.07195,-15.03943,29.27528,8.88658
yogesh ,60,1771508494449,-3.435,3.85995,11.07195,-9.49319,26.53367,7.48426
yogesh ,61,1771508494462,-2.511,3.76905,9.48495,-2.17437,25.00531,-2.75736
yogesh ,62,1771508494478,-2.94405,3.35505,9.705,-0.22847,29.21226,-9.46168
yogesh ,63,1771508494487,-2.94405,3.35505,9.705,3.30883,26.1634,-10.864
yogesh ,64,1771508494496,-3.00105,3.31605,9.22905,4.46692,22.50793,-11.90391
yogesh ,65,1771508494509,-3.00105,3.31605,9.22905,1.41807,10.36767,-15.86663
yogesh ,66,1771508494520,-3.43005,3.228,9.696,-2.0562,9.8871,-14.15707
yogesh ,67,1771508494530,-3.43005,3.228,9.696,-4.61661,13.47955,-12.08511
yogesh ,68,1771508494543,-3.67395,2.646,10.356,-4.00211,21.04259,-9.83196
yogesh ,69,1771508494553,-3.67395,2.646,10.356,0.6854,28.72381,-7.27155
