ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Ayan,1,1739352172945,-0.114,-2.89605,9.76905,-1.9144,0.81933,6.58615
Ayan,2,1739352172956,0.30705,-2.58,9.73305,1.93803,2.14286,6.72796
Ayan,3,1739352172966,0.30705,-2.58,9.73305,6.2789,1.23687,7.70485
Ayan,4,1739352172978,1.695,-1.75905,10.26705,7.11399,-1.55988,5.53835
Ayan,5,1739352172988,1.695,-1.75905,10.26705,6.83825,1.23687,5.74319
Ayan,6,1739352173001,-0.27195,-0.852,9.99105,4.17543,-1.9144,6.16861
Ayan,7,1739352173010,-0.27195,-0.852,9.99105,1.86713,-1.9144,4.41178
Ayan,8,1739352173023,-0.12105,-0.62205,9.62505,-0.44118,0.67752,4.9081
Ayan,9,1739352173032,0.02205,-0.675,9.07005,-1.14233,-1.35505,4.20694
Ayan,10,1739352173044,0.02205,-0.675,9.07005,-3.80516,1.93803,3.43488
Ayan,11,1739352173055,-0.564,-2.09205,8.01105,-12.90444,0.04727,0.28361
Ayan,12,1739352173066,-0.564,-2.09205,8.01105,-8.84718,3.54518,-1.46534
Ayan,13,1739352173077,0.378,-2.925,9.38295,-3.59245,1.37868,3.22217
Ayan,14,1739352173088,-0.66195,-1.18905,8.49495,-2.47375,1.44958,4.48268
Ayan,15,1739352173100,-0.66195,-1.18905,8.49495,2.07196,-0.72479,5.60138
Ayan,16,1739352173110,0.63705,-2.31495,11.244,6.83825,0.60662,3.78152
Ayan,17,1739352173122,0.63705,-2.31495,11.244,-1.35505,2.21377,3.85242
Ayan,18,1739352173133,0.85005,-0.41595,10.72905,-9.12292,2.91492,3.7894
Ayan,19,1739352173151,-0.13095,-0.069,9.04995,-8.49267,1.86713,3.01734
Ayan,20,1739352173162,-0.13095,-0.069,9.04995,-4.99476,0.53572,3.15915
Ayan,21,1739352173181,0.00195,-1.335,9.132,6.69644,0.11817,1.82774
Ayan,22,1739352173196,-0.906,-0.53295,9.48105,2.84402,-1.14233,3.36398
Ayan,23,1739352173215,-0.56895,-1.73505,8.38995,-2.89129,-0.8666,3.85242
Ayan,24,1739352173228,0.26805,-1.05795,9.17505,4.31724,-1.55988,3.15915
Ayan,25,1739352173241,0.26805,-1.05795,9.17505,-3.1749,0.74843,2.94644
Ayan,26,1739352173254,0.18,-2.037,10.911,-8.00422,1.58351,3.29307
Ayan,27,1739352173271,0.82395,-1.51995,9.51495,-5.62501,0.74843,3.7185
Ayan,28,1739352173285,-0.20505,-1.896,8.91405,5.0893,-0.72479,4.41965
Ayan,29,1739352173305,-1.02105,-0.59805,10.29795,9.635,0.95326,3.92333
Ayan,30,1739352173325,-0.38895,-1.62495,10.33905,-5.76682,3.75789,3.01734
Ayan,31,1739352173338,-0.38895,-1.62495,10.33905,-2.26103,2.07984,3.08824
Ayan,32,1739352173351,1.13295,-1.41405,11.21205,1.72532,3.68698,3.15915
Ayan,33,1739352173370,0.29895,-1.61805,10.15695,3.40337,-0.23635,2.66282
Ayan,34,1739352173382,-1.38,-1.81395,9.852,1.30778,0.60662,2.45799
Ayan,35,1739352173393,-1.38,-1.81395,9.852,3.40337,-6.95642,1.96954
Ayan,36,1739352173405,-0.92295,-2.70705,9.84105,14.88186,-2.54465,0.84296
Ayan,37,1739352173417,-0.92295,-2.70705,9.84105,13.55833,-6.74371,2.24528
Ayan,38,1739352173431,0.22995,-1.04595,9.252,4.80568,-7.30306,1.19748
Ayan,39,1739352173448,1.64505,0.16995,9.54795,8.16178,2.98583,1.40231
Ayan,40,1739352173462,0.855,-0.35895,10.48005,-3.45064,-3.31671,1.05567
Ayan,41,1739352173479,-0.04905,-0.94995,9.68295,-1.56776,1.58351,1.05567
Ayan,42,1739352173494,-0.04905,-0.94995,9.68295,-2.54465,3.40337,1.05567
