ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Lalit,1,1771340917177,-1.64063,7.49265,5.51744,25.27617,-28.48814,6.61468
Lalit,2,1771340917186,-1.58556,7.66025,3.44885,7.82012,-28.85435,9.72747
Lalit,3,1771340917194,-1.58556,7.66025,3.44885,-7.62176,-24.52085,9.78851
Lalit,4,1771340917202,-0.82181,7.77637,3.8391,-17.81462,-16.15905,7.53021
Lalit,5,1771340917213,-0.82181,7.77637,3.8391,-23.18571,-4.01306,3.92914
Lalit,6,1771340917220,-0.82181,7.77637,3.8391,-23.67399,1.78528,2.28119
Lalit,7,1771340917228,-0.46507,7.76679,5.30914,-21.72087,9.35363,-1.62506
Lalit,8,1771340917237,-0.46507,7.76679,5.30914,-19.88982,9.23156,-3.63922
Lalit,9,1771340917245,-0.73322,7.82425,6.03219,-16.96013,3.00598,-7.36236
Lalit,10,1771340917254,-0.73322,7.82425,6.03219,-14.6408,-0.41199,-8.46099
Lalit,11,1771340917262,-0.73322,7.82425,6.03219,-10.06316,-7.30895,-9.31548
Lalit,12,1771340917271,-1.18573,7.926,6.06092,-8.53729,-14.93834,-10.29205
Lalit,13,1771340917280,-1.18573,7.926,6.06092,-6.8283,-19.2108,-11.0855
Lalit,14,1771340917288,-1.3222,7.75721,5.74728,-6.40106,-19.88219,-11.20757
Lalit,15,1771340917296,-1.3222,7.75721,5.74728,-8.11004,-20.12633,-11.0855
Lalit,16,1771340917304,-1.48979,7.78235,5.5737,-9.57488,-15.79284,-9.98687
Lalit,17,1771340917312,-1.48979,7.78235,5.5737,-10.91765,-13.53454,-8.8272
Lalit,18,1771340917321,-1.48979,7.78235,5.5737,-13.6032,-8.9569,-5.83648
Lalit,19,1771340917329,-1.46346,7.49864,5.62278,-15.67839,-1.32751,-2.66266
Lalit,20,1771340917338,-1.46346,7.49864,5.62278,-16.59392,1.78528,-1.38092
Lalit,21,1771340917346,-1.62387,7.49385,5.85263,-15.43425,6.36291,1.97601
Lalit,22,1771340917355,-1.62387,7.49385,5.85263,-11.03973,7.27844,5.27191
Lalit,23,1771340917363,-1.62387,7.49385,5.85263,-9.14764,6.48498,6.3095
Lalit,24,1771340917371,-1.6526,7.74883,5.9867,-6.03485,2.33459,5.94329
Lalit,25,1771340917380,-1.6526,7.74883,5.9867,-5.11932,-6.02722,2.70843
Lalit,26,1771340917388,-0.97504,7.8039,5.6168,-5.85174,-10.54381,0.14496
Lalit,27,1771340917396,-0.97504,7.8039,5.6168,-9.69695,-17.37975,-5.65338
Lalit,28,1771340917404,-0.97504,7.8039,5.6168,-13.48113,-19.69908,-8.21685
Lalit,29,1771340917413,-0.73442,7.66145,5.08888,-21.17155,-22.44566,-11.32964
Lalit,30,1771340917425,-0.73442,7.66145,5.08888,-28.80094,-21.71324,-12.85552
Lalit,31,1771340917430,-0.9068,7.5561,5.3678,-33.19547,-15.79284,-12.42827
Lalit,32,1771340917437,-0.9068,7.5561,5.3678,-33.13444,-12.4359,-11.32964
Lalit,33,1771340917446,-1.29945,7.29394,6.76961,-30.50993,-5.72204,-7.91168
Lalit,34,1771340917456,-1.29945,7.29394,6.76961,-25.38298,2.7008,-3.45611
Lalit,35,1771340917463,-1.29945,7.29394,6.76961,-22.20915,5.14221,-0.89264
Lalit,36,1771340917470,-1.71604,7.19817,7.37294,-14.15252,6.30188,3.92914
Lalit,37,1771340917480,-1.71604,7.19817,7.37294,-10.36834,5.26428,6.06536
Lalit,38,1771340917488,-1.64781,7.25802,7.16465,-3.59344,-0.28992,8.99505
Lalit,39,1771340917497,-1.64781,7.25802,7.16465,2.63214,-5.78308,8.68987
Lalit,40,1771340917505,-1.64781,7.25802,7.16465,5.43975,-9.93346,7.53021
Lalit,41,1771340917513,-1.01215,7.25563,6.92164,8.67461,-15.7318,4.05121
Lalit,42,1771340917521,-1.01215,7.25563,6.92164,8.61358,-17.68492,0.87738
Lalit,43,1771340917530,-0.88406,7.17662,6.22014,6.66046,-16.22008,-0.8316
Lalit,44,1771340917538,-0.88406,7.17662,6.22014,1.04523,-13.59557,-4.3106
