ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
45,1,1771521194685,0.72305,7.10479,5.5342,-18.45549,8.81957,-0.66376
45,2,1771521194695,0.67756,6.99945,5.66947,-21.93449,12.96996,-0.41962
45,3,1771521194715,0.93374,7.08684,6.16986,-19.12688,18.21898,-0.84686
45,4,1771521194727,0.90261,7.52019,6.59842,-13.45061,21.0266,-1.51825
45,5,1771521194749,0.83797,7.25802,6.54575,-6.06536,22.91868,-5.30243
45,6,1771521194763,0.83797,7.25802,6.54575,-5.39398,20.66039,-6.03485
45,7,1771521194780,0.36152,7.08684,6.4009,-5.02777,16.57103,-4.93621
45,8,1771521194796,0.27773,7.17662,6.29555,-5.02777,12.96996,-4.87518
45,9,1771521194813,0.45011,7.20176,6.23929,-5.82122,10.34545,-5.54657
45,10,1771521194831,0.39145,7.1024,6.16028,-9.17815,8.20922,-7.31658
45,11,1771521194844,0.39145,7.1024,6.16028,-10.33782,7.2937,-7.49969
45,12,1771521194863,0.07542,6.77559,6.46794,-6.85882,10.22338,-5.54657
45,13,1771521194880,-0.20231,6.84742,6.84981,-0.20599,13.64135,-4.81414
45,14,1771521194896,0.08021,6.92762,7.03057,2.11334,10.16235,-7.49969
45,15,1771521194913,0.59616,6.5661,6.772,-1.91498,7.11059,-11.95525
45,16,1771521194925,0.73502,6.24288,6.78158,-5.14984,6.19506,-16.16668
45,17,1771521194944,0.73502,6.24288,6.78158,-1.79291,6.4392,-17.20427
45,18,1771521194963,0.14724,6.65109,7.2245,8.6441,5.58471,-16.71599
45,19,1771521194977,-0.07183,6.91565,6.87375,11.02447,9.24682,-15.25115
45,20,1771521194990,-0.50637,6.9384,6.17105,7.78961,16.08275,-11.46697
45,21,1771521195010,-0.73143,6.77679,6.87136,12.67241,20.35521,-6.34002
45,22,1771521195023,-0.73143,6.77679,6.87136,22.13286,26.88597,-5.91278
45,23,1771521195042,-0.19872,6.54575,7.37893,39.95511,42.14474,-3.89862
45,24,1771521195060,-0.70509,7.6375,7.26161,46.05862,39.76437,1.77765
45,25,1771521195075,-0.85473,7.69018,6.58765,43.67825,44.09787,7.82012
45,26,1771521195093,-0.84874,7.06529,6.33506,37.39164,58.56319,11.90948
45,27,1771521195110,-2.10211,8.44315,9.69053,57.77736,24.99388,27.41239
45,28,1771521195126,-1.34195,8.74003,9.35534,80.36035,12.90893,34.12626
45,29,1771521195144,-1.34195,8.74003,9.35534,93.54394,-13.64135,37.60526
45,30,1771521195159,-1.09535,8.06008,9.44752,111.12205,-45.2499,39.55838
45,31,1771521195176,0.11612,7.54533,8.48266,118.32419,-69.84706,32.60038
45,32,1771521195193,1.99796,6.78756,6.17824,122.16941,-85.59412,7.02667
45,33,1771521195212,3.53504,5.48871,4.1276,121.25388,-83.21375,-37.89517
45,34,1771521195224,3.53504,5.48871,4.1276,117.2866,-82.60339,-58.34194
45,35,1771521195239,3.61644,6.16028,2.891,108.37547,-65.8874,-78.54456
45,36,1771521195257,1.90339,7.66025,0.93853,79.13966,-45.73819,-87.51672
45,37,1771521195273,-0.50278,9.02614,0.26815,50.81936,-53.36757,-78.91077
45,38,1771521195291,-3.11366,9.77553,1.12168,35.62162,-23.89525,-53.45913
45,39,1771521195304,-3.11366,9.77553,1.12168,39.03958,17.54759,-35.20963
45,40,1771521195324,-2.1895,10.02332,1.75734,34.40091,29.02219,-27.76335
45,41,1771521195340,-0.2047,9.84615,2.83114,31.41019,34.57639,-31.18131
45,42,1771521195358,0.12091,8.94474,3.16753,28.35844,16.51,-38.07828
45,43,1771521195371,-0.05986,8.77834,3.14838,24.6353,-3.63159,-44.05972
45,44,1771521195387,-1.1169,9.32182,3.1783,21.52251,-25.23802,-44.24283
45,45,1771521195403,-1.1169,9.32182,3.1783,21.94975,-47.99648,-45.09732
45,46,1771521195423,-1.77291,9.93953,3.58771,33.42435,-83.94617,-34.59928
45,47,1771521195438,-2.77009,9.54089,3.73376,34.52298,-83.70965,-25.87126
45,48,1771521195453,-1.70826,9.40682,2.14042,34.33988,-73.02088,-21.17155
45,49,1771521195470,-1.22823,9.02853,2.80241,38.30716,-76.13367,-20.86638
45,50,1771521195490,-1.84713,9.21648,2.80361,38.42923,-69.79365,-15.67839
45,51,1771521195506,-1.84713,9.21648,2.80361,38.30716,-50.37686,-5.97381
45,52,1771521195523,-1.488,9.64863,1.8579,32.814,-36.0336,-2.73895
45,53,1771521195536,-0.00239,9.5373,0.96127,15.35796,-31.82981,-3.53241
45,54,1771521195554,1.06422,9.07163,0.63925,-1.79291,-12.72582,-3.53241
45,55,1771521195572,1.17675,10.16817,1.22823,-23.03312,12.48168,4.28009
45,56,1771521195589,1.31801,11.315,1.28329,-40.48917,44.40304,16.91436
45,57,1771521195605,1.31801,11.315,1.28329,-46.71475,46.78341,11.54327
45,58,1771521195623,3.51948,11.42752,3.08852,-37.62052,27.9846,-21.17155
45,59,1771521195640,5.48152,10.90918,4.19823,-19.24895,8.81957,-49.98013
45,60,1771521195656,5.77841,10.0772,5.48152,10.10894,-17.79173,-76.77454
45,61,1771521195672,4.86741,10.39802,6.82347,62.29396,-75.22577,-108.20762
45,62,1771521195690,2.26491,9.76715,5.29957,86.03662,-85.34998,-129.26472
45,63,1771521195704,2.26491,9.76715,5.29957,98.73192,-100.48668,-125.11436
45,64,1771521195722,-1.58736,10.09515,5.04578,138.89304,-177.39091,-124.56503
45,65,1771521195738,-2.56898,9.48463,4.50589,149.26898,-198.20389,-124.07675
45,66,1771521195756,-3.37343,8.49343,2.80002,152.19867,-203.88016,-125.35849
45,67,1771521195769,-4.18985,7.47589,2.32118,151.89351,-205.10086,-127.31161
45,68,1771521195784,-4.18985,7.47589,2.32118,147.07173,-198.44803,-132.07234
45,69,1771521195803,-5.03261,6.10282,1.64601,143.7148,-182.51787,-129.32576
45,70,1771521195819,-7.16704,5.23851,1.13365,135.96335,-181.72441,-115.89805
45,71,1771521195835,-9.47266,5.31513,0.04429,117.71384,-173.48468,-100.94444
45,72,1771521195854,-10.3633,5.17267,-0.04669,91.40771,-154.38069,-77.14075
45,73,1771521195871,-9.92875,4.67109,-0.69073,65.89503,-113.12095,-54.98501
45,74,1771521195887,-8.40844,4.60884,-0.59975,31.65434,-71.67811,-30.63199
