ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Yogesh ,1,1771516182331,-5.75806,4.10366,6.94797,-41.16,10.92,-38.255
Yogesh ,2,1771516182335,-5.75806,4.10366,6.94797,-44.66,6.615,-43.4
Yogesh ,3,1771516182350,-6.1531,3.27766,6.50265,-54.425,-8.225,-46.445
Yogesh ,4,1771516182367,-6.33745,2.63123,6.49068,-67.235,-33.53,-37.17
Yogesh ,5,1771516182383,-6.57208,2.82755,7.81707,-65.8,-52.815,-18.655
Yogesh ,6,1771516182400,-5.64792,2.66475,8.93516,-51.135,-61.985,0.07
Yogesh ,7,1771516182418,-5.64792,2.66475,8.93516,-22.575,-59.115,5.81
Yogesh ,8,1771516182436,-4.28083,2.31519,9.19613,0.7,-49.14,-0.21
Yogesh ,9,1771516182454,-4.34787,2.54025,8.27436,14.945,-28.805,-7.525
Yogesh ,10,1771516182469,-5.22654,2.73418,6.96713,11.06,-31.15,-3.5
Yogesh ,11,1771516182486,-6.1124,3.04064,6.93121,7.525,-49,3.955
Yogesh ,12,1771516182503,-5.14753,2.92332,7.57765,8.61,-68.81001,4.165
Yogesh ,13,1771516182520,-5.14753,2.92332,7.57765,7.805,-84,-1.295
Yogesh ,14,1771516182535,-4.66151,3.0981,7.59441,-5.355,-91.91,-5.25
Yogesh ,15,1771516182551,-5.07331,2.85628,7.7213,-31.99,-59.955,4.06
Yogesh ,16,1771516182567,-5.00628,2.12366,8.39886,-50.33,-42.315,19.46
Yogesh ,17,1771516182585,-4.5011,1.66636,7.29992,-84.105,-36.015,33.145
Yogesh ,18,1771516182601,-4.82671,1.11091,6.77559,-128.38,-51.94,49.035
Yogesh ,19,1771516182619,-4.82671,1.11091,6.77559,-166.88,-62.86,70.14
Yogesh ,20,1771516182635,-5.02304,1.97043,8.27197,-184.31,-84.56001,99.47
Yogesh ,21,1771516182652,-2.85628,1.86508,10.12268,-155.75,-119.315,112.735
Yogesh ,22,1771516182668,-2.50433,2.55222,11.28148,-99.19,-83.125,108.92001
Yogesh ,23,1771516182685,-2.13323,2.49715,11.79384,-39.865,-25.445,99.785
Yogesh ,24,1771516182702,-2.15478,1.37427,10.95826,17.29,17.78,80.885
Yogesh ,25,1771516182719,-2.15478,1.37427,10.95826,52.99,4.375,58.345
Yogesh ,26,1771516182736,-3.07416,0.34716,9.03572,66.325,-68.775,30.695
Yogesh ,27,1771516182752,-3.91452,1.18274,8.91601,77.42001,-149.205,6.72
Yogesh ,28,1771516182768,-3.59609,2.14042,11.57118,103.985,-101.43,-1.855
Yogesh ,29,1771516182785,-1.62327,1.28808,9.7444,113.47,-92.61,-11.76
Yogesh ,30,1771516182802,-1.01993,1.27132,8.96868,114.76501,-85.155,-7.14
Yogesh ,31,1771516182818,-1.01993,1.27132,8.96868,107.06499,-79.065,4.34
Yogesh ,32,1771516182835,0.41659,1.01754,8.34619,101.15,-68.67,16.625
