ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Yogesh ,1,1771506782265,-2.40378,4.38378,7.44118,-29.155,-11.165,-40.81
Yogesh ,2,1771506782268,-2.04225,4.39336,7.77876,-29.155,-11.165,-40.81
Yogesh ,3,1771506782280,-2.04225,4.39336,7.77876,-49.14,-4.9,-49.35
Yogesh ,4,1771506782296,-2.33914,4.28562,8.37731,-61.67,-2.905,-51.555
Yogesh ,5,1771506782314,-1.93451,3.76608,9.48343,-60.9,-2.59,-51.1
Yogesh ,6,1771506782331,-2.58574,3.41653,9.67257,-49.595,-8.4,-48.58
Yogesh ,7,1771506782348,-3.25372,3.64876,9.01417,-36.4,-20.79,-42
Yogesh ,8,1771506782365,-3.25372,3.64876,9.01417,-31.675,-28.175,-33.355
Yogesh ,9,1771506782382,-2.82037,3.87621,9.03572,-30.1,-27.65,-26.04
Yogesh ,10,1771506782397,-1.92733,3.7158,9.55765,-25.06,-21.07,-29.05
Yogesh ,11,1771506782414,-1.53468,3.5099,10.23761,-13.51,-14.035,-32.655
Yogesh ,12,1771506782431,-2.05901,3.1795,10.11311,1.54,2.695,-32.235
Yogesh ,13,1771506782449,-2.6839,2.9736,9.22007,11.76,15.96,-25.06
Yogesh ,14,1771506782464,-3.06937,3.23217,8.1762,13.23,16.695,-16.87
Yogesh ,15,1771506782481,-3.06937,3.23217,8.1762,7.735,10.255,-10.465
Yogesh ,16,1771506782497,-3.16513,4.05578,8.01579,0.42,-1.855,-12.04
Yogesh ,17,1771506782514,-2.37744,4.07014,8.69813,-2.31,-10.745,-20.37
Yogesh ,18,1771506782532,-2.02071,3.54581,9.59596,-1.75,-16.45,-31.395
Yogesh ,19,1771506782548,-2.75812,3.28484,9.7875,-4.69,-14.175,-38.22
Yogesh ,20,1771506782565,-3.22978,3.03824,10.20409,-11.025,-15.645,-34.965
Yogesh ,21,1771506782581,-3.22978,3.03824,10.20409,-14.42,-19.53,-30.345
Yogesh ,22,1771506782599,-2.93769,2.727,10.49618,-15.47,-22.75,-26.81
Yogesh ,23,1771506782615,-2.40617,2.69348,10.47942,-15.19,-21.63,-25.06
Yogesh ,24,1771506782632,-2.17872,2.45406,10.30943,-14.385,-17.78,-23.695
Yogesh ,25,1771506782648,-2.29604,2.15718,10.37168,-11.27,-14.385,-19.32
Yogesh ,26,1771506782664,-2.29604,2.15718,10.37168,-2.66,-9.065,-8.155
Yogesh ,27,1771506782680,-2.19788,2.16675,10.18015,6.93,-9.17,3.045
Yogesh ,28,1771506782699,-1.78607,2.41336,9.64145,17.01,-15.61,12.915
Yogesh ,29,1771506782714,-1.51792,2.80122,9.01178,23.135,-26.25,19.425
Yogesh ,30,1771506782731,-1.07978,2.86347,8.5042,26.18,-35.805,23.345
Yogesh ,31,1771506782746,-0.89543,2.65517,8.29351,27.37,-44.065,28.595
Yogesh ,32,1771506782763,-0.89543,2.65517,8.29351,27.16,-44.695,38.64
Yogesh ,33,1771506782779,-0.58179,2.87065,8.04452,28.21,-41.055,48.335
Yogesh ,34,1771506782796,0.19154,3.05021,7.45076,28.84,-41.265,53.585
Yogesh ,35,1771506782813,0.93374,3.28245,7.21612,28.42,-46.13,49.21
Yogesh ,36,1771506782829,1.85551,3.50272,7.64947,26.25,-45.815,37.52
Yogesh ,37,1771506782846,1.7765,3.76608,7.9703,19.81,-40.565,21.42
Yogesh ,38,1771506782863,1.7765,3.76608,7.9703,12.46,-38.71,8.26
Yogesh ,39,1771506782879,1.06781,3.82833,8.68138,9.275,-32.305,-0.77
Yogesh ,40,1771506782896,0.14605,3.52187,9.7037,10.71,-26.53,-3.92
Yogesh ,41,1771506782913,-0.50757,3.47399,10.16339,11.585,-20.86,-4.935
Yogesh ,42,1771506782930,-0.46448,3.57454,10.72363,14.245,-13.58,-6.685
Yogesh ,43,1771506782946,-1.31681,3.14598,10.45548,11.165,-11.76,-5.53
Yogesh ,44,1771506782963,-1.31681,3.14598,10.45548,2.905,8.785,3.78
Yogesh ,45,1771506782979,-0.60573,4.23534,10.31422,2.835,6.93,6.37
Yogesh ,46,1771506782996,-0.64643,4.6256,9.56962,-2.52,-33.425,-10.045
Yogesh ,47,1771506783014,-1.57299,4.90572,8.3007,-19.67,-56.385,-11.06
Yogesh ,48,1771506783030,-1.18274,4.05817,8.28394,-43.05,-58.52,6.02
