ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Yogesh ,1,1771510436615,-0.63925,6.34942,9.78271,33.81,5.25,4.48
Yogesh ,2,1771510436633,-0.69911,6.2776,6.54096,25.48,-12.215,3.5
Yogesh ,3,1771510436650,-0.91698,6.61997,4.5849,7.945,-36.295,5.985
Yogesh ,4,1771510436667,-0.89543,6.01902,4.56814,-13.965,-59.36,8.505
Yogesh ,5,1771510436683,-0.89543,6.01902,4.56814,-36.4,-62.72,8.61
Yogesh ,6,1771510436699,0.15083,5.34146,6.17465,-47.915,-46.865,2.135
Yogesh ,7,1771510436716,0.21787,4.9943,8.11874,-52.255,-19.215,-5.985
Yogesh ,8,1771510436734,-0.1652,4.35026,9.1267,-50.19,4.795,-8.995
Yogesh ,9,1771510436759,-0.87388,4.12521,9.72764,-33.53,12.075,-3.57
Yogesh ,10,1771510436776,-1.07021,4.44124,9.92397,-13.685,5.95,7.525
Yogesh ,11,1771510436792,-0.29688,4.9536,9.45231,2.485,-1.26,13.44
Yogesh ,12,1771510436809,0.26336,5.48512,8.74362,19.845,-8.855,12.215
Yogesh ,13,1771510436822,0.26336,5.48512,8.74362,23.065,-9.555,11.305
Yogesh ,14,1771510436839,0.70629,5.51145,8.03015,26.04,-9.59,8.26
Yogesh ,15,1771510436856,0.74939,5.4109,7.24007,25.27,-9.03,3.955
Yogesh ,16,1771510436872,0.69192,5.31034,6.48829,19.355,-6.615,-0.14
Yogesh ,17,1771510436889,0.69192,5.31034,6.48829,5.32,0.035,-4.095
Yogesh ,18,1771510436906,0.48123,4.94642,6.36139,-10.85,8.855,-9.625
Yogesh ,19,1771510436923,0.20351,5.18345,6.8139,-17.885,10.64,-10.22
Yogesh ,20,1771510436938,0.03591,5.04458,7.53455,-24.99,15.12,-12.53
Yogesh ,21,1771510436958,-0.25618,5.19302,8.51139,-27.23,16.87,-12.74
Yogesh ,22,1771510436973,-0.47166,5.18345,9.2895,-25.865,18.795,-10.255
Yogesh ,23,1771510436990,-0.71587,5.71017,9.87129,-21.35,19.145,-9.52
Yogesh ,24,1771510437007,-0.71587,5.71017,9.87129,-15.505,13.685,-6.58
Yogesh ,25,1771510437023,-0.31843,6.35661,10.22803,-8.855,4.305,-6.58
Yogesh ,26,1771510437043,0.06943,6.3183,10.1562,-0.245,0.21,-8.61
Yogesh ,27,1771510437059,0.27533,5.84425,9.75877,5.145,-0.035,-12.32
Yogesh ,28,1771510437077,-0.26576,5.20021,8.9615,6.545,0.945,-12.985
Yogesh ,29,1771510437092,-0.47166,4.55377,8.08282,4.165,2.135,-11.025
Yogesh ,30,1771510437109,-0.48123,4.33351,7.64229,-1.4,3.71,-7.455
Yogesh ,31,1771510437125,-0.48123,4.33351,7.64229,-6.02,2.24,-2.52
Yogesh ,32,1771510437142,-0.3735,4.15873,7.64947,-5.285,-1.575,2.345
Yogesh ,33,1771510437159,-0.07901,4.03184,7.55131,0.175,-5.355,6.09
Yogesh ,34,1771510437175,0.01197,4.56095,7.28556,3.22,-13.16,4.585
Yogesh ,35,1771510437192,0.27294,5.04219,7.38851,0.42,-16.38,3.255
Yogesh ,36,1771510437206,0.27294,5.04219,7.38851,-6.125,-12.775,-0.735
Yogesh ,37,1771510437224,0.52912,5.782,7.95833,-12.11,-6.51,-6.895
Yogesh ,38,1771510437239,0.43814,5.94241,8.69574,-17.325,1.645,-12.285
Yogesh ,39,1771510437257,0.00958,5.03261,9.18416,-10.92,15.365,-10.78
Yogesh ,40,1771510437274,-0.47166,4.24492,8.82024,-3.325,19.81,-6.44
Yogesh ,41,1771510437290,-0.70868,3.5913,7.75961,4.2,18.305,-1.61
Yogesh ,42,1771510437307,-0.70868,3.5913,7.75961,6.685,12.25,0.595
Yogesh ,43,1771510437323,-0.60813,3.33991,6.90967,5.74,4.97,-0.595
Yogesh ,44,1771510437340,-0.39025,3.96001,6.57208,1.785,3.71,-3.465
Yogesh ,45,1771510437357,-0.11013,4.79798,7.30471,0.175,1.75,-7.315
Yogesh ,46,1771510437373,0.03112,5.58567,8.34619,3.01,-1.995,-12.075
