ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
chahit,1,1771518120144,-0.1669,0.39182,8.77927,15.46122,-0.0105,36.26511
chahit,2,1771518120151,-0.11844,0.68195,9.88774,17.72845,-8.98493,35.30294
chahit,3,1771518120162,-0.11844,0.68195,9.88774,18.99501,-12.02539,34.40375
chahit,4,1771518120171,-0.17408,0.48275,10.20599,18.24977,-10.67835,32.56338
chahit,5,1771518120183,-0.17408,0.48275,10.20599,11.36762,0.007,25.25088
chahit,6,1771518120193,-0.67896,0.13101,8.85105,7.28101,6.23487,20.64995
chahit,7,1771518120206,-0.67896,0.13101,8.85105,0.03149,8.32016,16.15398
chahit,8,1771518120215,-0.68614,-0.19442,8.34138,-0.014,6.86116,11.81197
chahit,9,1771518120227,-0.02991,-0.06999,9.14297,-0.04898,0.014,7.94929
chahit,10,1771518120239,-0.02991,-0.06999,9.14297,-8.17321,-7.63089,0.04898
chahit,11,1771518120250,0.60658,0.4349,10.05045,-9.11439,-15.37375,0.03149
chahit,12,1771518120264,0.60658,0.4349,10.05045,-0.05248,-22.37486,0.04548
chahit,13,1771518120271,0.78365,0.96191,10.85504,-0.05248,-22.37486,0.04548
chahit,14,1771518120283,0.78365,0.96191,10.85504,0.02449,-25.14941,8.2082
chahit,15,1771518120294,0.17827,0.90688,10.94357,0.05948,-26.62591,11.15069
chahit,16,1771518120305,-0.94696,0.47079,10.04567,9.41529,-24.56161,14.03021
chahit,17,1771518120316,-0.94696,0.47079,10.04567,11.04923,-19.80674,15.13583
chahit,18,1771518120327,-1.66062,0.00658,9.11187,11.1297,-11.53906,15.28628
chahit,19,1771518120338,-1.66062,0.00658,9.11187,10.43694,0.0105,15.68164
chahit,20,1771518120349,-1.2347,-0.06281,9.17408,7.68687,11.9974,14.646
chahit,21,1771518120361,-1.2347,-0.06281,9.17408,0.03849,19.23993,12.8896
chahit,22,1771518120371,-0.7005,0.23629,9.74656,0.0035,23.442,11.04923
chahit,23,1771518120383,-0.7005,0.23629,9.74656,-0.04199,24.50913,9.86313
chahit,24,1771518120394,-0.53539,0.39422,10.31666,-0.05248,23.64493,10.30048
chahit,25,1771518120405,-1.11206,0.466,9.99542,-0.04898,22.58479,11.7105
chahit,26,1771518120415,-1.11206,0.466,9.99542,-0.03849,19.95718,13.19749
chahit,27,1771518120427,-0.42532,0.0329,9.04248,-0.02449,16.6893,14.3521
chahit,28,1771518120438,-0.42532,0.0329,9.04248,-0.0105,13.59286,15.62916
chahit,29,1771518120449,-0.22193,0.00179,9.42593,0.007,11.96242,16.91323
chahit,30,1771518120466,0.10648,-0.18724,10.16292,-0.0105,12.15485,16.15748
chahit,31,1771518120473,0.10648,-0.18724,10.16292,-0.04199,12.78114,14.17366
chahit,32,1771518120483,0.35055,-0.0676,10.77129,-7.50844,13.51239,12.26681
chahit,33,1771518120494,0.35055,-0.0676,10.77129,-10.98975,12.94908,9.9436
chahit,34,1771518120505,0.15912,-0.26381,11.13979,-14.99588,8.89396,6.85066
chahit,35,1771518120521,0.15912,-0.26381,11.13979,-19.00901,0.04898,0.04199
chahit,36,1771518120529,-0.41575,-0.61854,10.71865,-21.85004,0.0035,0.02799
chahit,37,1771518120539,-0.41575,-0.61854,10.71865,-23.86535,-0.03849,0.02099
chahit,38,1771518120553,-0.75793,-0.79322,10.62054,-25.29636,-8.13472,0.02099
chahit,39,1771518120565,3.54676,-0.88893,8.14696,-26.44047,-19.53033,0.0105
chahit,40,1771518120576,3.54676,-0.88893,8.14696,-22.51481,-43.01081,0.03849
chahit,41,1771518120587,-0.16211,0.52403,8.86062,-18.32674,-42.73441,7.27052
chahit,42,1771518120598,-0.16211,0.52403,8.86062,-15.69564,-46.05827,8.70153
chahit,43,1771518120612,0.67358,0.42772,9.36132,-13.94624,-48.47245,9.40829
chahit,44,1771518120627,0.24526,0.89252,8.98983,-0.04548,-48.00711,15.54169
chahit,45,1771518120637,0.24526,0.89252,8.98983,-0.007,-47.42281,18.1588
chahit,46,1771518120642,0.62333,0.43729,9.68914,0.01749,-48.47594,19.35189
chahit,47,1771518120650,0.62333,0.43729,9.68914,0.01749,-48.47594,19.35189
chahit,48,1771518120661,0.60419,-0.65922,11.26182,0.03849,-41.8912,20.503
chahit,49,1771518120673,0.60419,-0.65922,11.26182,0.02449,-24.78204,18.36873
chahit,50,1771518120683,0.28834,-0.65444,12.13101,0.0035,-24.37967,15.45772
chahit,51,1771518120694,0.28834,-0.65444,12.13101,0.0035,-18.28126,14.53054
chahit,52,1771518120705,-0.20758,-0.03649,11.88694,0.014,-11.22417,14.84893
chahit,53,1771518120716,-0.20758,-0.03649,11.88694,0.02799,-6.61274,15.07635
chahit,54,1771518120727,-0.56411,0.59821,10.61097,0.04199,-0.04548,15.43673
chahit,55,1771518120739,-0.92064,1.20838,9.04008,8.06824,-0.02449,17.39956
chahit,56,1771518120750,-0.92064,1.20838,9.04008,13.71532,0.014,19.9082
chahit,57,1771518120761,-0.4014,0.60538,8.31984,20.61846,11.25566,23.20408
chahit,58,1771518120773,-0.4014,0.60538,8.31984,25.85267,24.32719,23.27755
chahit,59,1771518120785,1.07139,-0.02453,8.87019,25.01996,20.38054,20.45751
chahit,60,1771518120795,1.07139,-0.02453,8.87019,24.41816,22.22441,18.19728
chahit,61,1771518120806,-0.0323,0.10947,9.71307,22.65476,20.92985,15.24779
chahit,62,1771518120817,-0.0323,0.10947,9.71307,17.36457,17.51152,9.6742
chahit,63,1771518120828,1.02832,0.00419,9.29193,10.34597,15.63966,0.03149
chahit,64,1771518120840,0.23809,-0.1011,9.41157,0.02799,15.70963,-0.03849
chahit,65,1771518120850,0.23809,-0.1011,9.41157,-0.04548,17.12665,-10.69235
chahit,66,1771518120861,0.48933,-0.59222,10.5344,-11.28715,9.74067,-16.29743
chahit,67,1771518120873,0.48933,-0.59222,10.5344,-9.47826,-0.007,-15.06236
chahit,68,1771518120884,0.49651,-0.1681,11.31506,-6.85066,0.0105,-12.39627
chahit,69,1771518120895,0.49651,-0.1681,11.31506,-0.05948,-0.05248,-11.15419
chahit,70,1771518120906,0.95175,0.14536,9.89971,-0.03849,-10.03107,-8.90446
chahit,71,1771518120917,0.9326,0.40379,9.71067,-0.007,-12.57471,-0.05598
chahit,72,1771518120928,0.9326,0.40379,9.71067,0.0035,-14.54103,-0.04199
chahit,73,1771518120939,-0.13101,-0.0341,10.33819,-0.014,-17.31559,-0.04548
chahit,74,1771518120951,-0.13101,-0.0341,10.33819,-0.04199,-21.04881,-0.05248
chahit,75,1771518120961,-0.58804,-0.80279,10.70669,-8.23269,-21.14328,-6.32234
chahit,76,1771518120974,-0.58804,-0.80279,10.70669,-16.26245,-16.31493,-8.21519
chahit,77,1771518120985,0.57308,-0.45763,9.88774,-18.13781,-15.60467,-7.54692
chahit,78,1771518120995,0.54915,-0.19442,8.98983,-19.74376,-16.75228,-6.97662
chahit,79,1771518121006,0.54915,-0.19442,8.98983,-21.15028,-12.14085,-6.75619
chahit,80,1771518121017,0.22612,0.10469,8.81037,-20.88787,-0.03149,-0.05248
chahit,81,1771518121028,0.22612,0.10469,8.81037,-19.37988,0.014,-0.02449
chahit,82,1771518121039,0.54915,0.17169,8.94676,-16.05602,0.03149,0.02099
chahit,83,1771518121051,0.54915,0.17169,8.94676,-9.97159,0.03849,8.2082
chahit,84,1771518121062,0.58505,-0.06042,9.97388,0.01749,0.0105,18.65213
chahit,85,1771518121074,0.32183,-0.81476,11.48974,0.01749,-0.02799,18.91454
chahit,86,1771518121085,0.32183,-0.81476,11.48974,0.0035,-0.007,17.04618
chahit,87,1771518121095,0.36491,-0.88893,10.74258,-0.0105,0.05248,15.39474
chahit,88,1771518121106,0.36491,-0.88893,10.74258,-0.03849,6.36433,12.27031
chahit,89,1771518121117,0.71186,-0.12263,9.54078,-7.0291,0.04199,8.1977
chahit,90,1771518121128,0.71186,-0.12263,9.54078,-7.83033,0.03149,0.05598
chahit,91,1771518121139,0.53958,-0.28295,9.87578,-8.85548,0.02449,0.02449
chahit,92,1771518121151,0.53958,-0.28295,9.87578,-11.16819,0.014,-0.01749
chahit,93,1771518121162,0.52762,-0.20877,10.1007,-11.07372,-0.04548,-6.78418
chahit,94,1771518121173,0.52762,-0.38824,9.72264,-8.98143,-0.05598,-7.3195
chahit,95,1771518121185,0.52762,-0.38824,9.72264,-6.98012,-0.05248,-7.21454
chahit,96,1771518121196,0.59701,0.05683,8.61655,-0.03149,-6.91014,-0.05598
chahit,97,1771518121207,0.59701,0.05683,8.61655,0.0035,-9.42228,-0.03499
chahit,98,1771518121218,0.49412,-0.09392,9.21237,0.02799,-11.15769,-0.01749
chahit,99,1771518121229,0.49412,-0.09392,9.21237,0.02449,-12.13736,-0.02099
chahit,100,1771518121240,0.62094,-0.14417,10.17967,0.02799,-9.31732,-0.02099
chahit,101,1771518121251,0.62094,-0.14417,10.17967,0.02099,-8.2012,-0.02799
chahit,102,1771518121262,0.08734,-0.28774,9.68914,-0.02449,0.02099,-6.7457
chahit,103,1771518121274,0.09691,-0.26142,9.94517,-0.02099,0.03149,-6.66522
chahit,104,1771518121285,0.09691,-0.26142,9.94517,-0.0035,0.02799,-0.04548
chahit,105,1771518121296,0.20459,-0.40499,9.70589,0.0035,0,-0.03499
chahit,106,1771518121306,0.20459,-0.40499,9.70589,0.0035,0.02099,-0.02799
chahit,107,1771518121317,0.31705,-0.69511,9.79442,-0.007,0.04548,-0.02449
chahit,108,1771518121329,0.31705,-0.69511,9.79442,-0.007,0.04898,-0.01749
chahit,109,1771518121340,0.65444,-0.24227,9.72024,0.0035,0.04199,0.0035
