ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
yogesh ,1,1771424093012,-2.35695,3.79005,11.64,30.37034,-2.49738,9.57198
yogesh ,2,1771424093023,-2.71095,2.59605,7.82805,33.36405,-13.29047,17.37924
yogesh ,3,1771424093034,-2.71095,2.59605,7.82805,29.63767,-23.1697,25.43073
yogesh ,4,1771424093045,-0.34605,4.05105,5.7,21.64921,-32.25323,26.28157
yogesh ,5,1771424093057,-0.34605,4.05105,5.7,5.37291,-41.21858,10.4307
yogesh ,6,1771424093073,1.341,5.478,7.51005,-8.5872,-36.39714,-13.66075
yogesh ,7,1771424093082,1.341,5.478,7.51005,-11.88028,-32.12717,-20.24689
yogesh ,8,1771424093093,0.027,4.497,9.894,-15.36243,-17.00897,-30.91394
yogesh ,9,1771424093104,-1.545,2.52405,10.02105,-13.83407,-6.4601,-30.0631
yogesh ,10,1771424093115,-1.545,2.52405,10.02105,-12.85717,2.74948,-26.39975
yogesh ,11,1771424093125,-2.46705,2.71095,9.47805,-14.87398,9.39078,-22.9885
yogesh ,12,1771424093138,-2.46705,2.71095,9.47805,-20.48324,12.9911,-18.53733
yogesh ,13,1771424093149,-3.38895,2.871,10.098,-21.39711,12.62871,-15.42546
yogesh ,14,1771424093160,-3.38895,2.871,10.098,-16.4575,10.00527,-11.88816
yogesh ,15,1771424093170,-2.56695,2.47095,10.33995,-5.72743,5.30989,-9.39078
yogesh ,16,1771424093181,-2.56695,2.47095,10.33995,6.04256,-0.66964,-8.90233
yogesh ,17,1771424093192,-2.15595,3.07695,9.138,12.9911,-7.92544,-9.75317
yogesh ,18,1771424093205,-2.87595,3.57,8.45805,10.49372,-15.72483,-9.635
yogesh ,19,1771424093217,-2.87595,3.57,8.45805,2.56828,-16.03207,-7.50002
yogesh ,20,1771424093226,-2.88795,2.802,9.36,-4.81356,-12.3766,-3.04885
yogesh ,21,1771424093238,-2.88795,2.802,9.36,-8.65023,-4.81356,2.93068
yogesh ,22,1771424093246,-2.02605,2.742,10.43295,-8.35086,-2.9228,3.60032
yogesh ,23,1771424093260,-2.02605,2.742,10.43295,-2.97795,-0.66964,4.51419
yogesh ,24,1771424093271,-1.36995,2.481,10.167,2.68646,0.24422,3.29307
yogesh ,25,1771424093281,-1.36995,2.481,10.167,7.38184,-2.19013,0.37027
yogesh ,26,1771424093292,-0.822,1.97805,7.902,8.60296,-9.44593,-4.45117
yogesh ,27,1771424093305,-0.954,2.08095,6.885,3.7894,-14.32251,-8.47691
yogesh ,28,1771424093314,-0.954,2.08095,6.885,-4.01787,-17.31622,-12.13238
yogesh ,29,1771424093327,-1.49205,2.514,9.336,-8.40601,-17.67861,-13.59772
yogesh ,30,1771424093339,-1.49205,2.514,9.336,-0.78782,-13.71589,-13.10927
yogesh ,31,1771424093348,-1.389,2.51895,10.44495,11.71484,-13.40864,-12.25843
yogesh ,32,1771424093360,-1.389,2.51895,10.44495,24.39869,-15.29941,-10.66704
yogesh ,33,1771424093370,-1.51395,2.87805,8.364,32.32413,-20.05782,-9.39078
yogesh ,34,1771424093383,-1.51395,2.87805,8.364,31.10301,-28.04628,-9.57198
yogesh ,35,1771424093393,-1.72905,4.04205,7.05,23.17758,-28.10931,-10.79309
yogesh ,36,1771424093405,-1.887,4.173,8.14905,13.11715,-23.95751,-11.70696
yogesh ,37,1771424093416,-1.887,4.173,8.14905,5.12869,-15.96905,-11.82513
yogesh ,38,1771424093425,-1.60695,3.44295,9.13995,0.31513,-5.90863,-11.28154
yogesh ,39,1771424093437,-1.60695,3.44295,9.13995,-0.78782,6.77523,-11.39971
yogesh ,40,1771424093449,-1.377,4.2,10.03605,0.2521,10.2495,-13.3535
yogesh ,41,1771424093460,-1.377,4.2,10.03605,1.22899,13.29835,-17.56044
yogesh ,42,1771424093470,-1.43295,4.18095,10.356,3.72637,14.88186,-21.21591
yogesh ,43,1771424093484,-1.773,2.23905,8.31405,12.20328,12.01421,-20.72746
yogesh ,44,1771424093492,-1.773,2.23905,8.31405,15.79573,4.08877,-18.65551
yogesh ,45,1771424093504,-1.866,2.016,6.351,12.56568,-4.26209,-18.53733
yogesh ,46,1771424093516,-1.866,2.016,6.351,-0.3624,-7.86241,-19.6324
