ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Ayan,1,1771327104874,-2.40795,0.276,10.99095,-14.82672,-0.81933,14.87398
Ayan,2,1771327104884,-3.297,0.52905,9.94305,-11.65181,-18.45855,24.09144
Ayan,3,1771327104895,-3.297,0.52905,9.94305,-10.91914,-29.13347,30.86667
Ayan,4,1771327104903,-1.704,0.63495,8.88405,-13.18018,-33.71069,33.1277
Ayan,5,1771327104920,-0.057,0.73005,9.45195,-15.62241,-33.10407,25.61981
Ayan,6,1771327104938,-0.057,0.73005,9.45195,-12.14026,-33.22224,15.54363
Ayan,7,1771327104956,-0.12195,0.82095,10.074,-3.47427,-38.35093,9.2017
Ayan,8,1771327104970,-1.056,0.70395,10.30905,1.40231,-42.19548,9.69015
Ayan,9,1771327104986,-1.52505,0.60405,9.93495,7.01945,-48.90768,14.62976
Ayan,10,1771327105002,-1.10295,0.26595,9.40605,4.52207,-48.23803,17.44227
Ayan,11,1771327105021,-1.10295,0.26595,9.40605,-2.56041,-42.50272,17.93071
Ayan,12,1771327105036,-0.80205,0.06705,9.60705,-6.40495,-40.48591,17.49742
Ayan,13,1771327105054,-0.507,0.31395,9.73005,-18.37189,-42.14033,16.40235
Ayan,14,1771327105069,-0.05205,0.73995,10.66095,-26.42338,-44.8189,16.2763
Ayan,15,1771327105086,0.87105,0.58005,12.90195,-22.27159,-42.50272,13.89709
Ayan,16,1771327105104,0.91905,0.249,14.523,-1.70956,-39.6981,13.89709
Ayan,17,1771327105117,0.91905,0.249,14.523,15.50424,-38.53213,14.87398
Ayan,18,1771327105133,0.339,0.369,13.476,40.28896,-30.48064,20.0657
Ayan,19,1771327105152,-0.00705,0.37095,11.45595,48.09623,-22.84669,28.73169
Ayan,20,1771327105167,0.54495,0.52905,10.029,48.89192,-18.57673,34.71122
Ayan,21,1771327105182,0.54495,0.52905,10.029,47.36356,-20.89291,34.46699
Ayan,22,1771327105200,0.94995,0.95295,9.303,41.321,-30.11036,32.02476
Ayan,23,1771327105214,1.42395,1.257,8.91105,34.79,-32.43443,27.02212
Ayan,24,1771327105232,1.44795,1.37505,8.71005,25.76161,-26.88032,20.30992
Ayan,25,1771327105246,0.91905,1.09005,8.77695,23.56361,-22.66549,20.18387
Ayan,26,1771327105287,0.43305,0.76605,8.46795,13.48743,20.36507,33.24588
Ayan,27,1771327105301,0.43305,0.76605,8.46795,9.83196,30.18915,35.62508
Ayan,28,1771327105314,0.741,1.18305,8.532,5.79833,28.29839,33.4901
Ayan,29,1771327105326,0.627,1.485,8.58495,1.22112,27.43966,31.47329
Ayan,30,1771327105343,0.25305,1.66695,8.69505,-5.79833,39.4066,32.51321
Ayan,31,1771327105361,0.25305,1.66695,8.69505,-13.91285,63.63986,35.75113
Ayan,32,1771327105376,0.34905,1.58805,10.038,-10.864,67.11413,33.06468
Ayan,33,1771327105395,0.20505,1.24995,11.37,13.92073,37.14557,24.27264
Ayan,34,1771327105413,-0.60105,1.34805,10.63695,30.82728,13.70802,23.2406
Ayan,35,1771327105427,-0.447,1.77195,8.68605,31.2527,1.81198,22.87033
Ayan,36,1771327105444,-0.447,1.77195,8.68605,20.14448,-6.79886,21.34196
Ayan,37,1771327105458,-0.20295,2.42595,8.83605,10.61977,-24.25688,17.00897
Ayan,38,1771327105474,0.41595,2.63595,9.66705,3.7894,-47.14297,7.85453
Ayan,39,1771327105492,0.40605,2.59095,10.476,4.57722,-39.6981,6.208
Ayan,40,1771327105505,0.92295,2.088,10.71405,3.05673,-27.17969,4.13604
Ayan,41,1771327105523,0.61905,2.09505,10.206,5.06566,-10.46221,2.6707
Ayan,42,1771327105540,0.61905,2.09505,10.206,2.01681,-3.13551,4.43541
Ayan,43,1771327105556,0.03495,2.004,9.92595,-1.52049,0.70904,6.69644
Ayan,44,1771327105574,-0.318,1.63305,9.84405,-3.90757,1.32353,11.21064
Ayan,45,1771327105589,-0.40905,1.65705,9.84705,-6.34193,0.89023,15.54363
Ayan,46,1771327105607,-0.28005,2.06595,10.28505,-5.00264,2.35557,20.91654
Ayan,47,1771327105621,-0.28005,2.06595,10.28505,-4.20694,0.70904,23.35877
Ayan,48,1771327105640,-0.04305,2.52105,10.24905,-6.8934,0.70904,24.51686
Ayan,49,1771327105654,0.36795,2.064,10.10805,-11.22639,-1.00053,22.31885
Ayan,50,1771327105669,0.447,1.63305,10.18005,-15.31516,-2.33982,19.51423
Ayan,51,1771327105685,0.19605,1.26,10.65105,-10.61977,-5.75894,17.49742
Ayan,52,1771327105701,0.19605,1.26,10.65105,-0.1812,-12.53417,19.38817
Ayan,53,1771327105717,-0.31095,0.83805,10.488,13.61348,-19.24637,24.57989
Ayan,54,1771327105734,0.006,0.735,9.29595,15.92966,-22.05887,28.73169
Ayan,55,1771327105753,0.90195,1.047,8.382,2.62343,-15.64604,27.26635
Ayan,56,1771327105767,0.849,1.50405,7.71795,-28.55836,-28.77108,30.44125
Ayan,57,1771327105783,0.849,1.50405,7.71795,-61.21338,-19.24637,41.12405
Ayan,58,1771327105802,0.48,1.24995,7.74,-69.94239,4.73478,46.24485
Ayan,59,1771327105816,0.27705,1.173,9.28395,-54.98962,13.70802,46.61513
Ayan,60,1771327105834,0.43005,1.293,10.33995,-28.86561,20.18387,42.52636
Ayan,61,1771327105848,0.55905,1.50105,10.93095,-1.09507,16.76475,35.93233
Ayan,62,1771327105865,0.55905,1.50105,10.93095,21.30257,9.68227,32.33201
Ayan,63,1771327105881,0.38505,2.10195,10.73295,37.72068,3.27732,33.24588
Ayan,64,1771327105897,0.38505,2.23905,10.23195,41.51007,3.57669,31.84356
Ayan,65,1771327105916,0.27195,1.85595,9.40905,37.9649,5.46745,27.26635
Ayan,66,1771327105929,-0.342,1.69305,8.829,30.457,7.17701,25.61981
Ayan,67,1771327105946,-0.483,1.69305,8.64495,15.19699,9.5641,26.53367
Ayan,68,1771327105970,-0.483,1.69305,8.64495,2.9937,10.41494,26.35248
Ayan,69,1771327105986,-0.56205,1.863,9.38205,-7.5079,9.7453,27.75479
Ayan,70,1771327105997,-0.26805,1.959,10.575,-8.78416,6.32617,30.26005
Ayan,71,1771327106010,0.40095,2.06205,11.70495,-4.57722,1.13446,28.60563
Ayan,72,1771327106026,0.717,1.86495,12.354,8.85506,-2.27679,26.47065
Ayan,73,1771327106045,0.717,1.86495,12.354,26.67548,1.01628,24.33566
Ayan,74,1771327106058,0.42105,1.77195,11.616,40.22593,6.44434,23.97327
Ayan,75,1771327106077,-0.57195,1.54905,9.86805,45.2916,8.52418,30.07097
Ayan,76,1771327106091,-1.245,1.65495,8.39595,41.20283,2.84402,38.43759
Ayan,77,1771327106109,-1.113,2.00895,7.86,33.75796,-4.04938,45.14979
Ayan,78,1771327106124,-1.113,2.00895,7.86,24.47747,-11.13185,47.46597
Ayan,79,1771327106141,-0.28695,2.13795,7.764,12.32934,-15.40182,45.63824
Ayan,80,1771327106157,0.08295,2.00205,7.83795,-7.01945,-11.0058,43.5584
Ayan,81,1771327106173,0.49695,1.647,8.865,-15.98481,-4.1124,43.01481
Ayan,82,1771327106190,0.85395,1.41,10.00695,-18.67126,-2.58404,42.21911
Ayan,83,1771327106206,0.85395,1.41,10.00695,-15.44121,-6.67281,38.73696
Ayan,84,1771327106223,1.30905,1.00605,10.63005,-12.51053,-10.64341,29.64555
Ayan,85,1771327106238,1.29195,0.67305,10.47195,-16.53628,-3.93121,24.02842
Ayan,86,1771327106255,1.029,0.15105,10.55805,-18.42704,5.46745,23.53997
Ayan,87,1771327106271,0.52395,-0.54495,11.001,-15.13396,12.79415,25.73798
Ayan,88,1771327106287,0.52395,-0.54495,11.001,-6.64918,13.83407,32.93863
Ayan,89,1771327106304,0.294,-0.41505,10.812,0.12605,17.43439,38.55576
Ayan,90,1771327106320,0.74895,-0.10605,10.11705,1.70956,18.23008,38.68181
Ayan,91,1771327106336,1.08405,0.678,10.13895,5.86136,21.03471,35.26269
Ayan,92,1771327106352,0.66495,1.434,10.338,10.56463,21.03471,34.34882
Ayan,93,1771327106370,0.52605,2.07105,10.122,12.08511,17.98586,33.00166
Ayan,94,1771327106384,0.52605,2.07105,10.122,9.46168,18.41128,29.40133
Ayan,95,1771327106400,0.564,2.19105,10.45305,10.56463,18.52946,26.1634
Ayan,96,1771327106417,-0.048,1.71705,10.46505,17.27682,9.92649,26.04523
Ayan,97,1771327106433,-0.53595,1.37505,10.038,23.13818,1.26051,27.81782
