ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Ayan,1,1771327466715,-2.35305,7.329,4.92195,-15.98481,-9.11504,18.35613
Ayan,2,1771327466721,-2.35305,7.329,4.92195,-18.12767,-19.42757,20.36507
Ayan,3,1771327466730,-2.39895,6.21105,3.96195,-20.81412,-30.59881,22.68913
Ayan,4,1771327466741,-2.39895,6.21105,3.96195,-30.75638,-59.4723,23.48482
Ayan,5,1771327466763,-1.31895,5.39895,4.074,-42.23487,-70.45448,13.77892
Ayan,6,1771327466782,-1.39095,4.758,4.93605,-40.34411,-40.12352,3.89182
Ayan,7,1771327466796,-2.34795,3.924,5.08005,-34.60092,-15.7721,1.74895
Ayan,8,1771327466813,-3.21,3.819,5.73405,-23.06728,-28.64503,4.25421
Ayan,9,1771327466828,-4.30005,3.60405,5.51595,-14.09405,-48.18289,6.3892
Ayan,10,1771327466844,-4.30005,3.60405,5.51595,1.28414,-66.12148,15.36243
Ayan,11,1771327466861,-4.63695,3.594,6.23595,16.29993,-71.25016,23.2406
Ayan,12,1771327466877,-4.611,4.461,5.41305,14.10192,-60.07893,31.17392
Ayan,13,1771327466895,-4.161,5.15505,5.50605,6.28678,-43.72384,34.46699
Ayan,14,1771327466910,-3.687,5.95695,6.32295,1.70956,-21.6886,36.97225
Ayan,15,1771327466927,-3.25605,6.405,6.873,-7.93332,-1.36292,38.79998
Ayan,16,1771327466943,-3.25605,6.405,6.873,-7.62607,10.47797,41.06102
Ayan,17,1771327466961,-2.56905,6.465,7.656,-4.57722,10.35192,41.97489
Ayan,18,1771327466977,-1.86495,6.72795,8.358,5.98741,6.75159,38.24851
Ayan,19,1771327466992,-1.79295,7.02705,7.64205,14.28312,1.99318,31.66236
Ayan,20,1771327467010,-2.35305,7.317,7.242,13.06201,-8.38237,27.08515
Ayan,21,1771327467025,-2.35305,7.317,7.242,9.34351,-9.05202,28.36141
Ayan,22,1771327467042,-2.48505,7.05105,6.94005,6.65705,-7.53153,31.35511
Ayan,23,1771327467057,-2.03505,7.08495,6.93795,7.57092,5.83772,36.8462
Ayan,24,1771327467075,-2.10195,7.60905,6.993,9.52471,9.43805,39.90293
Ayan,25,1771327467090,-2.36805,8.04195,6.50895,-0.78782,-0.14181,38.49274
Ayan,26,1771327467107,-2.36805,8.04195,6.50895,-11.71484,-8.01998,35.26269
Ayan,27,1771327467124,-2.28405,7.848,6.849,-21.30257,-14.30676,34.59304
Ayan,28,1771327467156,-1.42905,7.15695,7.95795,-20.62505,-14.55098,44.72437
Ayan,29,1771327467172,-0.13905,6.879,10.67505,-0.66964,-22.60247,38.24851
Ayan,30,1771327467187,-0.13905,6.879,10.67505,31.98537,-29.3777,23.66602
Ayan,31,1771327467204,0.11205,7.01505,10.72995,51.15296,-19.1282,7.36609
Ayan,32,1771327467221,-0.639,6.85005,7.716,40.47016,0.34664,5.8456
Ayan,33,1771327467237,-2.277,6.663,7.45305,28.259,13.46379,9.80832
Ayan,34,1771327467253,-2.808,6.14595,6.84405,21.79102,23.53997,17.56044
Ayan,35,1771327467269,-2.41605,6.04095,5.98305,13.55045,24.69806,27.08515
Ayan,36,1771327467286,-2.41605,6.04095,5.98305,6.83825,15.90602,31.29209
Ayan,37,1771327467302,-1.269,5.952,5.667,5.68016,4.79781,29.70858
Ayan,38,1771327467317,-0.21,6.474,5.913,14.34615,1.07931,25.18651
Ayan,39,1771327467334,0.38205,6.65595,5.616,22.64974,-0.02363,18.96276
Ayan,40,1771327467352,0.41805,6.71805,5.59695,25.94281,-8.4454,9.44593
Ayan,41,1771327467370,0.41805,6.71805,5.59695,28.81046,-12.90444,5.35716
Ayan,42,1771327467384,0.16395,6.654,6.43995,35.71174,-16.86716,2.78887
Ayan,43,1771327467403,0.05205,6.58005,7.431,45.96124,-20.89291,-1.05567
Ayan,44,1771327467418,-0.49095,6.28305,7.57995,59.1493,-18.947,-4.41178
Ayan,45,1771327467431,-0.85005,6.297,7.61295,68.97337,-14.3619,-4.41178
Ayan,46,1771327467448,-0.85005,6.297,7.61295,73.91299,1.74895,-5.14444
Ayan,47,1771327467465,-1.032,6.51,6.20505,70.68294,16.08722,-6.97218
Ayan,48,1771327467481,-1.578,7.00305,4.84995,54.44603,12.73112,-9.17019
Ayan,49,1771327467497,-2.181,7.35795,5.21895,49.93184,5.9559,-6.91703
Ayan,50,1771327467514,-1.93695,7.59705,4.98195,50.71966,2.5998,-1.90652
Ayan,51,1771327467530,-1.93695,7.59705,4.98195,45.53582,-7.28731,8.65023
Ayan,52,1771327467544,-1.989,7.82205,3.909,34.05733,-14.30676,16.7096
Ayan,53,1771327467563,-0.723,9.25095,4.149,20.87715,-10.21799,5.4123
Ayan,54,1771327467578,-0.45,8.77995,3.885,10.864,-5.0893,-1.60715
Ayan,55,1771327467595,-0.447,8.73405,3.71295,0.06303,4.06514,-4.23058
Ayan,56,1771327467610,-0.447,8.73405,3.71295,-13.55045,10.72219,-4.41178
Ayan,57,1771327467628,-0.51705,8.42505,3.318,-37.04316,36.47593,-2.58404
Ayan,58,1771327467642,-1.36005,8.75595,4.38795,-41.56522,42.64453,-3.07249
Ayan,59,1771327467659,-1.47195,8.50695,6.876,-29.17286,32.20596,-6.79098
Ayan,60,1771327467675,-1.61805,8.48295,9.12405,0.73267,10.47797,-9.11504
Ayan,61,1771327467691,-1.61805,8.48295,9.12405,35.2233,-12.59719,-8.80779
Ayan,62,1771327467709,-1.42695,8.42505,8.95095,63.48229,-29.81099,-4.04938
Ayan,63,1771327467725,-1.42005,8.868,6.74205,65.19186,-33.34829,-0.74843
Ayan,64,1771327467758,-0.81405,9.12705,5.38605,52.42922,-15.22062,0.04727
Ayan,65,1771327467772,-0.67005,8.68905,5.02005,49.07312,-9.05202,1.93803
Ayan,66,1771327467789,-0.67005,8.68905,5.02005,52.55527,-6.55464,3.94696
Ayan,67,1771327467806,-0.567,8.32695,5.46495,63.17504,-4.17543,5.11293
Ayan,68,1771327467823,-0.88605,8.24805,4.86,72.32948,-6.00317,8.7684
Ayan,69,1771327467837,-1.12305,8.08305,4.33305,75.32318,-9.35927,11.69908
Ayan,70,1771327467855,-1.30905,8.394,4.19205,82.94925,-18.39553,17.49742
Ayan,71,1771327467869,-1.30905,8.394,4.19205,82.21658,-23.57936,20.97957
Ayan,72,1771327467890,-1.206,8.99505,3.50895,73.73179,-17.59983,24.09144
Ayan,73,1771327467902,-0.57405,9.18195,3.531,71.53378,-11.49425,23.4218
Ayan,74,1771327467920,-0.249,9.18,3.46395,70.55688,0.46481,20.49112
Ayan,75,1771327467934,-0.03795,8.74095,3.33195,74.52749,5.28625,18.04889
Ayan,76,1771327467954,-0.39,9.249,2.56605,78.55323,0.22059,21.83041
Ayan,77,1771327467972,-0.39,9.249,2.56605,76.41824,2.4186,22.6261
Ayan,78,1771327467985,0.045,9.546,2.14905,71.35258,5.71167,19.51423
Ayan,79,1771327468000,0.37005,9.55305,2.48505,67.13776,9.80044,15.48848
Ayan,80,1771327468017,0.12105,9.55995,2.53995,64.08891,10.84036,12.06936
Ayan,81,1771327468033,-0.057,9.534,2.178,56.88826,13.21957,9.50107
Ayan,82,1771327468050,-0.057,9.534,2.178,53.04372,19.87662,7.49214
Ayan,83,1771327468065,-0.282,9.51705,1.98405,49.56157,22.31885,7.30306
Ayan,84,1771327468082,-0.78,9.58395,1.10595,42.60514,21.09774,10.84824
Ayan,85,1771327468099,-0.333,9.79695,0.68895,32.04839,15.59878,14.51159
Ayan,86,1771327468113,-0.333,9.79695,0.68895,29.78736,12.73112,14.14131
Ayan,87,1771327468130,0.22695,10.03395,0.90195,28.14082,7.54729,9.3829
Ayan,88,1771327468146,0.54795,10.04205,0.48105,23.13818,9.68227,6.82249
Ayan,89,1771327468164,0.39705,10.06995,-0.66,8.12239,13.89709,5.90075
Ayan,90,1771327468179,0.62205,10.21395,-0.43305,1.46534,12.3057,4.07301
Ayan,91,1771327468197,0.98595,10.209,-0.70605,-10.49372,6.75159,-3.80516
Ayan,92,1771327468211,0.98595,10.209,-0.70605,-24.17023,7.66546,-9.90286
Ayan,93,1771327468227,0.53595,10.35495,-0.66495,-37.41343,6.14497,-13.87346
Ayan,94,1771327468244,0.20805,10.434,0.62895,-46.50484,4.73478,-16.55991
Ayan,95,1771327468260,0.03,10.437,2.097,-46.19759,1.93015,-16.18964
Ayan,96,1771327468277,0.018,10.39095,3.28005,-38.9418,4.979,-15.76422
Ayan,97,1771327468293,0.018,10.39095,3.28005,-29.90553,8.03573,-14.66915
Ayan,98,1771327468308,-0.096,10.413,3.62205,-20.81412,9.80044,-13.20381
Ayan,99,1771327468326,-0.55305,10.35495,3.45,-11.89604,10.23374,-9.72166
Ayan,100,1771327468342,-0.92205,10.28805,2.829,-2.62343,2.54465,-2.21377
Ayan,101,1771327468357,-0.402,10.24995,2.17095,1.16597,-4.1124,1.99318
Ayan,102,1771327468373,-0.402,10.24995,2.17095,2.19801,-5.82197,2.48162
Ayan,103,1771327468388,0.18795,10.24995,1.824,3.72637,-4.84507,0.22847
Ayan,104,1771327468405,0.40395,10.01295,1.70205,5.37291,-1.00053,-4.2936
Ayan,105,1771327468422,0.105,9.924,1.16805,1.22112,0.22059,-4.96325
Ayan,106,1771327468440,0.13995,9.63195,1.359,-3.96272,0.59086,-5.63289
Ayan,107,1771327468456,0.04995,9.31605,1.88595,-7.87029,4.49056,-8.6266
Ayan,108,1771327468473,0.04995,9.31605,1.88595,-9.8871,9.98952,-8.13815
Ayan,109,1771327468486,-0.45495,9.22305,2.33595,-8.60296,11.88028,-6.05831
Ayan,110,1771327468504,-0.48795,9.177,2.99895,-3.11188,7.24004,-3.98635
Ayan,111,1771327468521,-0.21795,9.28305,3.105,5.30989,0.34664,-3.43488
Ayan,112,1771327468538,-0.12405,9.40005,2.619,8.61084,-0.02363,-4.16755
Ayan,113,1771327468552,-0.12405,9.40005,2.619,8.48479,1.68593,-3.98635
Ayan,114,1771327468570,-0.261,9.55305,2.451,10.37555,3.76576,-2.82826
Ayan,115,1771327468585,-0.34005,9.60105,2.11395,12.94383,2.2374,-1.41807
Ayan,116,1771327468602,-0.13095,9.723,1.335,11.41547,-3.80516,0.22847
Ayan,117,1771327468619,0.22005,9.84795,1.18005,9.46168,-7.58668,-0.87448
Ayan,118,1771327468633,0.22005,9.84795,1.18005,7.38972,-11.06883,-3.19066
Ayan,119,1771327468650,0.34905,10.00095,1.06695,6.04256,-12.59719,-5.99529
Ayan,120,1771327468667,0.04005,9.98595,1.17705,6.3498,-13.44804,-7.16126
Ayan,121,1771327468684,-0.222,9.98895,1.25595,8.24057,-16.80413,-6.30254
Ayan,122,1771327468699,-0.36795,9.99105,1.12695,9.52471,-21.5074,-4.90022
Ayan,123,1771327468716,-0.36795,9.99105,1.12695,8.36662,-23.94963,-3.67911
Ayan,124,1771327468732,-0.37305,10.20405,0.912,5.49896,-23.88661,-2.88341
Ayan,125,1771327468748,-0.318,10.233,1.101,2.44223,-22.4843,-2.76524
Ayan,126,1771327468764,-0.19395,10.26405,1.35195,0.67752,-19.91601,-3.49791
Ayan,127,1771327468782,-0.27495,10.18005,1.42395,-0.73267,-16.62294,-4.71902
Ayan,128,1771327468796,-0.27495,10.18005,1.42395,-5.00264,-11.19488,-4.59297
Ayan,129,1771327468814,-0.28695,9.88605,1.63905,-10.37555,0.03939,-5.01839
Ayan,130,1771327468829,-0.36795,9.51195,2.118,-12.02209,8.46115,-5.20747
Ayan,131,1771327468847,-0.78705,9.22305,2.49705,-10.73795,14.25949,-4.59297
Ayan,132,1771327468861,-1.39305,9.216,2.58795,-7.56304,13.34562,-2.45799
Ayan,133,1771327468878,-1.36905,9.39705,2.43,-1.46534,4.30936,3.27732
Ayan,134,1771327468893,-1.36905,9.39705,2.43,-0.66964,0.46481,7.36609
Ayan,135,1771327468911,-0.50295,9.45,2.64705,2.01681,5.34928,7.42911
