ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Lalit,1,1771335770882,-1.80104,5.04578,8.61314,5.72204,-1.68609,5.26428
Lalit,2,1771335770888,-1.80104,5.04578,8.61314,6.27136,-1.99127,3.49426
Lalit,3,1771335770896,-1.55444,4.7489,8.33062,5.90515,-3.63922,3.18908
Lalit,4,1771335770905,-1.55444,4.7489,8.33062,3.89099,-4.98199,2.82287
Lalit,5,1771335770913,-1.60352,4.92128,7.97987,1.57165,-6.69097,3.06701
Lalit,6,1771335770922,-1.60352,4.92128,7.97987,0.10681,-8.52203,3.06701
Lalit,7,1771335770930,-1.60352,4.92128,7.97987,-2.33459,-12.85552,2.5177
Lalit,8,1771335770937,-1.41797,4.73453,7.93438,-3.37219,-14.74761,1.78528
Lalit,9,1771335770946,-1.41797,4.73453,7.93438,-5.26428,-18.59282,-0.47302
Lalit,10,1771335770956,-1.08637,4.79439,7.8051,-6.36291,-22.74321,-2.12097
Lalit,11,1771335770964,-1.08637,4.79439,7.8051,-5.63049,-27.19877,-3.34167
Lalit,12,1771335770976,-0.90561,5.12599,7.86495,-5.9967,-29.1519,-3.70788
Lalit,13,1771335770981,-0.90561,5.12599,7.86495,-7.94982,-30.31156,-3.52478
Lalit,14,1771335770987,-0.90561,5.12599,7.86495,-9.41467,-30.18949,-3.15857
Lalit,15,1771335770997,-0.99539,5.34625,7.6806,-10.45226,-26.0391,-2.24304
Lalit,16,1771335771005,-0.99539,5.34625,7.6806,-13.25988,-23.29252,-0.71716
Lalit,17,1771335771013,-0.99539,5.34625,7.6806,-15.0299,-22.13286,0.38147
Lalit,18,1771335771021,-1.18333,5.05177,7.92002,-18.08165,-18.65386,2.88391
Lalit,19,1771335771031,-1.18333,5.05177,7.92002,-20.27892,-17.73833,5.14221
Lalit,20,1771335771040,-1.20967,4.9967,8.36414,-21.80479,-17.8604,5.75256
Lalit,21,1771335771047,-1.20967,4.9967,8.36414,-22.35411,-17.8604,5.26428
Lalit,22,1771335771055,-0.96666,4.8327,8.86214,-20.70616,-18.28765,3.31115
Lalit,23,1771335771064,-0.96666,4.8327,8.86214,-18.38683,-20.24077,1.23596
Lalit,24,1771335771072,-0.96666,4.8327,8.86214,-16.4337,-21.1563,0.50354
Lalit,25,1771335771080,-1.21206,4.80516,9.35534,-11.734,-22.43803,-0.35095
Lalit,26,1771335771090,-1.21206,4.80516,9.35534,-7.2174,-26.0391,-0.28992
Lalit,27,1771335771098,-1.52211,4.81354,9.31464,-5.02014,-28.17533,-0.04578
Lalit,28,1771335771106,-1.52211,4.81354,9.31464,-1.297,-30.31156,0.38147
Lalit,29,1771335771113,-1.52211,4.81354,9.31464,-0.38147,-31.83744,0.99182
Lalit,30,1771335771122,-1.55683,5.09486,8.60476,0.41199,-34.33988,3.31115
Lalit,31,1771335771131,-1.55683,5.09486,8.60476,0.28992,-35.13334,7.33947
Lalit,32,1771335771138,-1.43951,5.54018,8.14148,0.16785,-36.53714,9.65881
Lalit,33,1771335771147,-1.43951,5.54018,8.14148,0.41199,-36.41507,13.38195
Lalit,34,1771335771156,-1.08876,5.39294,7.93319,2.12097,-31.95951,16.31163
Lalit,35,1771335771165,-1.08876,5.39294,7.93319,3.2196,-25.67289,17.83751
Lalit,36,1771335771172,-1.08876,5.39294,7.93319,2.30408,-24.08598,18.56993
Lalit,37,1771335771181,-0.75477,5.16549,7.86854,1.9989,-18.16558,20.64513
Lalit,38,1771335771189,-0.75477,5.16549,7.86854,2.48718,-15.66313,21.68272
Lalit,39,1771335771199,-0.75477,5.16549,7.86854,3.09753,-14.32036,22.90343
Lalit,40,1771335771205,-0.72006,5.22654,8.27556,2.67029,-4.98199,26.93174
Lalit,41,1771335771213,-0.72006,5.22654,8.27556,1.69372,-0.03815,28.70176
Lalit,42,1771335771222,-0.86131,5.00508,8.11275,-0.32043,6.37054,31.75352
Lalit,43,1771335771231,-0.86131,5.00508,8.11275,0.47302,12.41302,32.85215
Lalit,44,1771335771239,-0.71646,4.75848,9.03213,1.14441,15.3427,32.60801
Lalit,45,1771335771248,-0.71646,4.75848,9.03213,4.92859,12.65716,32.91318
Lalit,46,1771335771255,-0.92117,4.2545,10.34415,11.82555,1.91498,34.43906
