ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
hitesh,1,1771403331689,1.69305,-0.108,8.02605,-3.36398,4.06514,-11.32093
hitesh,2,1771403331699,2.811,0.84195,9.52905,-3.72637,-12.96747,-9.00475
hitesh,3,1771403331709,-1.083,-0.19905,10.68795,-7.20853,-3.01734,-11.38396
hitesh,4,1771403331725,2.68395,0.85605,10.44195,-7.76,-16.50477,-20.41234
hitesh,5,1771403331742,-0.513,0.52605,11.265,-3.11976,-4.1124,-31.70963
hitesh,6,1771403331758,-0.90405,0.12795,10.671,-8.91809,-9.54834,-38.17761
hitesh,7,1771403331775,0.47205,0.64005,8.73405,-10.99005,-21.14501,-28.89713
hitesh,8,1771403331791,1.30305,-0.12705,10.389,-6.10558,-0.08666,-11.8724
hitesh,9,1771403331809,2.71305,-0.228,12.156,-1.52837,6.62554,-6.38132
hitesh,10,1771403331825,-0.37395,0.37905,7.044,-3.23793,9.43805,-6.49949
hitesh,11,1771403331841,0.50805,0.408,6.975,2.80463,-3.93121,-8.94172
hitesh,12,1771403331858,2.88795,1.17405,7.61895,0.78782,-13.08564,-8.02785
hitesh,13,1771403331874,-3.14505,-0.39795,11.361,-1.77259,7.48426,-1.25263
hitesh,14,1771403331891,-2.58195,-0.513,8.47605,-2.20589,8.39813,-1.07143
hitesh,15,1771403331908,3.522,0.46605,11.14095,2.85978,-11.86452,-7.35821
hitesh,16,1771403331924,1.96095,-0.156,13.257,6.64918,-3.08036,-9.18595
hitesh,17,1771403331941,1.63095,-0.036,12.39795,-1.41019,8.09088,-6.68069
hitesh,18,1771403331957,0.027,0.492,6.16095,-10.62765,1.55988,-1.1896
hitesh,19,1771403331974,0.03405,1.07895,6.05295,-11.72272,-7.53153,0.03151
hitesh,20,1771403332013,-1.30095,-0.86205,11.82105,-10.3204,10.53311,0.45693
hitesh,21,1771403332031,-1.94505,-0.264,10.04595,-5.86136,13.15654,-1.9853
hitesh,22,1771403332045,-2.01705,-0.24705,8.445,-16.29993,-6.01104,-2.77312
hitesh,23,1771403332077,-2.54595,-1.23795,7.40295,-24.42233,-0.57511,-1.43383
hitesh,24,1771403332097,-4.821,0.54,6.00705,-0.85872,25.85615,-1.3708
hitesh,25,1771403332114,-3.17595,-0.213,9.18195,86.54169,103.85791,-4.5457
hitesh,26,1771403332128,-4.12605,0.01305,8.48295,54.25695,135.53603,-2.89917
hitesh,27,1771403332159,2.21505,1.62,12.67995,-29.42496,-148.09383,4.78993
hitesh,28,1771403332176,-1.854,-1.63995,3.561,-47.79686,-30.72486,-1.43383
hitesh,29,1771403332189,-4.74405,0.06105,8.60295,4.14392,-14.18858,1.61502
hitesh,30,1771403332203,4.545,0.58095,10.42695,38.99694,51.79109,-1.1896
hitesh,31,1771403332223,1.40805,1.74405,10.29795,-18.13555,-25.478,9.85559
hitesh,32,1771403332240,3.23295,1.43505,9.405,-13.36925,-28.22748,6.92491
hitesh,33,1771403332255,-3.61605,-0.23205,8.29605,-0.67752,9.43805,19.25425
hitesh,34,1771403332271,-2.53905,-1.113,9.003,4.32512,22.92547,11.38396
hitesh,35,1771403332285,-3.12495,-0.65895,10.61895,-6.10558,2.35557,6.49949
hitesh,36,1771403332296,2.89005,1.20795,8.742,-6.65705,-7.59456,1.1896
hitesh,37,1771403332311,2.28405,0.27195,6.75705,-7.69697,-17.48166,-2.96219
hitesh,38,1771403332331,0.54405,1.392,14.37495,-4.76629,-6.61766,-1.31565
hitesh,39,1771403332357,0.42405,0.006,6.90795,-2.93856,-6.61766,-4.05726
hitesh,40,1771403332373,2.46195,1.26495,14.00895,-3.91545,-7.65758,-14.13344
hitesh,41,1771403332386,2.53095,0.219,10.93995,7.01157,16.33145,-11.38396
hitesh,42,1771403332397,-2.26605,-0.40995,5.478,2.19013,4.79781,-20.78261
hitesh,43,1771403332417,-5.36205,-0.807,7.57305,8.16966,-1.9144,-5.70379
hitesh,44,1771403332431,4.45395,0.45795,9.94605,-2.87553,-1.30778,1.1896
hitesh,45,1771403332457,3.01005,-0.43095,9.297,-0.06303,1.9853,0.45693
hitesh,46,1771403332472,1.57605,-0.73305,6.88605,-4.45904,2.71797,0.76418
hitesh,47,1771403332483,0.88905,2.259,14.24805,-4.4039,-6.01104,7.72061
hitesh,48,1771403332496,2.49795,0.96105,13.26405,-3.36398,2.71797,7.60243
hitesh,49,1771403332517,4.55895,1.656,13.21605,-3.91545,-1.61502,9.30412
hitesh,50,1771403332534,-4.356,0.42,9.90795,-0.4333,0.27574,8.02785
hitesh,51,1771403332551,-1.63905,1.29405,11.89005,-3.427,11.08459,5.64865
hitesh,52,1771403332567,2.02095,1.48605,14.61,-0.49632,1.37868,8.3351
hitesh,53,1771403332579,-2.85495,-0.723,5.14995,-1.71744,10.40706,5.64865
hitesh,54,1771403332598,-4.689,-0.35505,8.48505,-1.41019,4.36451,4.7269
hitesh,55,1771403332618,-1.962,0.789,11.646,-8.91809,17.91496,8.57933
hitesh,56,1771403332631,-1.02105,-0.91695,6.441,-2.50526,-3.62396,6.43646
hitesh,57,1771403332652,-4.87095,-0.36195,4.65195,-5.80621,2.5998,6.38132
hitesh,58,1771403332666,-4.76295,-0.663,8.87805,-8.67386,16.88292,9.91862
hitesh,59,1771403332683,4.27395,0.07995,6.58005,-9.58773,6.44434,9.67439
hitesh,60,1771403332701,-1.971,0.64005,4.79805,-3.72637,-3.56881,5.76682
hitesh,61,1771403332713,3.972,0.87495,13.47495,-3.9706,-12.90444,4.12028
hitesh,62,1771403332728,-6.384,0.042,8.24595,-2.07984,1.86713,14.98428
hitesh,63,1771403332743,-4.299,-0.369,13.461,2.37133,-4.84507,14.43281
hitesh,64,1771403332766,1.674,-0.048,13.26195,-4.64812,2.47375,11.8724
hitesh,65,1771403332783,4.245,0.70005,9.19395,-5.61713,2.22952,15.83512
hitesh,66,1771403332800,1.17795,1.68405,5.679,-7.45275,9.06777,10.89551
hitesh,67,1771403332813,0.13905,-0.864,12.28995,-2.93856,-0.51208,14.25161
hitesh,68,1771403332823,3.405,1.584,8.73705,-3.72637,-2.52889,14.07041
hitesh,69,1771403332839,-4.143,-0.963,12.81405,-3.36398,-1.61502,15.29153
hitesh,70,1771403332863,1.923,-0.072,10.91295,-3.91545,-10.46221,5.45957
