ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
1,1,1770450182079,-0.10056,0.00239,8.94713,-2.835,4.445,0.07
1,2,1770450182090,-0.21069,-0.0814,10.11311,-0.42,-9.135,0.14
1,3,1770450182100,-0.21069,-0.0814,10.11311,-0.28,-7.875,0.14
1,4,1770450182105,0.05028,-0.05267,9.30147,-0.28,-7.875,0.14
1,5,1770450182114,0.05028,-0.05267,9.30147,-1.4,-0.595,0.035
1,6,1770450182124,-0.10295,-0.07661,10.0341,1.68,3.395,-0.035
1,7,1770450182130,-0.10295,-0.07661,10.0341,2.52,0.805,0.105
1,8,1770450182138,-0.10295,-0.07661,10.0341,0.98,-0.28,0
1,9,1770450182146,-0.07183,-0.05986,9.47864,-1.68,-0.455,0.035
1,10,1770450182155,-0.07183,-0.05986,9.47864,-1.82,-1.085,-0.035
1,11,1770450182163,-0.08859,-0.11732,9.90242,0.245,-1.365,0.035
1,12,1770450182174,-0.08859,-0.11732,9.90242,1.225,-0.07,0.105
1,13,1770450182180,-0.08859,-0.11732,9.90242,0.91,1.855,0.035
1,14,1770450182188,-0.11013,-0.0814,9.64863,-0.035,1.715,0.035
1,15,1770450182197,-0.11013,-0.0814,9.64863,-0.315,-0.07,0.105
1,16,1770450182205,-0.10774,-0.07901,9.76116,-0.035,-1.715,0.105
1,17,1770450182213,-0.10774,-0.07901,9.76116,-0.07,-1.225,0
1,18,1770450182221,-0.10774,-0.07901,9.76116,-0.175,0.21,0
1,19,1770450182230,-0.07661,-0.07901,9.7851,0.21,0.91,-0.035
1,20,1770450182238,-0.07661,-0.07901,9.7851,0.595,0.455,0
1,21,1770450182246,-0.07183,-0.07183,9.69173,0.245,-0.35,0.035
1,22,1770450182255,-0.07183,-0.07183,9.69173,-0.245,-0.28,-0.035
1,23,1770450182263,-0.06943,-0.09577,9.76595,-0.35,-0.175,-0.07
1,24,1770450182271,-0.06943,-0.09577,9.76595,0.175,-0.175,0.035
1,25,1770450182280,-0.06943,-0.09577,9.76595,0.42,0,0.035
1,26,1770450182288,-0.05267,-0.04788,9.71088,0.21,0.35,0.07
1,27,1770450182297,-0.05267,-0.04788,9.71088,-0.07,0.245,0.07
1,28,1770450182304,-0.04788,-0.09337,9.76595,-0.175,-0.315,-0.035
1,29,1770450182313,-0.04788,-0.09337,9.76595,-0.07,-0.49,0.105
1,30,1770450182321,-0.04788,-0.09337,9.76595,0.105,-0.14,-0.035
1,31,1770450182330,-0.04788,-0.11492,9.72764,0.14,0.49,0.035
1,32,1770450182338,-0.04788,-0.11492,9.72764,0.105,0.175,0.105
1,33,1770450182346,-0.10534,-0.05986,9.73961,0.07,-0.07,0.105
1,34,1770450182355,-0.10534,-0.05986,9.73961,-0.07,-0.07,0.07
1,35,1770450182363,-0.08619,-0.07422,9.75877,-0.07,-0.07,0.07
1,36,1770450182374,-0.08619,-0.07422,9.75877,0.14,0.105,0.035
1,37,1770450182380,-0.08619,-0.07422,9.75877,0.245,0.14,0.105
1,38,1770450182388,-0.07661,-0.09098,9.69652,0.14,0.105,0.035
1,39,1770450182408,-0.07661,-0.09098,9.69652,-0.035,0.035,0.035
1,40,1770450182413,-0.09337,-0.10056,9.75877,0.07,-0.105,0.07
1,41,1770450182421,-0.09337,-0.10056,9.75877,0.14,-0.035,-0.035
1,42,1770450182429,-0.08859,-0.08619,9.74201,0.105,0,0.07
1,43,1770450182438,-0.08859,-0.08619,9.74201,0.035,-0.035,0.07
1,44,1770450182446,-0.09098,-0.02394,9.75158,0.105,-0.14,0.035
1,45,1770450182455,-0.09098,-0.02394,9.75158,0.07,-0.105,0
1,46,1770450182463,-0.06464,-0.12689,9.7444,0,-0.07,0.035
1,47,1770450182471,-0.06464,-0.12689,9.7444,0.035,-0.07,0.035
1,48,1770450182480,-0.06464,-0.12689,9.7444,0.035,-0.035,-0.035
1,49,1770450182488,-0.07183,-0.0814,9.76116,0.175,-0.035,-0.14
1,50,1770450182496,-0.07183,-0.0814,9.76116,0.035,0.035,0.035
1,51,1770450182505,-0.07661,-0.08619,9.71088,-0.035,0,-0.035
1,52,1770450182513,-0.07661,-0.08619,9.71088,-0.035,-0.175,-0.035
1,53,1770450182521,-0.07661,-0.08619,9.71088,0.035,-0.14,0.035
1,54,1770450182530,-0.05267,-0.07422,9.74919,0.035,0.035,-0.035
1,55,1770450182538,-0.05267,-0.07422,9.74919,0,0.105,-0.035
1,56,1770450182546,-0.06464,-0.0814,9.74201,0.105,-0.175,0.105
1,57,1770450182555,-0.06464,-0.0814,9.74201,0.035,-0.175,0.14
1,58,1770450182563,-0.07661,-0.0838,9.71806,-0.07,-0.035,0.105
1,59,1770450182571,-0.07661,-0.0838,9.71806,0.07,-0.035,0
1,60,1770450182580,-0.07661,-0.0838,9.71806,0.105,-0.035,-0.035
1,61,1770450182588,-0.06225,-0.0814,9.73243,0.14,-0.035,0.07
1,62,1770450182596,-0.06225,-0.0814,9.73243,0.07,-0.105,0.035
1,63,1770450182605,-0.05986,-0.09577,9.73243,0.035,-0.07,-0.035
1,64,1770450182613,-0.05986,-0.09577,9.73243,0.07,-0.105,-0.035
