ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
3,1,1770629676849,-4.81713,6.18422,5.07092,-9.8,-29.295,-40.32
3,2,1770629676870,-4.55377,5.47554,6.56969,-14.735,-57.05,-35.42
3,3,1770629676894,-4.61841,4.94163,7.62074,-19.915,-19.04,-27.825
3,4,1770629676907,-4.61841,4.94163,7.62074,-15.575,-10.64,-20.685
3,5,1770629676919,-4.40054,5.28879,7.34062,-7.42,-18.795,-16.765
3,6,1770629676937,-4.05099,5.89692,7.66145,3.92,-28.315,-16.38
3,7,1770629676953,-4.10366,6.18422,7.46512,10.955,-34.055,-16.59
3,8,1770629676969,-4.10366,6.18422,7.46512,13.37,-37.555,-15.33
3,9,1770629676985,-3.78763,6.5673,7.25443,12.705,-37.555,-18.165
3,10,1770629677004,-3.68468,6.92882,7.09641,9.905,-35.35,-21.49
3,11,1770629677019,-3.80678,7.01741,7.17063,4.97,-29.225,-24.85
3,12,1770629677038,-3.49553,6.80672,7.95354,2.345,-22.05,-29.05
3,13,1770629677053,-4.04141,6.34224,8.14268,6.72,-16.8,-31.395
3,14,1770629677070,-4.04141,6.34224,8.14268,14.84,-17.675,-28.525
3,15,1770629677087,-4.45561,6.13634,7.69975,25.165,-27.545,-21.28
3,16,1770629677105,-4.39097,6.32548,7.22331,27.37,-31.01,-20.09
3,17,1770629677119,-4.13479,6.42843,6.80193,26.285,-29.295,-22.19
3,18,1770629677134,-4.17788,5.99748,6.51462,23.415,-23.135,-24.115
3,19,1770629677150,-4.55617,5.85382,6.12916,20.44,-16.31,-22.61
3,20,1770629677168,-4.55617,5.85382,6.12916,16.765,-12.39,-19.355
3,21,1770629677185,-4.73334,6.03818,5.95917,14.595,-13.755,-15.33
3,22,1770629677202,-4.65672,6.21056,5.72932,13.405,-20.405,-13.23
3,23,1770629677218,-4.69982,6.56011,5.59525,10.92,-28.14,-11.69
3,24,1770629677233,-4.23534,6.6894,5.98311,5.915,-28.7,-11.9
3,25,1770629677259,-3.84988,6.52181,6.61518,3.675,-24.745,-15.925
3,26,1770629677265,-3.84988,6.52181,6.61518,5.075,-24.255,-16.8
3,27,1770629677272,-4.12282,6.4021,7.01262,7.28,-23.8,-17.185
3,28,1770629677291,-4.80516,6.24887,6.81869,12.67,-22.925,-11.76
3,29,1770629677308,-4.56814,6.37576,6.54814,13.685,-22.295,-5.88
3,30,1770629677324,-4.56814,6.37576,6.54814,14.07,-23.17,-6.3
3,31,1770629677340,-4.15155,6.29196,6.45477,15.12,-23.275,-4.585
3,32,1770629677356,-4.30956,6.16268,6.4811,15.54,-19.285,-2.415
3,33,1770629677373,-4.41251,6.36858,6.60081,16.66,-11.76,1.61
3,34,1770629677390,-3.89537,6.50265,6.27041,14.7,-5.04,1.925
3,35,1770629677407,-3.93128,6.54096,6.09324,13.125,-1.505,1.12
3,36,1770629677423,-3.93128,6.54096,6.09324,12.565,-2.1,1.365
3,37,1770629677440,-3.64398,6.3997,6.08367,15.015,-6.965,0.105
3,38,1770629677458,-4.2521,6.35182,5.98072,17.85,-11.97,5.95
3,39,1770629677475,-3.91213,6.53138,5.67665,15.19,-11.375,5.705
3,40,1770629677490,-3.52426,6.4428,5.533,10.5,-7.735,1.89
3,41,1770629677507,-3.75171,6.05972,5.46117,4.865,-4.515,-1.155
3,42,1770629677524,-4.24013,5.8227,5.35344,0.98,-5.11,1.085
3,43,1770629677540,-4.24013,5.8227,5.35344,-2.59,-7.805,5.705
3,44,1770629677559,-4.26407,6.16028,5.29597,-8.225,-11.62,10.885
3,45,1770629677576,-3.54342,6.80193,5.53779,-17.115,-19.39,7.35
3,46,1770629677594,-3.19387,6.95994,6.57687,-18.27,-22.085,2.975
3,47,1770629677612,-3.25851,6.96473,7.49625,-15.645,-20.335,-0.84
3,48,1770629677628,-3.54821,6.33985,7.86016,-11.235,-11.935,-2.625
3,49,1770629677645,-4.16591,5.99987,7.5968,-6.37,-3.185,0.63
3,50,1770629677662,-4.16591,5.99987,7.5968,-1.435,2.94,8.295
3,51,1770629677679,-4.09648,6.11958,6.66067,-1.12,4.62,13.72
3,52,1770629677695,-3.3447,6.33745,5.63595,-6.72,6.86,13.51
3,53,1770629677712,-3.04542,6.57448,5.48512,-18.27,11.76,5.635
3,54,1770629677728,-3.37343,5.8634,5.59764,-27.545,16.905,-4.375
3,55,1770629677745,-3.81636,5.10444,5.76524,-29.435,14.315,-1.925
3,56,1770629677762,-3.81636,5.10444,5.76524,-31.535,15.085,3.71
3,57,1770629677778,-3.64398,4.95839,5.87298,-33.95,11.62,8.89
3,58,1770629677795,-3.81636,5.22894,6.33985,-37.17,9.45,14.315
3,59,1770629677812,-2.83713,5.94241,6.79953,-40.775,9.17,9.59
3,60,1770629677829,-2.78446,6.23211,7.2281,-44.73,1.68,-0.63
3,61,1770629677850,-2.96402,5.65271,8.09958,-36.715,-12.985,-10.57
3,62,1770629677865,-3.26569,5.05895,8.49223,-29.085,-18.97,-12.39
3,63,1770629677873,-3.26569,5.05895,8.49223,-24.675,-21.175,-11.97
3,64,1770629677892,-3.86664,4.97515,8.45871,-22.505,-19.985,-8.855
3,65,1770629677911,-3.84269,5.14035,8.40604,-24.465,-11.83,-4.165
3,66,1770629677927,-3.84269,5.13077,8.62391,-25.13,-6.545,-3.395
3,67,1770629677944,-3.61285,4.96797,8.90404,-19.46,-6.72,-3.99
3,68,1770629677962,-3.553,4.71897,8.86333,-10.185,-12.25,-3.325
3,69,1770629677977,-3.553,4.71897,8.86333,-0.035,-16.555,5.81
3,70,1770629677995,-3.19147,4.94163,8.14747,-2.52,-6.475,4.795
3,71,1770629678011,-3.1388,5.23851,8.14029,-4.515,-5.005,1.33
3,72,1770629678029,-3.22499,5.31752,8.23366,-2.695,-5.39,1.575
3,73,1770629678045,-2.54982,5.40371,8.00382,0.49,-3.5,1.12
3,74,1770629678061,-2.77009,5.2026,7.35978,1.26,-1.33,-7.735
3,75,1770629678078,-2.77009,5.2026,7.35978,-0.14,-8.26,-3.5
3,76,1770629678094,-3.82354,5.86101,7.29274,-7.595,-2.24,0.035
3,77,1770629678112,-2.28407,5.85143,8.32703,-5.775,5.355,-5.915
3,78,1770629678128,-2.59531,5.51145,7.90805,-0.525,9.135,-14.49
3,79,1770629678144,-3.44286,5.29119,7.03177,-0.175,4.095,-16.1
3,80,1770629678167,-3.21302,5.14035,6.81629,-4.9,3.08,-17.185
3,81,1770629678179,-3.21302,5.14035,6.81629,-12.075,-0.56,-19.775
3,82,1770629678193,-3.71101,5.06852,6.7325,-20.37,-5.005,-18.55
3,83,1770629678210,-3.90015,5.23851,6.82587,-28.175,-11.935,-16.975
3,84,1770629678224,-3.62003,4.72855,7.44357,-33.565,-15.61,-16.975
3,85,1770629678241,-3.58651,4.39336,7.64708,-35.525,-17.115,-20.615
3,86,1770629678259,-4.24253,4.28083,7.32865,-37.275,-20.44,-20.125
3,87,1770629678273,-4.24253,4.28083,7.32865,-38.675,-23.66,-18.585
3,88,1770629678292,-4.42448,4.34069,7.02938,-50.015,-36.05,-10.815
3,89,1770629678309,-3.77566,4.7501,6.89291,-62.825,-38.955,-10.395
3,90,1770629678325,-2.75812,4.50589,7.5561,-76.09,-34.72,-18.445
3,91,1770629678341,-2.8922,3.85706,8.16662,-85.68,-31.535,-27.51
3,92,1770629678356,-2.8922,3.85706,8.16662,-88.795,-36.085,-29.68
3,93,1770629678374,-3.40934,3.65116,8.86094,-84.945,-37.31,-28.14
3,94,1770629678390,-2.6025,3.56975,9.95749,-71.68,-32.095,-34.965
3,95,1770629678406,-2.1883,3.33991,9.44752,-56.14,-36.05,-44.1
3,96,1770629678423,-1.96564,3.5099,8.73644,-36.295,-62.335,-52.5
3,97,1770629678439,-1.20428,3.82833,8.68138,-6.615,-105.315,-65.31001
3,98,1770629678456,-1.10852,3.87621,9.23922,9.835,-122.675,-78.89
3,99,1770629678472,-1.10852,3.87621,9.23922,21.21,-133.315,-85.505
3,100,1770629678489,-2.00395,3.48356,10.12987,31.57,-132.265,-83.685
