ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
d@gmail.com ,1,1771239207940,1.86987,7.97748,-5.49709,6.79,9.24,5.425
d@gmail.com ,2,1771239207955,2.61447,7.79552,-5.81791,4.69,7.63,0.595
d@gmail.com ,3,1771239207972,3.31118,7.61835,-6.64152,-0.595,3.08,-4.41
d@gmail.com ,4,1771239207989,2.78206,7.65666,-6.25126,-5.075,-2.38,-6.51
d@gmail.com ,5,1771239208004,2.32956,7.69018,-5.70778,-7.875,-4.76,-4.2
d@gmail.com ,6,1771239208021,2.32956,7.69018,-5.70778,-6.86,-4.41,-2.24
d@gmail.com ,7,1771239208040,2.28167,7.77397,-5.16429,-3.99,-1.61,-0.56
d@gmail.com ,8,1771239208054,2.34392,7.82665,-5.1595,-1.4,2.59,1.19
d@gmail.com ,9,1771239208071,2.48997,7.75961,-5.45878,-0.945,2.94,1.645
d@gmail.com ,10,1771239208088,2.77009,7.79552,-5.72693,-2.205,-0.315,0.035
d@gmail.com ,11,1771239208103,2.77009,7.79552,-5.72693,-2.695,-2.835,-1.155
d@gmail.com ,12,1771239208120,2.29125,7.89608,-5.56173,-3.045,-6.335,-2.73
d@gmail.com ,13,1771239208141,2.09732,7.92002,-5.53539,-5.145,-7.245,-3.535
d@gmail.com ,14,1771239208153,1.76213,7.98227,-5.11401,-4.27,-4.655,-2.59
d@gmail.com ,15,1771239208170,1.6927,8.00382,-5.38935,-4.69,0.035,-1.085
d@gmail.com ,16,1771239208186,1.39103,7.9679,-5.54258,-5.285,1.05,2.8
d@gmail.com ,17,1771239208204,1.39103,7.9679,-5.54258,-5.845,-2.065,7.315
d@gmail.com ,18,1771239208220,1.57299,7.81228,-5.6551,-6.825,-5.565,11.2
d@gmail.com ,19,1771239208237,2.28167,7.67102,-5.84185,-7.805,-4.375,10.115
d@gmail.com ,20,1771239208253,2.82276,7.77158,-5.87537,-9.24,0.245,5.74
d@gmail.com ,21,1771239208271,2.95205,7.86974,-5.34386,-7.315,4.48,-0.035
d@gmail.com ,22,1771239208288,2.85149,8.05409,-4.97755,-4.55,6.755,-3.185
d@gmail.com ,23,1771239208304,2.85149,8.05409,-4.97755,-1.4,9.24,-4.025
d@gmail.com ,24,1771239208323,2.6432,7.98466,-5.01825,-0.805,7.875,-3.745
d@gmail.com ,25,1771239208338,2.86107,7.90805,-5.4923,-1.855,6.44,-3.71
d@gmail.com ,26,1771239208355,3.03345,7.82186,-5.8227,-4.2,6.125,-4.69
d@gmail.com ,27,1771239208372,2.88741,7.69736,-5.69341,-8.295,4.935,-5.145
d@gmail.com ,28,1771239208389,2.50912,7.86735,-4.85784,-7.63,1.365,-4.27
d@gmail.com ,29,1771239208405,2.50912,7.86735,-4.85784,-3.885,0.385,-2.38
d@gmail.com ,30,1771239208422,2.43251,8.24324,-5.06374,-5.075,1.89,-2.345
d@gmail.com ,31,1771239208437,2.88501,8.20253,-5.26964,-4.9,3.115,-4.865
d@gmail.com ,32,1771239208459,2.77249,7.95833,-4.67827,-0.28,5.11,-6.44
d@gmail.com ,33,1771239208477,2.19069,7.99185,-5.04219,0.91,7.105,-5.18
d@gmail.com ,34,1771239208494,2.25773,7.96311,-5.20021,0,6.685,-4.305
d@gmail.com ,35,1771239208507,2.25773,7.96311,-5.20021,-0.77,5.705,-3.99
d@gmail.com ,36,1771239208521,2.42533,7.96311,-5.24809,-1.575,6.37,-3.57
d@gmail.com ,37,1771239208539,2.36547,7.99424,-5.21218,-1.68,6.3,-3.71
d@gmail.com ,38,1771239208556,2.21224,8.06367,-5.19063,-1.12,5.6,-2.31
d@gmail.com ,39,1771239208571,2.1476,8.0517,-5.00149,1.33,4.795,-1.225
d@gmail.com ,40,1771239208588,2.17633,7.92002,-5.29837,1.715,2.065,-0.07
d@gmail.com ,41,1771239208604,2.17633,7.92002,-5.29837,1.54,-1.4,1.505
d@gmail.com ,42,1771239208622,2.20267,7.9679,-5.38217,1.505,-3.29,2.59
d@gmail.com ,43,1771239208638,2.17154,7.99903,-5.37738,0.91,-1.82,3.115
d@gmail.com ,44,1771239208656,2.24576,8.05649,-5.25527,-0.385,-0.175,3.08
d@gmail.com ,45,1771239208675,2.42293,8.03734,-5.06613,-0.14,1.085,2.275
d@gmail.com ,46,1771239208690,2.41575,8.09719,-5.08528,0.42,1.12,1.61
d@gmail.com ,47,1771239208705,2.41575,8.09719,-5.08528,0.525,0.805,1.47
d@gmail.com ,48,1771239208721,2.43011,8.03255,-5.36301,-1.26,-0.805,1.47
d@gmail.com ,49,1771239208737,2.5187,8.0517,-5.12599,-1.4,0.595,0.91
d@gmail.com ,50,1771239208756,2.45166,8.00861,-4.78362,0.735,3.01,0.105
d@gmail.com ,51,1771239208773,2.61926,8.07325,-4.75967,3.395,6.16,-1.225
d@gmail.com ,52,1771239208788,2.61926,8.07325,-4.75967,5.915,8.05,-2.31
d@gmail.com ,53,1771239208804,2.42533,8.10437,-4.8315,8.225,6.615,-1.085
d@gmail.com ,54,1771239208822,2.43969,8.04931,-5.1188,7.77,4.76,0.07
d@gmail.com ,55,1771239208839,2.59531,7.93917,-5.72932,3.43,3.99,0.7
d@gmail.com ,56,1771239208855,2.57616,7.93199,-5.65032,0.42,3.605,0.595
d@gmail.com ,57,1771239208872,2.35589,7.93438,-5.31752,-0.84,1.575,1.4
d@gmail.com ,58,1771239208888,2.35589,7.93438,-5.31752,-0.98,-0.595,3.605
d@gmail.com ,59,1771239208905,2.1883,7.96072,-5.03261,1.33,-2.52,5.11
d@gmail.com ,60,1771239208922,2.6025,7.97509,-5.3271,1.33,-1.435,4.27
d@gmail.com ,61,1771239208938,2.59531,7.8865,-5.47075,0.595,0.665,3.08
d@gmail.com ,62,1771239208956,2.24576,7.9272,-5.27921,0.35,1.12,3.57
d@gmail.com ,63,1771239208973,2.41575,7.94636,-5.3247,0.28,0.945,4.34
d@gmail.com ,64,1771239208989,2.41575,7.94636,-5.3247,0.245,0.63,4.2
d@gmail.com ,65,1771239209005,2.71263,7.94396,-5.19542,1.19,-0.21,2.275
d@gmail.com ,66,1771239209022,2.90417,7.96551,-5.1212,2.24,0.595,0.84
d@gmail.com ,67,1771239209040,3.0574,8.04691,-5.07092,2.765,1.96,-1.365
d@gmail.com ,68,1771239209058,2.90656,7.98706,-5.02543,3.36,1.015,-1.995
d@gmail.com ,69,1771239209077,2.68629,7.91044,-5.10683,3.885,-1.12,-1.785
d@gmail.com ,70,1771239209092,2.68629,7.91044,-5.10683,3.955,-1.05,-1.645
